run,run_dir,is_portfolio,asset,mode,task,signal_source,price,stop_loss,take_profit,trailing_stop,trailing_atr_mult,atr_window,stop_priority,cost_bps,slippage_bps,execution_delay,vol_target,vol_lookback,max_leverage,portfolio_weighting,weight_lookback,model,input,long_only,uses_proba_signal,uses_stop_loss,uses_take_profit,uses_trailing_stop,uses_trailing_atr,uses_vol_target,uses_hmm,uses_fft,uses_dmd,uses_neural_net,m_start,m_end,m_n_bars,m_total_return,m_cagr,m_max_drawdown,m_ann_factor,m_sharpe,m_avg_bar_return,m_vol_bar,m_turnover_sum,m_n_position_changes,t_n_trades,t_n_wins,t_n_losses,t_n_breakeven,t_win_rate,t_win_loss_ratio,t_avg_win,t_avg_loss,t_profit_factor,t_expectancy,t_median_trade_return
bt_eurusd_sweep5y_EURUSD=X_hgb_baseline,bt_eurusd_sweep5y_EURUSD=X_hgb_baseline,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,hgb,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,False,False,False,False,False,False,False,False,False,False,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.006428841041246081,0.0012904288540485087,-0.07582768727089428,258.99545454545455,0.051618406498970155,8.433971951489599e-06,0.0026295027541713154,125.0,78,62,38,24,0,0.6129032258064516,1.5833333333333333,0.006734170051060462,-0.004307323401226725,2.475420329744083,0.0024600435534009053,0.0017106471147834146
bt_eurusd_sweep5y_EURUSD=X_hgb_dmd,bt_eurusd_sweep5y_EURUSD=X_hgb_dmd,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,False,False,False,False,False,True,False,False,True,False,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.0,0.0,0.0,258.99545454545455,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep5y_EURUSD=X_hgb_fft,bt_eurusd_sweep5y_EURUSD=X_hgb_fft,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,False,False,False,False,False,True,False,True,False,False,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.010675888180947446,0.0021393101430737804,-0.1259220836406134,258.99545454545455,0.06568833658526073,1.5048255598221672e-05,0.0036867523506899963,210.98225521772235,440,424,226,197,1,0.5330188679245284,1.1472081218274113,0.003392234241488042,-0.0032012924637718036,1.2156335970600443,0.0003207318943708776,0.00038428219474795355
bt_eurusd_sweep5y_EURUSD=X_hgb_hmm,bt_eurusd_sweep5y_EURUSD=X_hgb_hmm,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,False,False,False,False,False,True,True,False,False,False,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,-0.19128715946099095,-0.0418256004574723,-0.1926256916082194,258.99545454545455,-1.0216933922488711,-0.00016170256955095995,0.0025470789554438693,743.9445037341028,433,216,109,106,1,0.5046296296296297,1.028301886792453,0.0036072780945399755,-0.003203155207378913,1.1580365703964295,0.00024842064964209496,1.7100914343537443e-05
bt_eurusd_sweep5y_EURUSD=X_hgb_hmm_fft_dmd,bt_eurusd_sweep5y_EURUSD=X_hgb_hmm_fft_dmd,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,False,False,False,False,False,True,True,True,True,False,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.0,0.0,0.0,258.99545454545455,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep5y_EURUSD=X_hgb_proba_hmm_fft,bt_eurusd_sweep5y_EURUSD=X_hgb_proba_hmm_fft,False,EURUSD=X,long_short,classification,proba,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,True,False,False,False,False,True,True,True,False,False,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,-0.18432199487522904,-0.04017056817530751,-0.18567205533787579,258.99545454545455,-0.9877598946012172,-0.00015509143124873613,0.0025268675958364374,706.743720203867,409,204,101,102,1,0.4950980392156863,0.9901960784313726,0.003538214366308796,-0.0032188537872920877,1.0884389977576183,0.00014233610143821293,-2.6127397188657753e-05
bt_eurusd_sweep5y_EURUSD=X_hgb_stops,bt_eurusd_sweep5y_EURUSD=X_hgb_stops,False,EURUSD=X,long_short,classification,predict,,0.01,0.02,,,,,5.0,0.0,1,,,,,,hgb,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,False,True,True,False,False,False,False,False,False,False,2021-01-25 00:00:00,2026-01-13 00:00:00,1286,-0.01654160988198916,-0.0033528845362044146,-0.08268550451142898,258.93687982359427,-0.0628605453533711,-9.81622619134799e-06,0.0025128315016433546,179.0,129,89,45,44,0,0.5056179775280899,1.0227272727272727,0.008270411658442662,-0.006897515720641143,1.2262930455466472,0.0007716610440641515,0.000336454347951598
bt_eurusd_sweep5y_EURUSD=X_hgb_voltarget,bt_eurusd_sweep5y_EURUSD=X_hgb_voltarget,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,False,False,False,False,False,True,False,False,False,False,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.010675888180947446,0.0021393101430737804,-0.1259220836406134,258.99545454545455,0.06568833658526073,1.5048255598221672e-05,0.0036867523506899963,210.98225521772235,440,424,226,197,1,0.5330188679245284,1.1472081218274113,0.003392234241488042,-0.0032012924637718036,1.2156335970600443,0.0003207318943708776,0.00038428219474795355
bt_eurusd_sweep5y_EURUSD=X_mlp_baseline,bt_eurusd_sweep5y_EURUSD=X_mlp_baseline,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,mlp,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,False,False,False,False,False,False,False,False,False,True,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.0029375559086908254,0.0005904604576487671,-0.0627298489803304,258.99545454545455,0.03516886355286772,5.810736752140124e-06,0.002659003671896294,29.0,15,14,5,9,0,0.35714285714285715,0.5555555555555556,0.028951339927554075,-0.01206770548361079,1.3328198769330182,0.002581953591805234,-0.003900395299482662
bt_eurusd_sweep5y_EURUSD=X_mlp_dmd,bt_eurusd_sweep5y_EURUSD=X_mlp_dmd,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,False,False,False,False,False,True,False,False,True,True,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.0,0.0,0.0,258.99545454545455,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_eurusd_sweep5y_EURUSD=X_mlp_fft,bt_eurusd_sweep5y_EURUSD=X_mlp_fft,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,mlp,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,False,False,False,False,False,False,True,False,True,False,True,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,-0.04248177078520243,-0.008697871382657096,-0.09722717720275542,258.99545454545455,-0.1162893541397987,-2.683193327512748e-05,0.0037132832438943083,67.40743587084407,444,443,219,223,1,0.49435665914221216,0.9820627802690582,0.0034126169488525853,-0.0032455363625949205,1.03261948545969,5.329233169311265e-05,-3.457426119135576e-05
