run,is_portfolio,mode,task,signal_source,price,stop_loss,take_profit,trailing_stop,trailing_atr_mult,atr_window,stop_priority,cost_bps,slippage_bps,execution_delay,vol_target,vol_lookback,max_leverage,portfolio_weighting,weight_lookback,model,input,wavelet_kernel,wavelet_ar_p,long_only,uses_proba_signal,uses_stop_loss,uses_take_profit,uses_trailing_stop,uses_trailing_atr,uses_vol_target,uses_hmm,uses_fft,uses_wavelet,uses_dmd,uses_neural_net,t_n_trades,t_n_wins,t_n_losses,t_n_breakeven,t_win_rate,t_win_loss_ratio,t_avg_win,t_avg_loss,t_profit_factor,t_expectancy,t_median_trade_return,run_dir,asset,m_start,m_end,m_n_bars,m_total_return,m_cagr,m_max_drawdown,m_ann_factor,m_sharpe,m_avg_bar_return,m_vol_bar,m_turnover_sum,m_n_position_changes,feature_combo
bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_baseline,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,rf,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,,,False,False,False,False,False,False,False,False,False,False,False,False,31,17,14,0,0.5483870967741935,1.2142857142857142,0.008683118381243993,-0.004781350124009455,2.205190235463172,0.0026023906691940487,0.0005945702312111223,bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_baseline,EURUSD=X,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.026982662512391675,0.0053723959227631735,-0.09874610884508861,258.99545454545455,0.14698796162471225,2.4199828126615954e-05,0.002649577244725714,63.0,35,rf
bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_fft,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,,,False,False,False,False,False,False,True,False,True,False,False,False,439,221,217,1,0.5034168564920274,1.0184331797235022,0.0033258778558539048,-0.0033316130710288965,1.0166799949140606,2.7469179340415498e-05,1.7174900600380738e-05,bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_fft,EURUSD=X,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.03312502519593363,0.0065795924472884515,-0.1300685688142189,258.99545454545455,0.13989247850432182,3.216863408468148e-05,0.0037007038081141395,119.19940948802655,443,rf+fft+vol_target
bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_cwt_morlet,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,cwt_morlet,,False,False,False,False,False,False,True,False,False,True,False,False,0,0,0,0,,,,,,,,bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_cwt_morlet,EURUSD=X,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.0,0.0,0.0,258.99545454545455,,0.0,0.0,0.0,0,rf+wv_morlet+vol_target
bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_cwt_morlet_ar5,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,cwt_morlet,5.0,False,False,False,False,False,False,True,False,False,True,False,False,0,0,0,0,,,,,,,,bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_cwt_morlet_ar5,EURUSD=X,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.0,0.0,0.0,258.99545454545455,,0.0,0.0,0.0,0,rf+wv_morlet_ar5+vol_target
bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_cwt_ricker,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,cwt_ricker,,False,False,False,False,False,False,True,False,False,True,False,False,0,0,0,0,,,,,,,,bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_cwt_ricker,EURUSD=X,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.0,0.0,0.0,258.99545454545455,,0.0,0.0,0.0,0,rf+wv_ricker+vol_target
bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_cwt_ricker_ar5,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,cwt_ricker,5.0,False,False,False,False,False,False,True,False,False,True,False,False,0,0,0,0,,,,,,,,bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_cwt_ricker_ar5,EURUSD=X,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.0,0.0,0.0,258.99545454545455,,0.0,0.0,0.0,0,rf+wv_ricker_ar5+vol_target
bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_dwt_db2,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,dwt_db2,,False,False,False,False,False,False,True,False,False,True,False,False,0,0,0,0,,,,,,,,bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_dwt_db2,EURUSD=X,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.0,0.0,0.0,258.99545454545455,,0.0,0.0,0.0,0,rf+wv_db2+vol_target
bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_dwt_db4,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,dwt_db4,,False,False,False,False,False,False,True,False,False,True,False,False,75,36,39,0,0.48,0.9230769230769231,0.002681253119128547,-0.003702236558918377,0.668515595858808,-0.0006381615134558534,-0.0001193022522560927,bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_dwt_db4,EURUSD=X,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,-0.06896136633379801,-0.014276590112770271,-0.09155761230450121,258.99545454545455,-0.6045211965943863,-5.4464217142325814e-05,0.0014499258852290432,145.12676500391953,112,rf+wv_db4+vol_target
bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_dwt_db6,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,dwt_db6,,False,False,False,False,False,False,True,False,False,True,False,False,95,45,50,0,0.47368421052631576,0.9,0.00402578556990016,-0.004094480310708082,0.8849003384958424,-0.0002480385777883886,-0.0002721752433153535,bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_dwt_db6,EURUSD=X,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,-0.08378994879164903,-0.01745625142540408,-0.11802121390174136,258.99545454545455,-0.6344452031589292,-6.656451449956507e-05,0.0016884753378868717,112.676857054522,126,rf+wv_db6+vol_target
bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_dwt_db8,False,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,rf,outputs_eurusd_5y_1d\EURUSD=X_5y_1d.csv,dwt_db8,,False,False,False,False,False,False,True,False,False,True,False,False,123,65,58,0,0.5284552845528455,1.1206896551724137,0.0031357128049041704,-0.003558266397461085,0.9876047798318929,-2.0797713284323788e-05,0.0002468910021945492,bt_eurusd_sweep5y_kernelcmp_EURUSD=X_rf_wv_dwt_db8,EURUSD=X,2021-01-25 00:00:00,2026-01-14 00:00:00,1287,0.013725831468623051,0.0027471634204829787,-0.08329387100509644,258.99545454545455,0.10222391264974375,1.2541924632550881e-05,0.0019745028187115143,157.90395157090876,162,rf+wv_db8+vol_target
