run,run_dir,is_portfolio,asset,mode,task,signal_source,price,stop_loss,take_profit,trailing_stop,trailing_atr_mult,atr_window,stop_priority,cost_bps,slippage_bps,execution_delay,vol_target,vol_lookback,max_leverage,portfolio_weighting,weight_lookback,model,input,long_only,uses_proba_signal,uses_stop_loss,uses_take_profit,uses_trailing_stop,uses_trailing_atr,uses_vol_target,uses_hmm,uses_fft,uses_dmd,uses_neural_net,m_start,m_end,m_n_bars,m_total_return,m_cagr,m_max_drawdown,m_ann_factor,m_sharpe,m_avg_bar_return,m_vol_bar,m_turnover_sum,m_n_position_changes,t_n_trades,t_n_wins,t_n_losses,t_n_breakeven,t_win_rate,t_win_loss_ratio,t_avg_win,t_avg_loss,t_profit_factor,t_expectancy,t_median_trade_return
bt_btc_open,bt_btc_open,False,BTC-USD,long_short,classification,predict,open,,,,,,,5.0,0.0,1,,20.0,3.0,,,smoke_ml_btc_6mo\model.joblib,hub_alloc_smoke\BTC-USD_6mo_1d.csv,False,False,False,False,False,False,False,False,False,False,False,2025-07-14 00:00:00,2026-01-09 00:00:00,180,1.4497284987342387,5.222949450476904,-0.12869777920849845,367.29050279329607,5.50442810319661,0.005149265515156261,0.01792825134239547,49.0,25.0,24,16.0,8.0,0.0,0.6666666666666666,2.0,0.05154963251984347,-0.02894501903137565,3.5619000605226763,0.024718082002770425,0.01229362558114995
bt_btc_proba_longonly,bt_btc_proba_longonly,False,BTC-USD,long_only,classification,proba,close,,,,,,,5.0,0.0,1,,20.0,3.0,,,smoke_ml_btc_6mo\model.joblib,hub_alloc_smoke\BTC-USD_6mo_1d.csv,True,True,False,False,False,False,False,False,False,False,False,2025-07-14 00:00:00,2026-01-09 00:00:00,180,0.30727522738536517,0.7276161400641794,-0.061672084616330225,367.29050279329607,2.9340936493548972,0.0015400862654790961,0.010059489132938408,36.0,36.0,18,9.0,9.0,0.0,0.5,1.0,0.04529940958818758,-0.02133933091502752,2.122813023921334,0.011980039336580027,5.7629322679150123e-05
bt_btc_stops,bt_btc_stops,False,BTC-USD,long_short,classification,predict,close,0.05,0.1,,,,conservative,5.0,0.0,1,,20.0,3.0,,,smoke_ml_btc_6mo\model.joblib,hub_alloc_smoke\BTC-USD_6mo_1d.csv,False,False,True,True,False,False,False,False,False,False,False,2025-07-14 00:00:00,2026-01-08 00:00:00,179,1.2511713525815265,4.286040336574531,-0.14386066521221963,367.30196629213486,4.609821576174048,0.004734836541471275,0.019684867732794546,81.0,56.0,40,27.0,13.0,0.0,0.675,2.076923076923077,0.042417552988870365,-0.02166217191648367,4.0669049718950285,0.021591642394630305,0.018568143226442547
bt_btc_trailing,bt_btc_trailing,False,BTC-USD,long_short,classification,predict,close,,,0.05,,,conservative,5.0,0.0,1,,20.0,3.0,,,ml_outputs_btc\model.joblib,outputs_fx_crypto\BTC-USD_6mo_1d.csv,False,False,False,False,True,False,False,False,False,False,False,2025-07-14 00:00:00,2026-01-08 00:00:00,128,0.4604734629482894,1.1753816783733004,-0.09563553517167434,262.65168539325845,2.4489966491813426,0.0031847383182183287,0.02107539186113868,57.0,30.0,28,17.0,11.0,0.0,0.6071428571428571,1.5454545454545454,0.03629959484640871,-0.01443363079157018,3.886712544033274,0.016368684774345575,0.0116627925336849
bt_btc_trailing_atr,bt_btc_trailing_atr,False,BTC-USD,long_short,classification,predict,close,,,,2.0,14.0,conservative,5.0,0.0,5,,20.0,3.0,,,ml_outputs_btc\model.joblib,outputs_fx_crypto\BTC-USD_6mo_1d.csv,False,False,False,False,False,True,False,False,False,False,False,2025-07-14 00:00:00,2026-01-08 00:00:00,128,0.20700693949639648,0.47117957793717924,-0.11638325838813235,262.65168539325845,1.3177486154881093,0.0016845712574070964,0.020717956351131418,69.0,43.0,34,18.0,16.0,0.0,0.5294117647058824,1.125,0.03768097605781603,-0.028593316158025406,1.4825526997554965,0.006493073838596528,0.00394133095532015
bt_btc_trailing_d5,bt_btc_trailing_d5,False,BTC-USD,long_short,classification,predict,close,,,0.01,,,conservative,5.0,0.0,5,,20.0,3.0,,,ml_outputs_btc\model.joblib,outputs_fx_crypto\BTC-USD_6mo_1d.csv,False,False,False,False,True,False,False,False,False,False,False,2025-07-14 00:00:00,2026-01-08 00:00:00,128,0.2662396202338635,0.6231519124322422,-0.1113557843399795,262.65168539325845,1.5919274570161923,0.0020660369606051963,0.021033178581977074,57.0,30.0,28,16.0,12.0,0.0,0.5714285714285714,1.3333333333333333,0.03952370186705778,-0.025098403921883315,2.099666150887363,0.011828513671797313,0.007070063541691001
bt_btc_trailing_d5_fix,bt_btc_trailing_d5_fix,False,BTC-USD,long_short,classification,predict,close,,,0.01,,,conservative,5.0,0.0,5,,20.0,3.0,,,ml_outputs_btc\model.joblib,outputs_fx_crypto\BTC-USD_6mo_1d.csv,False,False,False,False,True,False,False,False,False,False,False,2025-07-14 00:00:00,2026-01-08 00:00:00,128,0.2024189456844152,0.4597276170573683,-0.08912404633061477,262.65168539325845,1.5962133126927396,0.0015645848899578669,0.01588540527149462,181.0,79.0,90,35.0,55.0,0.0,0.3888888888888889,0.6363636363636364,0.02284546845389429,-0.009223532899894814,1.5761883800421748,0.0032477454043565034,-0.009900990099009799
bt_eurusd_hmmcmp_EURUSD=X_hgb_baseline,bt_eurusd_hmmcmp_EURUSD=X_hgb_baseline,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,hgb,outputs_eurusd_1y_1d\EURUSD=X_1y_1d.csv,False,False,False,False,False,False,False,False,False,False,False,2025-01-22 00:00:00,2026-01-14 00:00:00,254,-0.030287898815645753,-0.03097687600038246,-0.03340443645340918,259.8697478991597,-1.3980302495543233,-0.00012011968995729589,0.0013850820359850484,13.0,11.0,6,3.0,3.0,0.0,0.5,1.0,0.0033137180176398737,-0.0018406872829251908,1.8002612656582089,0.0007365153673573414,0.0004946067970613699
bt_eurusd_hmmcmp_EURUSD=X_hgb_hmm,bt_eurusd_hmmcmp_EURUSD=X_hgb_hmm,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_eurusd_1y_1d\EURUSD=X_1y_1d.csv,False,False,False,False,False,False,True,True,False,False,False,2025-01-22 00:00:00,2026-01-14 00:00:00,254,-0.08289786284570522,-0.0847300432808713,-0.08289786284570522,259.8697478991597,-2.6246575256041216,-0.0003384727969111484,0.0020788779340050216,166.12580262600628,70.0,35,13.0,22.0,0.0,0.37142857142857144,0.5909090909090909,0.0019644215140853707,-0.0021318985808098452,0.5444886269446715,-0.0006104082598487651,-0.0007814713990055289
bt_eurusd_sweep_EURUSD=X_hgb_baseline,bt_eurusd_sweep_EURUSD=X_hgb_baseline,False,EURUSD=X,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,hgb,smoke_market_fx_1mo_1d\EURUSD=X_1mo_1d.csv,False,False,False,False,False,False,False,False,False,False,False,2025-12-17 00:00:00,2026-01-08 00:00:00,16,0.006967854379785088,0.1221887874913632,-0.0004829730719132508,265.6363636363636,7.7335728893380455,0.000434493557326425,0.0009156867314719397,1.0,1.0,0,0.0,0.0,0.0,,,,,,,
