entry_time,exit_time,side,entry_price,exit_price,return,exit_reason
2025-07-15 00:00:00,2025-07-21 00:00:00,short,120035.0,118033.0,0.0169613582642143,signal
2025-07-22 00:00:00,2025-07-24 00:00:00,long,117274.0,118189.0,0.0078022409059126385,signal
2025-07-24 00:00:00,2025-07-28 00:00:00,short,118189.0,119699.0,-0.01261497589787719,signal
2025-07-28 00:00:00,2025-07-29 00:00:00,long,119699.0,118125.0,-0.013149650373018962,signal
2025-07-29 00:00:00,2025-08-20 00:00:00,short,118125.0,113430.0,0.04139116635810636,signal
2025-08-20 00:00:00,2025-08-25 00:00:00,long,113430.0,112978.0,-0.003984836463016839,signal
2025-08-25 00:00:00,2025-08-26 00:00:00,short,112978.0,109899.0,0.028016633454353457,signal
2025-08-26 00:00:00,2025-08-27 00:00:00,long,109899.0,111605.0,0.015523344161457286,signal
2025-08-27 00:00:00,2025-09-01 00:00:00,short,111605.0,109059.0,0.02334516179315793,signal
2025-09-01 00:00:00,2025-09-02 00:00:00,long,109059.0,107690.0,-0.012552838371890473,signal
2025-09-02 00:00:00,2025-09-26 00:00:00,short,107690.0,109436.0,-0.01595453050184581,signal
2025-09-26 00:00:00,2025-09-30 00:00:00,long,109436.0,114289.0,0.04434555356555436,signal
2025-09-30 00:00:00,2025-10-13 00:00:00,short,114289.0,114985.0,-0.006052963430012603,signal
2025-10-13 00:00:00,2025-10-14 00:00:00,long,114985.0,115804.0,0.00712266817410967,signal
2025-10-14 00:00:00,2025-10-16 00:00:00,short,115804.0,110926.0,0.0439752627878045,signal
2025-10-16 00:00:00,2025-10-20 00:00:00,long,110926.0,108860.0,-0.018625029298811824,signal
2025-10-20 00:00:00,2025-10-21 00:00:00,short,108860.0,110573.0,-0.01549202789107651,signal
2025-10-21 00:00:00,2025-10-22 00:00:00,long,110573.0,110882.0,0.0027945339278123704,signal
2025-10-22 00:00:00,2025-11-04 00:00:00,short,110882.0,106479.0,0.04135087669869186,signal
2025-11-04 00:00:00,2025-11-05 00:00:00,long,106479.0,101203.0,-0.04954967646202535,signal
2025-11-05 00:00:00,2025-11-07 00:00:00,short,101203.0,101289.0,-0.0008490556723830256,signal
2025-11-07 00:00:00,2025-11-11 00:00:00,long,101289.0,106041.0,0.04691526226934806,signal
2025-11-11 00:00:00,2025-11-12 00:00:00,short,106041.0,102973.0,0.02979421790178005,signal
2025-11-12 00:00:00,2025-11-13 00:00:00,long,102973.0,101949.0,-0.009944354345313822,signal
2025-11-13 00:00:00,2025-11-26 00:00:00,short,101949.0,87652.4,0.16310563087833319,signal
2025-11-26 00:00:00,2025-11-27 00:00:00,long,87652.4,90404.4,0.031396744413159317,signal
2025-11-27 00:00:00,2025-12-16 00:00:00,short,90404.4,86279.7,0.047806146752944256,signal
2025-12-16 00:00:00,2025-12-22 00:00:00,long,86279.7,88475.2,0.025446310082209322,signal
