entry_time,exit_time,side,entry_price,exit_price,return
2025-05-13 00:00:00,2025-05-17 00:00:00,short,104156.7,103169.1,0.009481867225056062
2025-05-18 00:00:00,2025-05-27 00:00:00,short,106525.6,109004.9,-0.023274217652845763
2025-05-28 00:00:00,2025-07-20 00:00:00,short,107811.7,117319.1,-0.08818523407014278
2025-07-21 00:00:00,2025-08-29 00:00:00,short,117461.0,108400.1,0.07713964635070358
2025-08-30 00:00:00,2025-10-11 00:00:00,short,108750.0,110775.1,-0.018621609195402344
2025-10-11 00:00:00,2025-10-13 00:00:00,long,110775.1,115165.5,0.039633455532877004
2025-10-13 00:00:00,2025-10-14 00:00:00,short,115165.5,113106.2,0.017881223109351363
2025-10-14 00:00:00,2025-10-15 00:00:00,long,113106.2,110781.9,-0.020549713455142227
2025-10-15 00:00:00,2025-10-16 00:00:00,short,110781.9,108182.3,0.023465927195688074
2025-10-16 00:00:00,2025-10-20 00:00:00,long,108182.3,110574.4,0.022111750258591245
2025-10-20 00:00:00,2025-10-24 00:00:00,short,110574.4,111000.0,-0.0038489921717865805
2025-10-25 00:00:00,2025-11-05 00:00:00,short,111645.2,103900.0,0.06937333624732633
2025-11-05 00:00:00,2025-11-08 00:00:00,long,103900.0,102282.1,-0.015571703561116368
2025-11-08 00:00:00,2025-11-14 00:00:00,short,102282.1,94517.3,0.07591553165216591
2025-11-14 00:00:00,2025-12-17 00:00:00,long,94517.3,86207.8,-0.08791512241674271
2025-12-17 00:00:00,2025-12-18 00:00:00,short,86207.8,85462.5,0.008645389396319203
2025-12-18 00:00:00,2026-01-03 00:00:00,long,85462.5,90590.1,0.05999824484423
2026-01-03 00:00:00,2026-01-07 00:00:00,short,90590.1,91273.3,-0.0075416629410940406
