Date,close,ret,signal,position,turnover,cost,strategy_ret,equity
2025-01-22,1.04097,,0.0,0.0,0.0,0.0,0.0,1.0
2025-01-23,1.04173,0.0007300882830438837,0.0,0.0,0.0,0.0,0.0,1.0
2025-01-24,1.04953,0.007487544757278863,0.0,0.0,0.0,0.0,0.0,1.0
2025-01-27,1.04891,-0.0005907406172287466,0.0,0.0,0.0,0.0,-0.0,1.0
2025-01-28,1.04291,-0.005720223851426676,0.0,0.0,0.0,0.0,-0.0,1.0
2025-01-29,1.04215,-0.0007287301876480745,0.0,0.0,0.0,0.0,-0.0,1.0
2025-01-30,1.03883,-0.003185721825073151,0.0,0.0,0.0,0.0,-0.0,1.0
2025-01-31,1.03745,-0.0013284175466630188,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-03,1.03432,-0.0030170128680900854,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-04,1.03786,0.00342253847938756,0.0,0.0,0.0,0.0,0.0,1.0
2025-02-05,1.04041,0.002456978783265562,0.0,0.0,0.0,0.0,0.0,1.0
2025-02-06,1.03837,-0.001960765467459935,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-07,1.03279,-0.005373807024470989,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-10,1.03064,-0.002081739753483358,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-11,1.0362,0.0053947062019716885,0.0,0.0,0.0,0.0,0.0,1.0
2025-02-12,1.03844,0.0021617448369040115,0.0,0.0,0.0,0.0,0.0,1.0
2025-02-13,1.04672,0.007973498709602955,0.0,0.0,0.0,0.0,0.0,1.0
2025-02-14,1.0492,0.0023693060226228635,0.0,0.0,0.0,0.0,0.0,1.0
2025-02-17,1.04809,-0.0010579489134577846,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-18,1.04521,-0.002747855623085771,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-19,1.0425,-0.0025927803981974362,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-20,1.0498,0.0070023980815348,0.0,0.0,0.0,0.0,0.0,1.0
2025-02-21,1.04608,-0.003543532101352831,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-24,1.04694,0.0008221168553075309,0.0,0.0,0.0,0.0,0.0,1.0
2025-02-25,1.05141,0.0042695856496073326,0.0,0.0,0.0,0.0,0.0,1.0
2025-02-26,1.04876,-0.0025204249531581846,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-27,1.03954,-0.008791334528395423,0.0,0.0,0.0,0.0,-0.0,1.0
2025-02-28,1.03736,-0.0020970814013889783,0.0,0.0,0.0,0.0,-0.0,1.0
2025-03-03,1.04881,0.011037633993984608,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-04,1.06203,0.012604761586941349,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-05,1.07908,0.016054160428613073,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-06,1.07918,9.267153501135716e-05,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-07,1.08475,0.0051613261921088505,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-10,1.08351,-0.001143120534685571,0.0,0.0,0.0,0.0,-0.0,1.0
2025-03-11,1.09158,0.007448016169670835,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-12,1.08893,-0.0024276736473736182,0.0,0.0,0.0,0.0,-0.0,1.0
2025-03-13,1.08526,-0.003370280917965429,0.0,0.0,0.0,0.0,-0.0,1.0
2025-03-14,1.08785,0.0023865248880452494,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-17,1.09214,0.00394355839499938,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-18,1.09418,0.0018678923947477166,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-19,1.09087,-0.003025096419236206,0.0,0.0,0.0,0.0,-0.0,1.0
2025-03-20,1.08573,-0.004711835507438922,0.0,0.0,0.0,0.0,-0.0,1.0
2025-03-21,1.08171,-0.0037025779890028643,0.0,0.0,0.0,0.0,-0.0,1.0
2025-03-24,1.08025,-0.0013497148034131712,0.0,0.0,0.0,0.0,-0.0,1.0
2025-03-25,1.07889,-0.0012589678315204633,0.0,0.0,0.0,0.0,-0.0,1.0
2025-03-26,1.07375,-0.004764155752671639,0.0,0.0,0.0,0.0,-0.0,1.0
2025-03-27,1.07964,0.00548544819557617,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-28,1.08309,0.0031955096143161388,0.0,0.0,0.0,0.0,0.0,1.0
2025-03-31,1.08199,-0.0010156127376304003,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-01,1.07941,-0.002384495235630668,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-02,1.0828,0.003140604589544349,0.0,0.0,0.0,0.0,0.0,1.0
2025-04-03,1.10519,0.020677872183228585,0.0,0.0,0.0,0.0,0.0,1.0
2025-04-04,1.0943,-0.009853509351333112,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-07,1.09132,-0.0027232020469706297,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-08,1.09585,0.004150936480592282,0.0,0.0,0.0,0.0,0.0,1.0
2025-04-09,1.0951,-0.0006844002372587976,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-10,1.11948,0.0222628070495845,0.0,0.0,0.0,0.0,0.0,1.0
2025-04-11,1.1341,0.013059634830457023,0.0,0.0,0.0,0.0,0.0,1.0
2025-04-14,1.13552,0.0012520941715898903,0.0,0.0,0.0,0.0,0.0,1.0
2025-04-15,1.12828,-0.006375933493025343,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-16,1.13973,0.010148190165561788,0.0,0.0,0.0,0.0,0.0,1.0
2025-04-17,1.13693,-0.0024567222061364635,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-21,1.15105,0.012419410165973144,0.0,0.0,0.0,0.0,0.0,1.0
2025-04-22,1.13635,-0.01277094826462788,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-23,1.13243,-0.003449641395696701,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-24,1.13879,0.005616241180470327,0.0,0.0,0.0,0.0,0.0,1.0
2025-04-25,1.13595,-0.0024938750779335273,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-28,1.14208,0.005396364276596621,0.0,0.0,0.0,0.0,0.0,1.0
2025-04-29,1.13867,-0.0029857803306247988,0.0,0.0,0.0,0.0,-0.0,1.0
2025-04-30,1.1328,-0.0051551371336735485,0.0,0.0,0.0,0.0,-0.0,1.0
2025-05-01,1.1288,-0.003531073446327637,0.0,0.0,0.0,0.0,-0.0,1.0
2025-05-02,1.1305,0.001506024096385561,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-05,1.13179,0.0011410880141531354,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-06,1.1373,0.004868394313432667,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-07,1.13135,-0.005231689088191271,0.0,0.0,0.0,0.0,-0.0,1.0
2025-05-08,1.12277,-0.007583859990277109,0.0,0.0,0.0,0.0,-0.0,1.0
2025-05-09,1.12573,0.0026363369167325956,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-12,1.10905,-0.01481705204622763,0.0,0.0,0.0,0.0,-0.0,1.0
2025-05-13,1.11869,0.00869212388981544,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-14,1.11773,-0.0008581465821630996,0.0,0.0,0.0,0.0,-0.0,1.0
2025-05-15,1.1189,0.0010467644243243868,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-16,1.11494,-0.003539190276164006,0.0,0.0,0.0,0.0,-0.0,1.0
2025-05-19,1.12435,0.00843991604929406,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-20,1.12832,0.0035309289811891187,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-21,1.13297,0.004121171298922421,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-22,1.12811,-0.004289610492775653,0.0,0.0,0.0,0.0,-0.0,1.0
2025-05-23,1.13637,0.007321981012490042,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-26,1.13861,0.00197118896134163,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-27,1.13326,-0.004698711586934912,0.0,0.0,0.0,0.0,-0.0,1.0
2025-05-28,1.1296,-0.0032296207401655286,0.0,0.0,0.0,0.0,-0.0,1.0
2025-05-29,1.13699,0.0065421388101982725,0.0,0.0,0.0,0.0,0.0,1.0
2025-05-30,1.13567,-0.0011609600788045071,0.0,0.0,0.0,0.0,-0.0,1.0
2025-06-02,1.14407,0.0073965148326538,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-03,1.13771,-0.005559100404695427,0.0,0.0,0.0,0.0,-0.0,1.0
2025-06-04,1.14167,0.003480676094962609,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-05,1.14446,0.0024437884852892555,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-06,1.13964,-0.00421159324048026,0.0,0.0,0.0,0.0,-0.0,1.0
2025-06-09,1.14219,0.0022375486995893645,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-10,1.14252,0.0002889186562655688,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-11,1.14884,0.005531631831390271,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-12,1.1589,0.008756658890707092,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-13,1.15501,-0.003356631288290557,0.0,0.0,0.0,0.0,-0.0,1.0
2025-06-16,1.15636,0.0011688210491682671,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-17,1.14822,-0.007039330312359482,0.0,0.0,0.0,0.0,-0.0,1.0
2025-06-18,1.14828,5.2254794377315505e-05,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-19,1.14955,0.0011060020204132215,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-20,1.15162,0.0018007046235484214,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-23,1.1578,0.0053663534846561944,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-24,1.161,0.0027638624978407744,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-25,1.16566,0.004013781223083379,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-26,1.16989,0.003628845460940777,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-27,1.17068,0.0006752771628100174,0.0,0.0,0.0,0.0,0.0,1.0
2025-06-30,1.17817,0.00639799091126525,0.0,0.0,0.0,0.0,0.0,1.0
2025-07-01,1.18042,0.0019097413785786888,0.0,0.0,0.0,0.0,0.0,1.0
2025-07-02,1.17961,-0.0006861964385557195,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-03,1.17575,-0.0032722679529675336,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-04,1.17751,0.0014969168615777129,0.0,0.0,0.0,0.0,0.0,1.0
2025-07-07,1.17092,-0.0055965554432659825,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-08,1.17234,0.0012127216206059277,0.0,0.0,0.0,0.0,0.0,1.0
2025-07-09,1.1723,-3.411979459888581e-05,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-10,1.17035,-0.0016633967414483308,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-11,1.16883,-0.0012987567821591828,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-14,1.16642,-0.00206189095077991,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-15,1.16006,-0.00545258140292515,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-16,1.16357,0.003025705566953363,0.0,0.0,0.0,0.0,0.0,1.0
2025-07-17,1.15984,-0.003205651572316226,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-18,1.16224,0.002069250931162836,0.0,0.0,0.0,0.0,0.0,1.0
2025-07-21,1.16937,0.006134705396475759,0.0,0.0,0.0,0.0,0.0,1.0
2025-07-22,1.17493,0.004754696973584105,0.0,0.0,0.0,0.0,0.0,1.0
2025-07-23,1.17701,0.0017703182317243549,0.0,0.0,0.0,0.0,0.0,1.0
2025-07-24,1.17472,-0.0019456079387599745,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-25,1.17439,-0.00028091800599283623,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-28,1.15905,-0.013062100324423898,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-29,1.15486,-0.003615029550062432,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-30,1.14085,-0.012131340595396889,0.0,0.0,0.0,0.0,-0.0,1.0
2025-07-31,1.14176,0.0007976508743481325,0.0,0.0,0.0,0.0,0.0,1.0
