entry_time,exit_time,side,entry_price,exit_price,return
2025-09-22 00:00:00,2025-09-23 00:00:00,short,1.17997,1.18145,-0.0012542691763348657
2025-09-30 00:00:00,2025-10-01 00:00:00,long,1.17368,1.17328,-0.00034080839751893244
2025-10-02 00:00:00,2025-10-03 00:00:00,long,1.17181,1.17413,0.001979843148633309
2025-10-06 00:00:00,2025-10-07 00:00:00,long,1.17097,1.16576,-0.0044493027148433395
2025-10-08 00:00:00,2025-10-09 00:00:00,long,1.16291,1.15653,-0.005486237112072301
2025-10-10 00:00:00,2025-10-13 00:00:00,long,1.16128,1.1572,-0.003513364563240584
2025-10-14 00:00:00,2025-10-15 00:00:00,long,1.16082,1.1644,0.0030840268086353984
2025-10-16 00:00:00,2025-10-17 00:00:00,long,1.16885,1.16708,-0.0015143089361338014
2025-10-20 00:00:00,2025-10-21 00:00:00,long,1.16449,1.1605,-0.0034263926697524205
2025-10-22 00:00:00,2025-10-23 00:00:00,long,1.16128,1.16178,0.0004305593827500509
2025-10-24 00:00:00,2025-10-27 00:00:00,long,1.16318,1.165,0.0015646761464260805
2025-10-28 00:00:00,2025-10-29 00:00:00,long,1.16508,1.16038,-0.004034057747107411
2025-10-30 00:00:00,2025-10-31 00:00:00,long,1.15682,1.15371,-0.002688404419010637
2025-11-03 00:00:00,2025-11-04 00:00:00,long,1.15211,1.14843,-0.0031941394484901187
2025-11-05 00:00:00,2025-11-06 00:00:00,long,1.14927,1.15453,0.0045768183281562624
2025-11-07 00:00:00,2025-11-10 00:00:00,long,1.15643,1.15572,-0.0006139584756534866
2025-11-11 00:00:00,2025-11-12 00:00:00,long,1.15855,1.15904,0.00042294247119256667
2025-11-13 00:00:00,2025-11-14 00:00:00,long,1.16365,1.16209,-0.0013406092897348953
2025-11-17 00:00:00,2025-11-18 00:00:00,long,1.15899,1.15776,-0.0010612688634069611
2025-11-19 00:00:00,2025-11-20 00:00:00,long,1.15389,1.15291,-0.000849301059893004
2025-11-21 00:00:00,2025-11-24 00:00:00,long,1.15176,1.15258,0.0007119538792803581
2025-11-25 00:00:00,2025-11-26 00:00:00,long,1.15701,1.15955,0.0021953137829404668
2025-11-27 00:00:00,2025-11-28 00:00:00,long,1.15964,1.16007,0.00037080473250306056
2025-12-01 00:00:00,2025-12-02 00:00:00,long,1.16088,1.16246,0.001361036455103104
2025-12-03 00:00:00,2025-12-04 00:00:00,long,1.16709,1.16449,-0.002227763068829214
2025-12-05 00:00:00,2025-12-08 00:00:00,long,1.16447,1.16356,-0.0007814713990055289
2025-12-09 00:00:00,2025-12-10 00:00:00,long,1.1627,1.16955,0.005891459533843735
2025-12-11 00:00:00,2025-12-12 00:00:00,short,1.17389,1.17393,-3.407474294858659e-05
2025-12-15 00:00:00,2025-12-16 00:00:00,long,1.17514,1.1748,-0.00028932722909613684
2025-12-17 00:00:00,2025-12-18 00:00:00,long,1.174,1.17245,-0.0013202725724019704
2025-12-19 00:00:00,2025-12-22 00:00:00,short,1.17097,1.17592,-0.0042272645755228044
2026-01-05 00:00:00,2026-01-06 00:00:00,long,1.17194,1.16888,-0.0026110551734731535
2026-01-07 00:00:00,2026-01-08 00:00:00,long,1.1678,1.16588,-0.0016441171433464463
2026-01-09 00:00:00,2026-01-12 00:00:00,long,1.16348,1.1669,0.002939457489600228
2026-01-13 00:00:00,2026-01-14 00:00:00,long,1.16448,1.16449,8.587524045200468e-06
