entry_time,exit_time,side,entry_price,exit_price,return
2024-04-19 00:00:00,2024-09-13 00:00:00,short,1.06549,1.10782,-0.039728200170813466
2024-09-13 00:00:00,2024-10-02 00:00:00,long,1.10782,1.10483,-0.002698994421476475
2024-10-02 00:00:00,2024-11-06 00:00:00,short,1.10483,1.07296,0.028846066815709226
2024-11-06 00:00:00,2024-11-07 00:00:00,long,1.07296,1.08048,0.0070086489710707855
2024-11-07 00:00:00,2025-01-21 00:00:00,short,1.08048,1.04277,0.03490115504220359
2025-01-21 00:00:00,2025-01-31 00:00:00,long,1.04277,1.03745,-0.005101796177488849
2025-01-31 00:00:00,2025-02-06 00:00:00,short,1.03745,1.03837,-0.0008867897248059364
2025-02-06 00:00:00,2025-02-07 00:00:00,long,1.03837,1.03279,-0.005373807024470989
2025-02-07 00:00:00,2025-02-13 00:00:00,short,1.03279,1.04672,-0.01348773710047535
2025-02-13 00:00:00,2025-02-28 00:00:00,long,1.04672,1.03736,-0.008942219504738613
2025-02-28 00:00:00,2025-03-04 00:00:00,short,1.03736,1.06203,-0.023781522325904136
2025-03-04 00:00:00,2025-05-13 00:00:00,long,1.06203,1.11869,0.053350658644294446
2025-05-13 00:00:00,2025-05-20 00:00:00,short,1.11869,1.12832,-0.008608282902323294
2025-05-20 00:00:00,2025-06-20 00:00:00,long,1.12832,1.15162,0.020650170164492332
