entry_time,exit_time,side,entry_price,exit_price,return,exit_reason
2025-07-16 00:00:00,2025-07-22 00:00:00,long,1.16006,1.1693,0.007965105253176397,signal
2025-07-22 00:00:00,2025-07-29 00:00:00,short,1.1693,1.15899,0.008895676407906894,signal
2025-07-31 00:00:00,2025-08-08 00:00:00,long,1.14085,1.16659,0.02256212473155994,signal
2025-08-11 00:00:00,2025-08-13 00:00:00,long,1.16465,1.16748,0.0024299145666080157,signal
2025-08-14 00:00:00,2025-08-18 00:00:00,short,1.17057,1.17142,-0.0007256150654758597,signal
2025-08-19 00:00:00,2025-08-20 00:00:00,short,1.16618,1.16474,0.0012363274207118913,signal
2025-08-22 00:00:00,2025-08-25 00:00:00,long,1.1607,1.17228,0.00997673817523892,signal
2025-08-26 00:00:00,2025-08-27 00:00:00,long,1.16196,1.1644,0.0020999001686805574,signal
2025-09-02 00:00:00,2025-09-08 00:00:00,long,1.17088,1.17192,0.0008882208253622181,signal
2025-09-10 00:00:00,2025-09-15 00:00:00,long,1.17112,1.17307,0.0016650727508711327,signal
2025-09-17 00:00:00,2025-09-25 00:00:00,short,1.18653,1.17395,0.010715958942033366,signal
2025-09-26 00:00:00,2025-09-30 00:00:00,long,1.16627,1.17265,0.005470431375238949,signal
2025-10-01 00:00:00,2025-10-09 00:00:00,short,1.17359,1.163,0.00910576096302651,signal
2025-10-10 00:00:00,2025-10-15 00:00:00,long,1.15646,1.16081,0.003761478996247014,signal
2025-10-17 00:00:00,2025-10-21 00:00:00,short,1.1689,1.16446,0.003812926163200059,signal
2025-10-22 00:00:00,2025-10-23 00:00:00,long,1.16049,1.16124,0.0006462787270893333,signal
2025-10-24 00:00:00,2025-10-31 00:00:00,short,1.16186,1.15683,0.004348089174727399,signal
2025-11-04 00:00:00,2025-11-11 00:00:00,long,1.15211,1.15579,0.0031941394484902297,signal
2025-11-13 00:00:00,2025-11-19 00:00:00,short,1.15912,1.15792,0.0010363410252867133,signal
2025-11-20 00:00:00,2025-12-02 00:00:00,long,1.15391,1.16089,0.006048998622076196,signal
2025-12-02 00:00:00,2025-12-08 00:00:00,short,1.16089,1.16464,-0.0032198791042724606,signal
