Date,close,ret,signal,position,turnover,cost,strategy_ret,equity
2021-01-25,1.21436,,-1,0.0,0.0,0.0,0.0,1.0
2021-01-26,1.2162,0.0015152014229715682,-1,-1.0,1.0,0.0005,-0.0020152014229715682,0.9979847985770285
2021-01-27,1.21089,-0.004366058214109514,-1,-1.0,0.0,0.0,0.004366058214109514,1.0023420583044123
2021-01-28,1.2122,0.0010818488880079968,-1,-1.0,0.0,0.0,-0.0010818488880079968,1.0012576756632319
2021-01-29,1.2136,0.0011549249298796749,-1,-1.0,0.0,0.0,-0.0011549249298796749,1.000101298212375
2021-02-01,1.20619,-0.0061058009228740495,-1,-1.0,0.0,0.0,0.0061058009228740495,1.0062077176419675
2021-02-02,1.20439,-0.0014923022077781845,-1,-1.0,0.0,0.0,0.0014923022077781845,1.007709283640488
2021-02-03,1.20338,-0.000838598792750056,-1,-1.0,0.0,0.0,0.000838598792750056,1.0085543474291918
2021-02-04,1.19648,-0.005733849656799905,-1,-1.0,0.0,0.0,0.005733849656799905,1.0143372464280627
2021-02-05,1.20487,0.00701223589194977,-1,-1.0,0.0,0.0,-0.00701223589194977,1.0072244743821184
2021-02-08,1.2052,0.00027388846929543575,-1,-1.0,0.0,0.0,-0.00027388846929543575,1.006948607212593
2021-02-09,1.21197,0.005617324925323519,-1,-1.0,0.0,0.0,-0.005617324925323519,1.0012922497027779
2021-02-10,1.2119,-5.7757205211395046e-05,-1,-1.0,0.0,0.0,5.7757205211395046e-05,1.0013500815447205
2021-02-11,1.21328,0.001138707814176021,-1,-1.0,0.0,0.0,-0.001138707814176021,1.0002098363821397
2021-02-12,1.21179,-0.0012280759593827906,-1,-1.0,0.0,0.0,0.0012280759593827906,1.0014381700365387
2021-02-15,1.21276,0.0008004687280800393,-1,-1.0,0.0,0.0,-0.0008004687280800393,1.0006365500983188
2021-02-16,1.21028,-0.0020449223259342286,-1,-1.0,0.0,0.0,0.0020449223259342286,1.0026827741197606
2021-02-17,1.2045,-0.004775754370889507,-1,-1.0,0.0,0.0,0.004775754370889507,1.0074713407608786
2021-02-18,1.20908,0.0038024076380240857,-1,-1.0,0.0,0.0,-0.0038024076380240857,1.003640524039679
2021-02-19,1.21163,0.0021090415853377564,0,-1.0,0.0,0.0,-0.0021090415853377564,1.0015238044377492
2021-02-22,1.21605,0.0036479783432237234,-1,0.0,1.0,0.0005,-0.0005,1.0010230425355304
2021-02-23,1.21489,-0.0009539081452243359,-1,-1.0,1.0,0.0005,0.00045390814522433586,1.0014774150480945
2021-02-24,1.21663,0.0014322284322036971,-1,-1.0,0.0,0.0,-0.0014322284322036971,1.0000430706200527
2021-02-25,1.21828,0.001356205255500731,-1,-1.0,0.0,0.0,-0.001356205255500731,0.9986868069519507
2021-02-26,1.20657,-0.009611911875759382,1,-1.0,0.0,0.0,0.009611911875759382,1.0082860965318563
2021-03-01,1.20504,-0.0012680573858127042,-1,1.0,2.0,0.001,-0.0022680573858127042,1.005999245803605
2021-03-02,1.20843,0.0028131846245766923,-1,-1.0,2.0,0.001,-0.0038131846245766923,1.0021631849471708
2021-03-03,1.20634,-0.0017295168110688097,-1,-1.0,0.0,0.0,0.0017295168110688097,1.003896443022971
2021-03-04,1.19751,-0.007319661123729504,1,-1.0,0.0,0.0,0.007319661123729504,1.0112446247892166
2021-03-05,1.19156,-0.0049686432681147474,-1,1.0,2.0,0.001,-0.0059686432681147475,1.0052088663670513
2021-03-08,1.18489,-0.0055977038504145815,1,-1.0,2.0,0.001,0.0045977038504145815,1.009830519042418
2021-03-09,1.19022,0.00449830785980132,-1,1.0,2.0,0.001,0.0034983078598013204,1.0133632170842515
2021-03-10,1.19262,0.0020164339365831285,0,-1.0,2.0,0.001,-0.0030164339365831285,1.0103064738861536
2021-03-11,1.19833,0.004787778169073054,-1,0.0,1.0,0.0005,-0.0005,1.0098013206492105
2021-03-12,1.19611,-0.001852578171288255,-1,-1.0,1.0,0.0005,0.001352578171288255,1.0111671558728585
2021-03-15,1.19247,-0.0030431983680431207,-1,-1.0,0.0,0.0,0.0030431983680431207,1.0142443381114297
2021-03-16,1.19019,-0.001911997786107733,-1,-1.0,0.0,0.0,0.001911997786107733,1.016183571040471
2021-03-17,1.19786,0.006444349221552681,0,-1.0,0.0,0.0,-0.006444349221552681,1.0096349292354816
2021-03-18,1.19172,-0.005125807690381179,1,0.0,1.0,0.0005,-0.0005,1.009130111770864
2021-03-19,1.19048,-0.0010405128721511225,0,1.0,1.0,0.0005,-0.0015405128721511225,1.0075755338440058
2021-03-22,1.19338,0.0024359922048251548,-1,0.0,1.0,0.0005,-0.0005,1.007071746077084
2021-03-23,1.18474,-0.0072399403375288385,0,-1.0,1.0,0.0005,0.006739940337528838,1.0138593495612545
2021-03-24,1.18118,-0.0030048787075644956,1,0.0,1.0,0.0005,-0.0005,1.0133524198864738
2021-03-25,1.17738,-0.003217121861189498,1,1.0,1.0,0.0005,-0.003717121861189498,1.0095856654534245
2021-03-26,1.17929,0.0016222460038388675,0,1.0,0.0,0.0,0.0016222460038388675,1.0112234617647393
2021-03-29,1.17656,-0.002314952217011834,0,0.0,1.0,0.0005,-0.0005,1.010717850033857
2021-03-30,1.17177,-0.004071190589515217,-1,0.0,0.0,0.0,-0.0,1.010717850033857
2021-03-31,1.17279,0.0008704779948283115,0,-1.0,1.0,0.0005,-0.0013704779948283115,1.0093326834614054
2021-04-01,1.17756,0.004067224311257611,-1,0.0,1.0,0.0005,-0.0005,1.0088280171196746
2021-04-05,1.18135,0.00321851965080322,-1,-1.0,1.0,0.0005,-0.00371851965080322,1.0050766703137344
2021-04-06,1.18722,0.004968891522410868,-1,-1.0,0.0,0.0,-0.004968891522410868,1.0000825533672395
2021-04-07,1.18697,-0.00021057596738582873,-1,-1.0,0.0,0.0,0.00021057596738582873,1.0002931467183804
2021-04-08,1.19153,0.003841714617892622,-1,-1.0,0.0,0.0,-0.003841714617892622,0.9964503059144546
2021-04-09,1.19031,-0.001023893649341634,-1,-1.0,0.0,0.0,0.001023893649341634,0.997470565054565
2021-04-12,1.19126,0.000798111416353775,-1,-1.0,0.0,0.0,-0.000798111416353775,0.9966744724091181
2021-04-13,1.195,0.00313953293151803,-1,-1.0,0.0,0.0,-0.00313953293151803,0.9935453800809864
2021-04-14,1.19789,0.002418410041840957,-1,-1.0,0.0,0.0,-0.002418410041840957,0.9911425799567738
2021-04-15,1.19674,-0.0009600213709105576,-1,-1.0,0.0,0.0,0.0009600213709105576,0.9920940980151516
2021-04-16,1.19809,0.0011280645754301322,-1,-1.0,0.0,0.0,-0.0011280645754301322,0.9909749518076874
2021-04-19,1.20374,0.0047158393776760565,-1,-1.0,0.0,0.0,-0.0047158393776760565,0.986301673107662
2021-04-20,1.20351,-0.0001910711615464855,-1,-1.0,0.0,0.0,0.0001910711615464855,0.986490126913978
2021-04-21,1.20361,8.309029422282066e-05,-1,-1.0,0.0,0.0,-8.309029422282066e-05,0.9864081591590848
2021-04-22,1.20169,-0.0015952011033475433,-1,-1.0,0.0,0.0,0.0015952011033475433,0.9879816785429263
2021-04-23,1.20996,0.006881974552505277,-1,-1.0,0.0,0.0,-0.006881974552505277,0.9811824137728524
2021-04-26,1.20866,-0.0010744156831629104,-1,-1.0,0.0,0.0,0.0010744156831629104,0.9822366115462537
2021-04-27,1.20891,0.00020684063342857328,-1,-1.0,0.0,0.0,-0.00020684063342857328,0.9820334451033448
2021-04-28,1.21255,0.003010976830367884,-1,-1.0,0.0,0.0,-0.003010976830367884,0.9790765651534923
2021-04-29,1.21229,-0.00021442414745775906,-1,-1.0,0.0,0.0,0.00021442414745775906,0.9792865028112712
2021-04-30,1.20234,-0.008207607090712776,-1,-1.0,0.0,0.0,0.008207607090712776,0.9873241016555844
2021-05-03,1.20644,0.0034100171332567264,-1,-1.0,0.0,0.0,-0.0034100171332567264,0.9839573095528615
2021-05-04,1.20116,-0.004376512715095648,-1,-1.0,0.0,0.0,0.004376512715095648,0.9882636112292309
2021-05-05,1.20069,-0.000391288421192848,-1,-1.0,0.0,0.0,0.000391288421192848,0.988650307337391
2021-05-06,1.20634,0.004705627597464845,0,-1.0,0.0,0.0,-0.004705627597464845,0.983998087166942
2021-05-07,1.21664,0.008538223054860072,-1,0.0,1.0,0.0005,-0.0005,0.9835060881233586
2021-05-10,1.21313,-0.00288499473961068,-1,-1.0,1.0,0.0005,0.00238499473961068,0.9858517449699078
2021-05-11,1.21498,0.001524980834700207,-1,-1.0,0.0,0.0,-0.001524980834700207,0.9843483399529729
2021-05-12,1.20713,-0.006461011703896236,0,-1.0,0.0,0.0,0.006461011703896236,0.9907082260981199
2021-05-13,1.20821,0.0008946840853925053,-1,0.0,1.0,0.0005,-0.0005,0.9902128719850709
2021-05-14,1.2143,0.005040514480098679,0,-1.0,1.0,0.0005,-0.005540514480098679,0.9847265832294576
2021-05-17,1.21529,0.000815284526064497,-1,0.0,1.0,0.0005,-0.0005,0.9842342199378429
2021-05-18,1.22247,0.005908054867562518,-1,-1.0,1.0,0.0005,-0.006408054867562518,0.9779271930539486
2021-05-19,1.21765,-0.003942837043035885,-1,-1.0,0.0,0.0,0.003942837043035885,0.9817830006161138
2021-05-20,1.22296,0.0043608590317416596,-1,-1.0,0.0,0.0,-0.0043608590317416596,0.9775015833506666
2021-05-21,1.21868,-0.0034997056322365605,-1,-1.0,0.0,0.0,0.0034997056322365605,0.9809225511474391
2021-05-24,1.22168,0.0024616798503298565,-1,-1.0,0.0,0.0,-0.0024616798503298565,0.9785078338685452
2021-05-25,1.225,0.0027175692489032066,-1,-1.0,0.0,0.0,-0.0027175692489032066,0.9758486710694132
2021-05-26,1.21944,-0.004538775510204096,-1,-1.0,0.0,0.0,0.004538775510204096,0.9802778291193284
2021-05-27,1.21949,4.100242734361714e-05,0,-1.0,0.0,0.0,-4.100242734361714e-05,0.9802376353488633
2021-05-28,1.21947,-1.6400298485375053e-05,-1,0.0,1.0,0.0005,-0.0005,0.979747516531189
2021-05-31,1.22271,0.0026568919284606363,-1,-1.0,1.0,0.0005,-0.0031568919284606363,0.9766545595043223
2021-06-01,1.22143,-0.0010468549369841984,0,-1.0,0.0,0.0,0.0010468549369841984,0.9776769751516675
2021-06-02,1.22119,-0.00019649099825613803,-1,0.0,1.0,0.0005,-0.0005,0.9771881366640918
2021-06-03,1.21273,-0.006927668913109253,0,-1.0,1.0,0.0005,0.006427668913109252,0.9834691784723868
2021-06-04,1.21688,0.0034220312847870193,-1,0.0,1.0,0.0005,-0.0005,0.9829774438831507
2021-06-07,1.21918,0.001890079547695711,0,-1.0,1.0,0.0005,-0.002390079547695711,0.9806280495986794
2021-06-08,1.21731,-0.001533817811972038,0,0.0,1.0,0.0005,-0.0005,0.9801377355738802
2021-06-09,1.21789,0.0004764603921763033,0,0.0,0.0,0.0,0.0,0.9801377355738802
