Date,Open,High,Low,Close,Volume
2025-12-17,133.96,136.82,133.6211,133.78,6158389
2025-12-18,133.3,135.41,132.96,133.99,4257799
2025-12-19,134.15,137.05,133.61,135.28,10530750
2025-12-22,136.09,138.52,135.95,136.95,5568207
2025-12-23,136.6,137.21,135.58,136.49,3464822
2025-12-24,136.01,137.99,135.81,136.78,1457175
2025-12-26,136.73,137.2113,136.15,136.82,1776009
2025-12-29,136.5,137.16,136.16,136.62,2773301
2025-12-30,135.89,137.42,135.89,136.91,2406200
2025-12-31,136.62,137.58,135.565,135.72,2188111
2026-01-02,135.94,136.11,132.34,133.01,3863838
2026-01-05,133.1,137.96,132.635,135.87,4336138
2026-01-06,135.95,138.38,135.945,138.02,3112977
2026-01-07,137.65,139.55,136.83,137.04,3585125
2026-01-08,136.105,138.78,134.55,138.66,3593052
2026-01-09,140.005,141.4,137.91,139.27,4578134
2026-01-12,139.28,140.24,137.015,138.51,3371083
2026-01-13,138.14,140.19,136.5,140.07,4109111
2026-01-14,139.5,139.65,130.15,132.79,7681559
2026-01-15,134.54,135.5,131.93,132.6,3090673
