Date,Open,High,Low,Close,Volume
2025-12-17,162.0,164.23,161.0114,162.17,2638563.0
2025-12-18,163.13,164.23,161.43,161.76,2605982.0
2025-12-19,161.68,163.935,161.68,161.96,3716111.0
2025-12-22,162.295,162.6399,159.07,160.0,2334602.0
2025-12-23,160.0,160.49,158.45,160.15,1828970.0
2025-12-24,160.1,160.68,159.07,160.34,854422.0
2025-12-26,160.34,162.175,160.0,162.08,1245725.0
2025-12-29,161.88,162.7,160.82,161.72,2185159.0
2025-12-30,161.68,161.68,160.64,161.17,1293576.0
2025-12-31,161.14,161.3399,160.04,160.1,1201817.0
2026-01-02,160.27,161.89,159.06,161.82,1961223.0
2026-01-05,161.15,164.3999,160.8,163.55,2894564.0
2026-01-06,162.81,166.53,161.8224,166.21,2854814.0
2026-01-07,165.69,165.865,161.77,162.91,2734582.0
2026-01-08,161.77,165.79,161.05,165.24,2526909.0
2026-01-09,165.5,166.25,163.95,165.24,2306849.0
2026-01-12,164.3,168.27,163.11,167.94,3247797.0
2026-01-13,168.0,170.4,167.79,169.42,2828238.0
2026-01-14,169.4,170.85,168.13,169.99,3121984.0
2026-01-15,170.5,173.06,169.928,171.1,1847694.0
