feature,importance
volatility_10,0.013588820564249962
close_over_sma_100,0.011708307988465666
body_to_range,0.011009550313974343
body_abs,0.009361810900513745
body,0.009323686253099556
return_5,0.009121549410734125
sma_10,0.008232891150275505
bb_width,0.007655475074267974
sma_20,0.007551862467471041
close,0.004942692227863251
log_return_1,0.004569129325224961
close_over_ema_26,0.004471812427281497
ema_12,0.003535167544736196
macd,0.0025667764611797383
bb_upper,0.0018064828236721286
ema_26,0.0005782972662631506
volume_sma_20,0.00032457622663920223
volume_over_sma_20,0.00019794939470963151
asset_ETH-USD,0.0
asset_BTC-USD,0.0
bb_mid,0.0
asset_EURUSD=X,0.0
return_1,0.0
close_over_ema_12,-0.00014721482988684469
upper_wick,-0.0006892011918850204
bb_lower,-0.0009157470390926924
close_over_sma_20,-0.0012271928871026164
lower_wick,-0.0016554506451160302
sma_100,-0.0020517249829737024
macd_signal,-0.0035092779730825745
close_over_sma_50,-0.003868760553099998
bb_pos,-0.004668617002149463
volume,-0.005201984760140928
range,-0.005403681037897659
close_over_sma_10,-0.0056378144833834475
macd_hist,-0.006159902241428355
sma_50,-0.00804972444060297
volatility_20,-0.014111195375550941
