run,run_dir,is_portfolio,asset,mode,task,signal_source,price,stop_loss,take_profit,trailing_stop,trailing_atr_mult,atr_window,stop_priority,cost_bps,slippage_bps,execution_delay,vol_target,vol_lookback,max_leverage,portfolio_weighting,weight_lookback,model,input,wavelet_kernel,wavelet_ar_p,long_only,uses_proba_signal,uses_stop_loss,uses_take_profit,uses_trailing_stop,uses_trailing_atr,uses_vol_target,uses_hmm,uses_fft,uses_wavelet,uses_dmd,uses_neural_net,m_start,m_end,m_n_bars,m_total_return,m_cagr,m_max_drawdown,m_ann_factor,m_sharpe,m_avg_bar_return,m_vol_bar,m_turnover_sum,m_n_position_changes,t_n_trades,t_n_wins,t_n_losses,t_n_breakeven,t_win_rate,t_win_loss_ratio,t_avg_win,t_avg_loss,t_profit_factor,t_expectancy,t_median_trade_return
bt_crypto_5y_BTC-USD_hgb_baseline,bt_crypto_5y_BTC-USD_hgb_baseline,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,,,False,False,False,False,False,False,False,False,False,False,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,-0.16188669390507915,-0.08626547703222487,-0.24678314539127577,365.76083916083917,-0.3398104297614509,-0.0001897083537175194,0.010676978134578866,37.0,24,18,10,8,0,0.5555555555555556,1.25,0.04036463718123088,-0.0331885319330341,1.520278045993278,0.0076743397971131095,0.009063628310687633
bt_crypto_5y_BTC-USD_hgb_dmd,bt_crypto_5y_BTC-USD_hgb_dmd,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,,,False,False,False,False,False,False,True,False,False,False,True,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,0.0,0.0,0.0,365.76083916083917,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_crypto_5y_BTC-USD_hgb_fft,bt_crypto_5y_BTC-USD_hgb_fft,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,,,False,False,False,False,False,False,True,False,True,False,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,-0.05063524965758259,-0.026195123571020718,-0.07924657788735812,365.76083916083917,-0.41546282804243956,-6.771377241130169e-05,0.003117047633586189,13.145382127593232,250,244,124,120,0,0.5081967213114754,1.0333333333333334,0.014158521345425478,-0.01321609410130123,1.1070193617567519,0.0006955957158877526,0.00024262218376652767
bt_crypto_5y_BTC-USD_hgb_hmm,bt_crypto_5y_BTC-USD_hgb_hmm,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,,,False,False,False,False,False,False,True,True,False,False,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,-0.05063524965758259,-0.026195123571020718,-0.07924657788735812,365.76083916083917,-0.41546282804243956,-6.771377241130169e-05,0.003117047633586189,13.145382127593232,250,244,124,120,0,0.5081967213114754,1.0333333333333334,0.014158521345425478,-0.01321609410130123,1.1070193617567519,0.0006955957158877526,0.00024262218376652767
bt_crypto_5y_BTC-USD_hgb_hmm_fft_dmd,bt_crypto_5y_BTC-USD_hgb_hmm_fft_dmd,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,,,False,False,False,False,False,False,True,True,True,False,True,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,0.0,0.0,0.0,365.76083916083917,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_crypto_5y_BTC-USD_hgb_hmm_wavelet_dmd,bt_crypto_5y_BTC-USD_hgb_hmm_wavelet_dmd,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,,,False,False,False,False,False,False,True,True,False,True,True,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,0.0,0.0,0.0,365.76083916083917,,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
bt_crypto_5y_BTC-USD_hgb_proba_hmm_fft,bt_crypto_5y_BTC-USD_hgb_proba_hmm_fft,False,BTC-USD,long_short,classification,proba,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,,,False,True,False,False,False,False,True,True,True,False,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,-0.05926700001878682,-0.030728178318237154,-0.08126170134604893,365.76083916083917,-0.49568957070497055,-8.050363093959584e-05,0.0031060202999321366,12.263474045385035,250,241,121,120,0,0.5020746887966805,1.0083333333333333,0.014230038714081088,-0.01321609410130123,1.08569311477731,0.0005639144906542075,5.803409503080115e-05
bt_crypto_5y_BTC-USD_hgb_proba_hmm_wavelet,bt_crypto_5y_BTC-USD_hgb_proba_hmm_wavelet,False,BTC-USD,long_short,classification,proba,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,,,False,True,False,False,False,False,True,True,False,True,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,0.012334848785175101,0.006282229685873331,-0.037016882504230075,365.76083916083917,0.19423484166988259,1.8841404293804104e-05,0.0018551743681889242,15.156307824880768,100,80,43,37,0,0.5375,1.162162162162162,0.01462266067360727,-0.01464281071969681,1.1605629049171315,0.0010873801542041332,0.0010412068131043783
bt_crypto_5y_BTC-USD_hgb_stops,bt_crypto_5y_BTC-USD_hgb_stops,False,BTC-USD,long_short,classification,predict,,0.01,0.02,,,,,5.0,0.0,1,,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,,,False,False,True,True,False,False,False,False,False,False,False,False,2024-02-02 00:00:00,2026-01-16 00:00:00,715,-0.3016278044085159,-0.16777270829659852,-0.36607757421243525,365.76155462184875,-1.338972707196492,-0.00047866493090766466,0.006836895044299269,356.0,100,178,54,124,0,0.30337078651685395,0.43548387096774194,0.019594319803847744,-0.00985589657111401,0.865777169594934,-0.0009215612663503309,-0.00990099009900991
bt_crypto_5y_BTC-USD_hgb_voltarget,bt_crypto_5y_BTC-USD_hgb_voltarget,False,BTC-USD,long_short,classification,predict,,,,,,,,5.0,0.0,1,0.1,,,,,hgb,outputs_crypto_5y_1d\BTC-USD_5y_1d.csv,,,False,False,False,False,False,False,True,False,False,False,False,False,2024-02-02 00:00:00,2026-01-17 00:00:00,716,-0.05063524965758259,-0.026195123571020718,-0.07924657788735812,365.76083916083917,-0.41546282804243956,-6.771377241130169e-05,0.003117047633586189,13.145382127593232,250,244,124,120,0,0.5081967213114754,1.0333333333333334,0.014158521345425478,-0.01321609410130123,1.1070193617567519,0.0006955957158877526,0.00024262218376652767
