time,mark,price,price_next,signal,desired_pos,position,turnover,cost,gross_ret,strategy_ret,equity,event
2025-07-14,open,118614.0,120035.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2025-07-15,open,120035.0,117553.0,-1.0,-1.0,-1.0,1.0,0.0005,0.021113880547497743,0.020613880547497743,1.0206138805474978,
2025-07-16,open,117553.0,119345.0,-1.0,-1.0,-1.0,0.0,0.0,-0.015015291801080854,-0.015015291801080854,1.0052890653148436,
2025-07-17,open,119345.0,120334.0,-1.0,-1.0,-1.0,0.0,0.0,-0.008218791031628592,-0.008218791031628592,0.9970268045606397,
2025-07-18,open,120334.0,118033.0,0.0,-1.0,-1.0,0.0,0.0,0.019494548134843637,0.019494548134843637,1.0164633915938766,
2025-07-21,open,118033.0,117274.0,1.0,0.0,0.0,1.0,0.0005,0.0,-0.0005,1.0159551598980796,signal
2025-07-22,open,117274.0,119435.0,1.0,1.0,1.0,1.0,0.0005,0.018426931800740176,0.017926931800740176,1.0341681187621825,
2025-07-23,open,119435.0,118189.0,-1.0,1.0,1.0,0.0,0.0,-0.010432452798593395,-0.010432452798593395,1.0233792086773859,
2025-07-24,open,118189.0,118598.0,-1.0,-1.0,-1.0,2.0,0.001,-0.0034486247660162617,-0.004448624766016262,1.0188265785846375,signal
2025-07-25,open,118598.0,119699.0,1.0,-1.0,-1.0,0.0,0.0,-0.00919807183017407,-0.00919807183017407,1.0094553385323255,
2025-07-28,open,119699.0,118125.0,-1.0,1.0,1.0,2.0,0.001,-0.013149650373018962,-0.014149650373018963,0.9951718984249156,signal
2025-07-29,open,118125.0,117616.0,-1.0,-1.0,-1.0,2.0,0.001,0.0043276424976192995,0.0033276424976192995,0.998483474726551,signal
2025-07-30,open,117616.0,117312.0,-1.0,-1.0,-1.0,0.0,0.0,0.0025913802509547335,0.0025913802509547335,1.001070925083862,
2025-07-31,open,117312.0,116525.0,-1.0,-1.0,-1.0,0.0,0.0,0.006753915468783456,0.006753915468783456,1.0078320734901354,
2025-08-01,open,116525.0,114424.0,-1.0,-1.0,-1.0,0.0,0.0,0.018361532545619896,0.018361532545619896,1.026337414908044,
2025-08-04,open,114424.0,115170.0,-1.0,-1.0,-1.0,0.0,0.0,-0.006477381262481541,-0.006477381262481541,1.0196894361677349,
2025-08-05,open,115170.0,113576.0,-1.0,-1.0,-1.0,0.0,0.0,0.014034655208846836,0.014034655208846836,1.0340004258244524,
2025-08-06,open,113576.0,115083.0,-1.0,-1.0,-1.0,0.0,0.0,-0.01309489672671027,-0.01309489672671027,1.0204602970329066,
2025-08-07,open,115083.0,117152.0,-1.0,-1.0,-1.0,0.0,0.0,-0.01766081671674402,-0.01766081671674402,1.0024381347602944,
2025-08-08,open,117152.0,118701.0,-1.0,-1.0,-1.0,0.0,0.0,-0.013049595201388375,-0.013049595201388375,0.9893567228872377,
2025-08-11,open,118701.0,118712.0,-1.0,-1.0,-1.0,0.0,0.0,-9.266123054119113e-05,-9.266123054119113e-05,0.9892650478758508,
2025-08-12,open,118712.0,119903.0,-1.0,-1.0,-1.0,0.0,0.0,-0.009933029198602172,-0.009933029198602172,0.9794386492701433,
2025-08-13,open,119903.0,122625.0,-1.0,-1.0,-1.0,0.0,0.0,-0.02219775739041796,-0.02219775739041796,0.9576973077548461,
2025-08-14,open,122625.0,117981.0,-1.0,-1.0,-1.0,0.0,0.0,0.03936227019604854,0.03936227019604854,0.9953944479487206,
2025-08-15,open,117981.0,117832.0,-1.0,-1.0,-1.0,0.0,0.0,0.0012645121868422038,0.0012645121868422038,0.9966531363588668,
2025-08-18,open,117832.0,116719.0,-1.0,-1.0,-1.0,0.0,0.0,0.009535722547314496,0.009535722547314496,1.0061569441430958,
2025-08-19,open,116719.0,113430.0,1.0,-1.0,-1.0,0.0,0.0,0.028995856475359183,0.028995856475359183,1.0353313264871549,
2025-08-20,open,113430.0,114390.0,1.0,1.0,1.0,2.0,0.001,0.008463369478973748,0.007463369478973748,1.0430583867098846,signal
2025-08-21,open,114390.0,112589.0,1.0,1.0,1.0,0.0,0.0,-0.015744383250284155,-0.015744383250284155,1.0266360757171011,
2025-08-22,open,112589.0,112978.0,-1.0,1.0,1.0,0.0,0.0,0.0034550444537211344,0.0034550444537211344,1.0301831489964974,
2025-08-25,open,112978.0,109899.0,1.0,-1.0,-1.0,2.0,0.001,0.028016633454353457,0.027016633454353456,1.0580152295237875,signal
2025-08-26,open,109899.0,111605.0,-1.0,1.0,1.0,2.0,0.001,0.015523344161457286,0.014523344161457286,1.0733811488302245,signal
2025-08-27,open,111605.0,111559.0,-1.0,-1.0,-1.0,2.0,0.001,0.0004123378660618737,-0.0005876621339381263,1.072750363373774,signal
2025-08-28,open,111559.0,112047.0,-1.0,-1.0,-1.0,0.0,0.0,-0.004355315180236907,-0.004355315180236907,1.0680781974315676,
2025-08-29,open,112047.0,109059.0,1.0,-1.0,-1.0,0.0,0.0,0.027398013919071262,0.027398013919071262,1.0973414187514543,
2025-09-01,open,109059.0,107690.0,-1.0,1.0,1.0,2.0,0.001,-0.012552838371890473,-0.013552838371890474,1.082469327864335,signal
2025-09-02,open,107690.0,111162.0,-1.0,-1.0,-1.0,2.0,0.001,-0.031233694967704784,-0.032233694967704785,1.0475773417380596,signal
2025-09-03,open,111162.0,112066.0,-1.0,-1.0,-1.0,0.0,0.0,-0.008066674995092171,-0.008066674995092171,1.039126875790036,
2025-09-04,open,112066.0,110522.0,-1.0,-1.0,-1.0,0.0,0.0,0.013970069307468247,0.013970069307468247,1.0536435502640757,
2025-09-05,open,110522.0,111050.0,-1.0,-1.0,-1.0,0.0,0.0,-0.004754615038271015,-0.004754615038271015,1.0486338807950129,
