entry_time,exit_time,side,entry_price,exit_price,return
2025-05-19 00:00:00,2025-05-20 00:00:00,long,2528.52,2524.81,-0.0014672614810244955
2025-05-20 00:00:00,2025-05-21 00:00:00,long,2524.81,2552.1,0.010808734122567554
2025-05-22 00:00:00,2025-05-23 00:00:00,long,2664.5,2526.82,-0.05167198348658275
2025-05-23 00:00:00,2025-05-24 00:00:00,long,2526.82,2531.68,0.0019233661281767844
2025-05-24 00:00:00,2025-05-25 00:00:00,long,2531.68,2551.43,0.007801143904442975
2025-05-25 00:00:00,2025-05-26 00:00:00,long,2551.43,2563.64,0.004785551631830032
2025-05-26 00:00:00,2025-05-27 00:00:00,long,2563.64,2663.04,0.03877299464823447
2025-05-27 00:00:00,2025-05-28 00:00:00,long,2663.04,2682.41,0.007273642153328597
2025-05-28 00:00:00,2025-05-29 00:00:00,long,2682.41,2631.26,-0.019068673319887597
2025-05-29 00:00:00,2025-05-30 00:00:00,long,2631.26,2531.46,-0.037928596945949966
2025-05-30 00:00:00,2025-05-31 00:00:00,long,2531.46,2529.11,-0.0009283180457126949
2025-05-31 00:00:00,2025-06-01 00:00:00,long,2529.11,2538.28,0.0036257814013624934
2025-06-01 00:00:00,2025-06-02 00:00:00,long,2538.28,2608.13,0.027518634665994357
2025-06-02 00:00:00,2025-06-03 00:00:00,long,2608.13,2594.64,-0.005172288191156227
2025-06-03 00:00:00,2025-06-04 00:00:00,long,2594.64,2608.18,0.005218450343785541
2025-06-04 00:00:00,2025-06-05 00:00:00,long,2608.18,2416.63,-0.07344201703870123
2025-06-05 00:00:00,2025-06-06 00:00:00,short,2416.63,2478.03,-0.025407282041520762
2025-06-06 00:00:00,2025-06-07 00:00:00,long,2478.03,2525.68,0.019228984314152653
2025-06-07 00:00:00,2025-06-08 00:00:00,long,2525.68,2511.12,-0.005764784137341161
2025-06-08 00:00:00,2025-06-09 00:00:00,long,2511.12,2681.57,0.06787807830768755
2025-06-09 00:00:00,2025-06-10 00:00:00,long,2681.57,2816.32,0.05025041300432198
2025-06-10 00:00:00,2025-06-11 00:00:00,short,2816.32,2771.98,0.01574394955118741
2025-06-11 00:00:00,2025-06-12 00:00:00,long,2771.98,2643.89,-0.046208847105679074
2025-06-12 00:00:00,2025-06-13 00:00:00,long,2643.89,2579.64,-0.02430131359474108
2025-06-13 00:00:00,2025-06-14 00:00:00,short,2579.64,2533.18,0.018010264998216785
2025-06-14 00:00:00,2025-06-15 00:00:00,long,2533.18,2546.96,0.005439802935440996
2025-06-15 00:00:00,2025-06-16 00:00:00,long,2546.96,2541.11,-0.00229685585953443
2025-06-16 00:00:00,2025-06-17 00:00:00,long,2541.11,2510.11,-0.01219939317857155
2025-06-17 00:00:00,2025-06-18 00:00:00,long,2510.11,2525.79,0.006246738190756496
2025-06-18 00:00:00,2025-06-19 00:00:00,long,2525.79,2521.43,-0.001726192597167664
2025-06-19 00:00:00,2025-06-20 00:00:00,long,2521.43,2406.04,-0.045763713448320975
2025-06-20 00:00:00,2025-06-21 00:00:00,long,2406.04,2296.29,-0.045614370500906
2025-06-23 00:00:00,2025-06-24 00:00:00,long,2413.73,2448.24,0.01429737377420004
2025-06-24 00:00:00,2025-06-25 00:00:00,long,2448.24,2419.12,-0.01189425873280392
2025-06-25 00:00:00,2025-06-26 00:00:00,long,2419.12,2416.21,-0.001202916763120454
2025-06-26 00:00:00,2025-06-27 00:00:00,long,2416.21,2424.18,0.003298554347511029
2025-06-27 00:00:00,2025-06-28 00:00:00,long,2424.18,2437.56,0.0055193921243472666
2025-06-28 00:00:00,2025-06-29 00:00:00,long,2437.56,2501.2,0.026108075288403088
2025-06-29 00:00:00,2025-06-30 00:00:00,long,2501.2,2486.1,-0.006037102190948329
2025-06-30 00:00:00,2025-07-01 00:00:00,long,2486.1,2405.76,-0.03231567515385536
2025-07-01 00:00:00,2025-07-02 00:00:00,long,2405.76,2570.49,0.06847316440542683
2025-07-02 00:00:00,2025-07-03 00:00:00,long,2570.49,2591.13,0.0080295974697433
2025-07-03 00:00:00,2025-07-04 00:00:00,long,2591.13,2508.0,-0.03208252770026976
2025-07-04 00:00:00,2025-07-05 00:00:00,long,2508.0,2516.99,0.003584529505582079
2025-07-05 00:00:00,2025-07-06 00:00:00,long,2516.99,2572.17,0.021923011215777777
2025-07-06 00:00:00,2025-07-07 00:00:00,long,2572.17,2542.52,-0.011527231870366306
2025-07-07 00:00:00,2025-07-08 00:00:00,long,2542.52,2615.74,0.028798200210814473
2025-07-08 00:00:00,2025-07-09 00:00:00,long,2615.74,2770.33,0.05909991054156771
2025-07-09 00:00:00,2025-07-10 00:00:00,long,2770.33,2951.71,0.06547234444993921
