entry_time,exit_time,side,entry_price,exit_price,return
2025-05-13 00:00:00,2025-05-14 00:00:00,long,183.75,176.63,-0.0387482993197279
2025-05-14 00:00:00,2025-05-27 00:00:00,short,176.63,176.8,-0.0009624639076035724
2025-05-27 00:00:00,2025-06-11 00:00:00,long,176.8,160.99,-0.08942307692307694
2025-06-11 00:00:00,2025-06-12 00:00:00,short,160.99,152.46,0.05298465743213865
2025-06-12 00:00:00,2025-06-16 00:00:00,long,152.46,150.67,-0.011740784468057375
2025-06-16 00:00:00,2025-06-17 00:00:00,short,150.67,147.6,0.020375655405853843
2025-06-17 00:00:00,2025-06-29 00:00:00,long,147.6,153.41,0.03936314363143634
2025-06-29 00:00:00,2025-07-01 00:00:00,short,153.41,146.91,0.04237011928818202
2025-07-01 00:00:00,2025-07-09 00:00:00,long,146.91,157.09,0.06929412565516313
2025-07-09 00:00:00,2025-07-10 00:00:00,short,157.09,164.26,-0.04564262524667373
2025-07-10 00:00:00,2025-07-13 00:00:00,long,164.26,161.21,-0.018568123706319106
2025-07-13 00:00:00,2025-07-15 00:00:00,short,161.21,164.0,-0.01730661869611061
2025-07-15 00:00:00,2025-07-16 00:00:00,long,164.0,173.84,0.06000000000000005
2025-07-16 00:00:00,2025-08-19 00:00:00,short,173.84,176.2,-0.013575701794753758
2025-08-19 00:00:00,2025-08-21 00:00:00,long,176.2,180.29,0.02321225879682176
2025-08-21 00:00:00,2025-08-25 00:00:00,short,180.29,187.19,-0.038271673415053664
2025-08-25 00:00:00,2025-08-27 00:00:00,long,187.19,202.91,0.08397884502377262
2025-08-27 00:00:00,2025-08-30 00:00:00,short,202.91,202.71,0.0009856586664037659
2025-08-30 00:00:00,2025-08-31 00:00:00,long,202.71,200.71,-0.009866311479453382
2025-08-31 00:00:00,2025-09-02 00:00:00,short,200.71,209.52,-0.0438941756763489
2025-09-02 00:00:00,2025-09-03 00:00:00,long,209.52,210.71,0.005679648720885888
2025-09-03 00:00:00,2025-09-07 00:00:00,short,210.71,206.41,0.02040719472260455
2025-09-07 00:00:00,2025-09-08 00:00:00,long,206.41,214.11,0.037304394166949306
2025-09-08 00:00:00,2025-09-23 00:00:00,short,214.11,213.33,0.0036429872495445936
2025-09-23 00:00:00,2025-09-24 00:00:00,long,213.33,211.73,-0.00750011718933119
2025-09-24 00:00:00,2025-10-03 00:00:00,short,211.73,232.83,-0.09965522127237536
2025-10-03 00:00:00,2025-10-04 00:00:00,long,232.83,228.03,-0.020615900012884936
2025-10-04 00:00:00,2025-10-11 00:00:00,short,228.03,177.8,0.2202780335920712
2025-10-11 00:00:00,2025-10-13 00:00:00,long,177.8,208.75,0.1740719910011248
2025-10-13 00:00:00,2025-10-17 00:00:00,short,208.75,182.02,0.1280479041916167
2025-10-17 00:00:00,2025-10-19 00:00:00,long,182.02,187.93,0.03246895945500494
2025-10-19 00:00:00,2025-10-21 00:00:00,short,187.93,185.75,0.011600063853562492
2025-10-21 00:00:00,2025-10-25 00:00:00,long,185.75,193.89,0.043822341857335134
2025-10-25 00:00:00,2025-11-05 00:00:00,short,193.89,162.43,0.16225694981690642
2025-11-05 00:00:00,2025-11-06 00:00:00,long,162.43,155.24,-0.044265221941759525
2025-11-06 00:00:00,2025-11-11 00:00:00,short,155.24,154.54,0.004509147127029212
2025-11-11 00:00:00,2025-11-19 00:00:00,long,154.54,136.92,-0.1140157887925457
2025-11-19 00:00:00,2025-11-20 00:00:00,short,136.92,133.49,0.025051124744376096
2025-11-20 00:00:00,2025-11-27 00:00:00,long,133.49,140.83,0.05498539216420717
2025-11-27 00:00:00,2025-11-29 00:00:00,short,140.83,135.95,0.03465170773272752
2025-11-29 00:00:00,2025-12-04 00:00:00,long,135.95,139.04,0.022728944464876832
2025-12-04 00:00:00,2025-12-05 00:00:00,short,139.04,133.31,0.04121116225546595
2025-12-05 00:00:00,2025-12-10 00:00:00,long,133.31,136.3,0.022428925061885874
2025-12-10 00:00:00,2025-12-13 00:00:00,short,136.3,133.17,0.022964049889948823
2025-12-13 00:00:00,2025-12-17 00:00:00,long,133.17,123.22,-0.0747165277464894
2025-12-17 00:00:00,2025-12-18 00:00:00,short,123.22,119.55,0.029784125953578933
2025-12-18 00:00:00,2026-01-08 00:00:00,long,119.55,138.26,0.1565035549979088
2026-01-08 00:00:00,2026-01-10 00:00:00,short,138.26,135.67,0.01873282221900774
