entry_time,exit_time,side,entry_price,exit_price,return
2024-04-19 00:00:00,2024-04-22 00:00:00,long,1.06549,1.0652,-0.0002721752433153535
2024-04-26 00:00:00,2024-04-29 00:00:00,long,1.07001,1.07211,0.0019625984803879337
2024-04-29 00:00:00,2024-04-30 00:00:00,long,1.07211,1.06689,-0.004868903377451939
2024-04-30 00:00:00,2024-05-01 00:00:00,long,1.06689,1.07124,0.0040772713213170775
2024-05-01 00:00:00,2024-05-02 00:00:00,long,1.07124,1.07249,0.0011668720361450724
2024-05-02 00:00:00,2024-05-03 00:00:00,long,1.07249,1.07643,0.0036736939272161706
2024-05-23 00:00:00,2024-05-24 00:00:00,long,1.0815,1.0849,0.0031437817845585414
2024-05-24 00:00:00,2024-05-27 00:00:00,long,1.0849,1.0858,0.0008295695455804442
2024-05-27 00:00:00,2024-05-28 00:00:00,long,1.0858,1.08584,3.6839196905447125e-05
2024-06-03 00:00:00,2024-06-04 00:00:00,long,1.09035,1.08802,-0.0021369285091942247
2024-07-16 00:00:00,2024-07-17 00:00:00,long,1.08994,1.09386,0.003596528249261599
2024-07-17 00:00:00,2024-07-18 00:00:00,long,1.09386,1.08975,-0.003757336405024514
2024-07-18 00:00:00,2024-07-19 00:00:00,short,1.08975,1.08795,0.0016517549896765127
2024-10-10 00:00:00,2024-10-11 00:00:00,short,1.0936,1.09333,0.0002468910021945492
2024-11-12 00:00:00,2024-11-13 00:00:00,short,1.06216,1.05633,0.0054888152444075855
2024-11-13 00:00:00,2024-11-14 00:00:00,long,1.05633,1.05312,-0.003038823095055432
2024-11-14 00:00:00,2024-11-15 00:00:00,long,1.05312,1.05279,-0.00031335460346415545
2024-11-15 00:00:00,2024-11-18 00:00:00,long,1.05279,1.05984,0.006696492177927116
2024-11-18 00:00:00,2024-11-19 00:00:00,long,1.05984,1.05956,-0.0002641908212558386
2024-11-28 00:00:00,2024-11-29 00:00:00,short,1.05532,1.05824,-0.002766933252473125
2024-11-29 00:00:00,2024-12-02 00:00:00,long,1.05824,1.04968,-0.008088902328394432
2024-12-02 00:00:00,2024-12-03 00:00:00,short,1.04968,1.05089,-0.0011527322612607804
2024-12-17 00:00:00,2024-12-18 00:00:00,long,1.04936,1.03515,-0.013541587253182996
2024-12-18 00:00:00,2024-12-19 00:00:00,long,1.03515,1.03653,0.0013331401246194918
2024-12-19 00:00:00,2024-12-20 00:00:00,long,1.03653,1.04289,0.006135857138722667
2024-12-20 00:00:00,2024-12-23 00:00:00,long,1.04289,1.04055,-0.0022437649224750222
2024-12-23 00:00:00,2024-12-24 00:00:00,short,1.04055,1.03976,0.00075921387727651
2024-12-24 00:00:00,2024-12-26 00:00:00,long,1.03976,1.04239,0.0025294298684310768
2025-01-06 00:00:00,2025-01-07 00:00:00,long,1.039,1.03426,-0.004562078922040413
2025-01-07 00:00:00,2025-01-08 00:00:00,short,1.03426,1.03185,0.0023301684296018754
2025-01-09 00:00:00,2025-01-10 00:00:00,long,1.03015,1.02445,-0.00553317478037163
2025-01-10 00:00:00,2025-01-13 00:00:00,long,1.02445,1.02597,0.0014837229733026813
2025-01-13 00:00:00,2025-01-14 00:00:00,long,1.02597,1.0307,0.004610271255494736
