entry_time,exit_time,side,entry_price,exit_price,return
2024-04-19 00:00:00,2024-05-17 00:00:00,long,1.06549,1.08727,0.02044129930829941
2024-05-20 00:00:00,2024-07-18 00:00:00,long,1.08599,1.08975,0.003462278658182827
2024-07-18 00:00:00,2024-07-19 00:00:00,short,1.08975,1.08795,0.0016517549896765127
2024-07-19 00:00:00,2024-07-25 00:00:00,long,1.08795,1.08457,-0.00310676042097513
2024-07-25 00:00:00,2024-08-02 00:00:00,short,1.08457,1.09131,-0.006214444434199606
2024-08-02 00:00:00,2024-08-06 00:00:00,long,1.09131,1.09291,0.0014661278646763698
2024-08-06 00:00:00,2024-08-07 00:00:00,short,1.09291,1.0924,0.00046664409695218456
2024-08-07 00:00:00,2024-08-08 00:00:00,long,1.0924,1.09172,-0.0006224826071036249
2024-08-08 00:00:00,2024-11-13 00:00:00,short,1.09172,1.05633,0.03241673689224345
2024-11-13 00:00:00,2024-11-19 00:00:00,long,1.05633,1.05956,0.0030577565722833544
2024-11-19 00:00:00,2024-11-22 00:00:00,short,1.05956,1.04147,0.01707312469326905
2024-11-22 00:00:00,2024-11-28 00:00:00,long,1.04147,1.05532,0.013298510758831483
2024-11-28 00:00:00,2024-11-29 00:00:00,short,1.05532,1.05824,-0.002766933252473125
2024-11-29 00:00:00,2024-12-02 00:00:00,long,1.05824,1.04968,-0.008088902328394432
2024-12-02 00:00:00,2024-12-03 00:00:00,short,1.04968,1.05089,-0.0011527322612607804
2024-12-03 00:00:00,2024-12-23 00:00:00,long,1.05089,1.04055,-0.009839279087249908
2024-12-23 00:00:00,2024-12-24 00:00:00,short,1.04055,1.03976,0.00075921387727651
2024-12-24 00:00:00,2024-12-27 00:00:00,long,1.03976,1.04257,0.002702546741555789
2024-12-27 00:00:00,2024-12-30 00:00:00,short,1.04257,1.04055,0.001937519782844177
2024-12-30 00:00:00,2025-01-07 00:00:00,long,1.04055,1.03426,-0.0060448801114796336
2025-01-07 00:00:00,2025-01-08 00:00:00,short,1.03426,1.03185,0.0023301684296018754
2025-01-08 00:00:00,2025-01-15 00:00:00,long,1.03185,1.02934,-0.002432524107186085
2025-01-15 00:00:00,2025-01-16 00:00:00,short,1.02934,1.03019,-0.0008257718538091652
2025-01-16 00:00:00,2025-01-21 00:00:00,long,1.03019,1.04277,0.012211339655791686
2025-01-21 00:00:00,2025-01-29 00:00:00,short,1.04277,1.04215,0.0005945702312111223
2025-01-29 00:00:00,2025-02-11 00:00:00,long,1.04215,1.0362,-0.00570935086120028
2025-02-11 00:00:00,2025-02-14 00:00:00,short,1.0362,1.0492,-0.012545840571318134
2025-02-14 00:00:00,2025-03-06 00:00:00,long,1.0492,1.07918,0.028574151734655162
2025-03-06 00:00:00,2025-03-07 00:00:00,short,1.07918,1.08475,-0.0051613261921088505
2025-03-11 00:00:00,2025-03-12 00:00:00,long,1.09158,1.08893,-0.0024276736473736182
2025-03-13 00:00:00,2025-03-19 00:00:00,long,1.08526,1.09087,0.005169268193796928
