Date,close,ret,signal,position,turnover,cost,strategy_ret,equity
2025-07-14,1.16642,,0,0.0,0.0,0.0,0.0,1.0
2025-07-15,1.16006,-0.00545258140292515,1,0.0,0.0,0.0,-0.0,1.0
2025-07-16,1.16357,0.003025705566953363,1,0.0,0.0,0.0,0.0,1.0
2025-07-17,1.15984,-0.003205651572316226,1,0.0,0.0,0.0,-0.0,1.0
2025-07-18,1.16224,0.002069250931162836,1,0.0,0.0,0.0,0.0,1.0
2025-07-21,1.16937,0.006134705396475759,-1,0.0,0.0,0.0,0.0,1.0
2025-07-22,1.17493,0.004754696973584105,-1,-0.0,0.0,0.0,-0.0,1.0
2025-07-23,1.17701,0.0017703182317243549,-1,-0.0,0.0,0.0,-0.0,1.0
2025-07-24,1.17472,-0.0019456079387599745,-1,-0.0,0.0,0.0,0.0,1.0
2025-07-25,1.17439,-0.00028091800599283623,-1,-0.0,0.0,0.0,0.0,1.0
2025-07-28,1.15905,-0.013062100324423898,0,-0.0,0.0,0.0,0.0,1.0
2025-07-29,1.15486,-0.003615029550062432,0,0.0,0.0,0.0,-0.0,1.0
2025-07-30,1.14085,-0.012131340595396889,1,0.0,0.0,0.0,-0.0,1.0
2025-07-31,1.14176,0.0007976508743481325,1,0.0,0.0,0.0,0.0,1.0
2025-08-01,1.15693,0.013286505044842967,1,0.0,0.0,0.0,0.0,1.0
2025-08-04,1.15697,3.457426119135576e-05,1,0.0,0.0,0.0,0.0,1.0
2025-08-05,1.15745,0.00041487679023655133,1,0.0,0.0,0.0,0.0,1.0
2025-08-06,1.16583,0.007240053566028637,1,0.0,0.0,0.0,0.0,1.0
2025-08-07,1.16654,0.0006090081744336562,0,0.0,0.0,0.0,0.0,1.0
2025-08-08,1.16427,-0.0019459255576319556,1,0.0,0.0,0.0,-0.0,1.0
2025-08-11,1.16159,-0.002301871559002633,1,2.0,2.0,0.001,-0.005603743118005266,0.9943962568819947
2025-08-12,1.16744,0.005036200380513112,0,2.0,0.0,0.0,0.010072400761026223,1.0044122144965746
2025-08-13,1.17057,0.0026810799698486765,-1,0.0,2.0,0.001,-0.001,1.003407802282078
2025-08-14,1.16513,-0.0046473085761638,-1,-2.0,2.0,0.001,0.008294617152327599,1.0117306858496664
2025-08-15,1.17011,0.004274201162101976,0,-2.0,0.0,0.0,-0.008548402324203952,1.0030820049032807
2025-08-18,1.16622,-0.003324473767423508,-1,0.0,2.0,0.001,-0.001,1.0020789228983775
2025-08-19,1.16475,-0.00126048258476108,0,-2.0,2.0,0.001,0.0015209651695221602,1.0036030500372184
2025-08-20,1.16525,0.00042927666881298343,0,0.0,2.0,0.001,-0.001,1.002599446987181
2025-08-21,1.1608,-0.003818922977901651,1,0.0,0.0,0.0,-0.0,1.002599446987181
2025-08-22,1.17202,0.009665747760165377,0,2.0,2.0,0.001,0.018331495520330754,1.0209785942583127
2025-08-25,1.16201,-0.008540809883790468,1,0.0,2.0,0.001,-0.001,1.0199576156640544
2025-08-26,1.16453,0.0021686560356624085,0,2.0,2.0,0.001,0.003337312071324817,1.0233615325270498
2025-08-27,1.16374,-0.0006783852713112548,0,0.0,2.0,0.001,-0.001,1.0223381709945227
2025-08-28,1.16793,0.003600460583979226,0,0.0,0.0,0.0,0.0,1.0223381709945227
2025-08-29,1.16985,0.0016439341398886143,0,0.0,0.0,0.0,0.0,1.0223381709945227
2025-09-01,1.17094,0.0009317433859041824,1,0.0,0.0,0.0,0.0,1.0223381709945227
2025-09-02,1.16416,-0.005790219823389786,1,2.0,2.0,0.001,-0.012580439646779573,1.0094767073357271
2025-09-03,1.16612,0.0016836173721825887,1,2.0,0.0,0.0,0.0033672347443651773,1.0128758523782952
2025-09-04,1.16494,-0.00101190272013163,1,2.0,0.0,0.0,-0.00202380544026326,1.0108259887179407
2025-09-05,1.17181,0.005897299431730341,0,2.0,0.0,0.0,0.011794598863460681,1.0227482757756299
2025-09-08,1.17615,0.0037036720970122783,0,0.0,2.0,0.001,-0.001,1.0217255274998542
2025-09-09,1.17114,-0.004259660757556349,1,0.0,0.0,0.0,-0.0,1.0217255274998542
2025-09-10,1.17001,-0.000964871834281178,1,2.0,2.0,0.001,-0.002929743668562356,1.018732133604653
2025-09-11,1.17349,0.0029743335527046,1,2.0,0.0,0.0,0.0059486671054092,1.0247922319370504
2025-09-12,1.17363,0.0001193022522560927,0,2.0,0.0,0.0,0.0002386045045121854,1.0250367519797796
2025-09-15,1.17659,0.002522089585303755,0,0.0,2.0,0.001,-0.001,1.0240117152277999
2025-09-16,1.18642,0.008354652002821705,-1,0.0,0.0,0.0,0.0,1.0240117152277999
2025-09-17,1.18155,-0.0041047858262671655,-1,-2.0,2.0,0.001,0.007209571652534331,1.0313944010617695
2025-09-18,1.17866,-0.002445939655537299,-1,-2.0,0.0,0.0,0.004891879311074598,1.0364398579938818
2025-09-19,1.17478,-0.003291873822815816,-1,-2.0,0.0,0.0,0.006583747645631632,1.0432635164687878
2025-09-22,1.17997,0.004417848448220019,-1,-2.0,0.0,0.0,-0.008835696896440037,1.0340455562541555
2025-09-23,1.18145,0.0012542691763348657,-1,-2.0,0.0,0.0,-0.0025085383526697314,1.0314516133178842
2025-09-24,1.17395,-0.006348131533285284,0,-2.0,0.0,0.0,0.012696263066570568,1.0445471943410067
2025-09-25,1.16613,-0.0066612717747773775,1,0.0,2.0,0.001,-0.001,1.0435026471466657
2025-09-26,1.17058,0.003816041093188449,1,2.0,2.0,0.001,0.006632082186376898,1.0504232424642443
2025-09-29,1.17269,0.0018025252438962358,0,2.0,0.0,0.0,0.0036050504877924716,1.0542100712868787
2025-09-30,1.17368,0.0008442128780836722,-1,0.0,2.0,0.001,-0.001,1.0531558612155918
2025-10-01,1.17328,-0.00034080839751893244,-1,-2.0,2.0,0.001,-0.00031838320496213515,1.0528205540771733
2025-10-02,1.17181,-0.001252897858993629,-1,-2.0,0.0,0.0,0.002505795717987258,1.055458707313389
2025-10-03,1.17413,0.001979843148633309,-1,-2.0,0.0,0.0,-0.003959686297266618,1.0512794219327095
2025-10-06,1.17097,-0.0026913544496774966,-1,-2.0,0.0,0.0,0.005382708899354993,1.0569381530328554
2025-10-07,1.16576,-0.0044493027148433395,-1,-2.0,0.0,0.0,0.008898605429686679,1.0663434286202766
2025-10-08,1.16291,-0.002444757068350123,0,-2.0,0.0,0.0,0.004889514136700246,1.0715573298890928
2025-10-09,1.15653,-0.005486237112072301,1,0.0,2.0,0.001,-0.001,1.0704857725592036
2025-10-10,1.16128,0.004107113520617656,1,2.0,2.0,0.001,0.007214227041235311,1.078208499966858
2025-10-13,1.1572,-0.003513364563240584,1,2.0,0.0,0.0,-0.007026729126481168,1.0706322208957213
2025-10-14,1.16082,0.0031282405807120384,0,2.0,0.0,0.0,0.006256481161424077,1.077330611216569
2025-10-15,1.1644,0.0030840268086353984,0,0.0,2.0,0.001,-0.001,1.0762532806053524
2025-10-16,1.16885,0.00382171075231863,-1,0.0,0.0,0.0,0.0,1.0762532806053524
2025-10-17,1.16708,-0.0015143089361338014,-1,-2.0,2.0,0.001,0.0020286178722676027,1.078436587245475
2025-10-20,1.16449,-0.002219213764266259,0,-2.0,0.0,0.0,0.004438427528532518,1.0832231498820821
2025-10-21,1.1605,-0.0034263926697524205,1,0.0,2.0,0.001,-0.001,1.0821399267322
2025-10-22,1.16128,0.0006721240844462795,0,2.0,2.0,0.001,0.0003442481688925589,1.0825124514204632
2025-10-23,1.16178,0.0004305593827500509,-1,0.0,2.0,0.001,-0.001,1.0814299389690427
2025-10-24,1.16318,0.0012050474272238265,-1,-2.0,2.0,0.001,-0.003410094854447653,1.0777421602987187
2025-10-27,1.165,0.0015646761464260805,-1,-2.0,0.0,0.0,-0.003129352292852161,1.0743695253982846
2025-10-28,1.16508,6.866952789685854e-05,-1,-2.0,0.0,0.0,-0.00013733905579371708,1.0742219725020927
2025-10-29,1.16038,-0.004034057747107411,-1,-2.0,0.0,0.0,0.008068115494214823,1.082888919442663
2025-10-30,1.15682,-0.003067960495699684,0,-2.0,0.0,0.0,0.006135920991399368,1.089533440294825
2025-10-31,1.15371,-0.002688404419010637,0,0.0,2.0,0.001,-0.001,1.0884439068545302
2025-11-03,1.15211,-0.0013868303126436388,1,0.0,0.0,0.0,-0.0,1.0884439068545302
2025-11-04,1.14843,-0.0031941394484901187,1,2.0,2.0,0.001,-0.007388278896980237,1.08040217970697
2025-11-05,1.14927,0.0007314333481360791,1,2.0,0.0,0.0,0.0014628666962721582,1.0819826640742432
