Date,close,ret,signal,position,turnover,cost,strategy_ret,equity
2025-07-14,3014.59,,1,0.0,0.0,0.0,0.0,1.0
2025-07-15,3140.01,0.04160433093720872,1,1.0,1.0,0.0005,0.04110433093720872,1.0411043309372088
2025-07-16,3372.67,0.07409530542896348,1,1.0,0.0,0.0,0.07409530542896348,1.118245274321418
2025-07-17,3479.33,0.03162479578494182,1,1.0,0.0,0.0,0.03162479578494182,1.153609552759309
2025-07-18,3549.05,0.020038340715022862,1,1.0,0.0,0.0,0.020038340715022862,1.1767259740296052
2025-07-19,3596.18,0.013279610036488476,1,1.0,0.0,0.0,0.013279610036488476,1.1923524360845255
2025-07-20,3760.07,0.045573358396965746,-1,1.0,0.0,0.0,0.045573358396965746,1.2466919409897008
2025-07-21,3764.17,0.0010904052318174706,-1,-1.0,2.0,0.001,-0.0020904052318174706,1.2440858496337912
2025-07-22,3749.04,-0.004019478397628173,1,-1.0,0.0,0.0,0.004019478397628173,1.2490864258311891
2025-07-23,3629.0,-0.03201886349572158,1,1.0,2.0,0.001,-0.033018863495721584,1.2078430116423102
2025-07-24,3706.09,0.02124276660236979,1,1.0,0.0,0.0,0.02124276660236979,1.2335009388309313
2025-07-25,3725.52,0.005242722114141785,1,1.0,0.0,0.0,0.005242722114141785,1.239967841480755
2025-07-26,3742.2,0.00447722734007594,-1,1.0,0.0,0.0,0.00447722734007594,1.2455194594014474
2025-07-27,3875.0,0.0354871465982578,-1,-1.0,2.0,0.001,-0.0364871465982578,1.2000740082952839
2025-07-28,3797.08,-0.020108387096774205,-1,-1.0,0.0,0.0,0.020108387096774205,1.224205560998863
2025-07-29,3792.87,-0.0011087467211646773,-1,-1.0,0.0,0.0,0.0011087467211646773,1.225562894900652
2025-07-30,3806.85,0.0036858632117631185,-1,-1.0,0.0,0.0,-0.0036858632117631185,1.2210456377126357
2025-07-31,3698.08,-0.02857217909820453,-1,-1.0,0.0,0.0,0.02857217909820453,1.2559335723604426
2025-08-01,3485.96,-0.05735949465668666,1,-1.0,0.0,0.0,0.05735949465668666,1.3279732873934047
2025-08-02,3392.97,-0.02667557860675407,1,1.0,2.0,0.001,-0.02767557860675407,1.291220858290479
2025-08-03,3496.8,0.03060150841298337,1,1.0,0.0,0.0,0.03060150841298337,1.3307341642484747
2025-08-04,3719.99,0.06382692747654994,1,1.0,0.0,0.0,0.06382692747654994,1.4156708372405293
2025-08-05,3611.38,-0.029196315043857557,1,1.0,0.0,0.0,-0.029196315043857557,1.3743384654780533
2025-08-06,3683.56,0.01998681944298286,1,1.0,0.0,0.0,0.01998681944298286,1.4018071202411093
2025-08-07,3912.74,0.06221698574205381,1,1.0,0.0,0.0,0.06221698574205381,1.48902333385426
