entry_time,exit_time,side,entry_price,exit_price,return
2025-07-15 00:00:00,2025-07-21 00:00:00,long,3140.01,3764.17,0.19877643701771652
2025-07-21 00:00:00,2025-07-23 00:00:00,short,3764.17,3629.0,0.03590964276321207
2025-07-23 00:00:00,2025-07-27 00:00:00,long,3629.0,3875.0,0.06778726922017086
2025-07-27 00:00:00,2025-08-02 00:00:00,short,3875.0,3392.97,0.12439483870967749
2025-08-02 00:00:00,2025-08-13 00:00:00,long,3392.97,4750.83,0.4001980565699079
2025-08-13 00:00:00,2025-08-18 00:00:00,short,4750.83,4312.56,0.09225124872916934
2025-08-18 00:00:00,2025-08-23 00:00:00,long,4312.56,4776.69,0.107622850464689
2025-08-23 00:00:00,2025-08-26 00:00:00,short,4776.69,4600.83,0.036816289103961064
2025-08-27 00:00:00,2025-08-30 00:00:00,short,4506.04,4374.39,0.02921634073377055
2025-08-30 00:00:00,2025-08-31 00:00:00,long,4374.39,4391.93,0.004009701924154063
2025-08-31 00:00:00,2025-09-05 00:00:00,short,4391.93,4307.02,0.019333186093585253
2025-09-06 00:00:00,2025-09-13 00:00:00,long,4274.96,4666.17,0.09151196736343725
2025-09-13 00:00:00,2025-09-25 00:00:00,short,4666.17,3872.63,0.17006238521099748
2025-09-25 00:00:00,2025-10-03 00:00:00,long,3872.63,4514.89,0.165845949651787
2025-10-03 00:00:00,2025-10-04 00:00:00,short,4514.89,4489.0,0.005734358976630771
2025-10-05 00:00:00,2025-10-11 00:00:00,short,4516.68,3749.47,0.16986149118379001
2025-10-11 00:00:00,2025-10-13 00:00:00,long,3749.47,4244.36,0.13198932115739015
2025-10-13 00:00:00,2025-10-16 00:00:00,short,4244.36,3895.24,0.08225503962906067
2025-10-17 00:00:00,2025-10-22 00:00:00,short,3833.11,3805.71,0.007148242549783412
2025-10-22 00:00:00,2025-10-25 00:00:00,long,3805.71,3954.29,0.0390413352567589
2025-10-25 00:00:00,2025-11-05 00:00:00,short,3954.29,3424.01,0.1341024558138123
2025-11-05 00:00:00,2025-11-08 00:00:00,long,3424.01,3400.21,-0.006950914278871956
2025-11-08 00:00:00,2025-11-21 00:00:00,short,3400.21,2765.39,0.18670023322088936
2025-11-21 00:00:00,2025-11-27 00:00:00,long,2765.39,3014.85,0.09020789111119942
2025-11-27 00:00:00,2025-11-29 00:00:00,short,3014.85,2990.01,0.008239215881386985
2025-11-29 00:00:00,2025-12-02 00:00:00,long,2990.01,2997.97,0.0026621984541856936
2025-12-02 00:00:00,2025-12-17 00:00:00,short,2997.97,2833.01,0.05502389950533182
2025-12-17 00:00:00,2025-12-18 00:00:00,long,2833.01,2826.65,-0.00224496207214242
2025-12-18 00:00:00,2025-12-19 00:00:00,short,2826.65,2977.94,-0.05352272124246005
2025-12-19 00:00:00,2025-12-23 00:00:00,long,2977.94,2963.44,-0.004869137726079109
2025-12-23 00:00:00,2025-12-25 00:00:00,short,2963.44,2902.89,0.020432335394001577
2025-12-25 00:00:00,2025-12-30 00:00:00,long,2902.89,2970.49,0.02328713799007187
