entry_time,exit_time,side,entry_price,exit_price,return
2024-02-02 00:00:00,2024-02-09 00:00:00,long,2306.46,2487.21,0.07836684789677695
2024-02-09 00:00:00,2024-02-10 00:00:00,short,2487.21,2500.02,-0.005150349186437753
2024-02-10 00:00:00,2024-02-13 00:00:00,long,2500.02,2641.74,0.05668754649962793
2024-02-13 00:00:00,2024-02-17 00:00:00,short,2641.74,2787.7,-0.05525146305086803
2024-02-17 00:00:00,2024-02-18 00:00:00,long,2787.7,2881.49,0.033644222836029636
2024-02-18 00:00:00,2024-02-19 00:00:00,short,2881.49,2943.97,-0.021683226386348675
2024-02-19 00:00:00,2024-02-20 00:00:00,long,2943.97,3016.33,0.0245790548137379
2024-02-20 00:00:00,2024-02-21 00:00:00,short,3016.33,2971.37,0.014905530893502994
2024-02-21 00:00:00,2024-02-23 00:00:00,long,2971.37,2921.96,-0.016628693161740205
2024-02-23 00:00:00,2024-02-25 00:00:00,short,2921.96,3112.8,-0.06531232460403302
2024-02-25 00:00:00,2024-02-28 00:00:00,long,3112.8,3385.53,0.08761565150346962
2024-02-28 00:00:00,2024-02-29 00:00:00,short,3385.53,3342.6,0.01268043703644639
2024-02-29 00:00:00,2024-03-01 00:00:00,long,3342.6,3436.26,0.028020104110572763
2024-03-01 00:00:00,2024-03-02 00:00:00,short,3436.26,3421.49,0.0042982777787479165
2024-03-02 00:00:00,2024-03-03 00:00:00,long,3421.49,3489.54,0.019888995729930636
2024-03-03 00:00:00,2024-03-04 00:00:00,short,3489.54,3631.23,-0.04060420571192758
2024-03-04 00:00:00,2024-03-07 00:00:00,long,3631.23,3872.54,0.06645406652842145
2024-03-07 00:00:00,2024-03-16 00:00:00,short,3872.54,3520.27,0.09096613592112668
2024-03-16 00:00:00,2024-03-22 00:00:00,long,3520.27,3335.09,-0.05260391958571353
2024-03-22 00:00:00,2024-04-05 00:00:00,short,3335.09,3320.55,0.004359702436815827
2024-04-05 00:00:00,2024-04-07 00:00:00,long,3320.55,3454.03,0.04019815994338294
2024-04-07 00:00:00,2024-04-11 00:00:00,short,3454.03,3505.25,-0.01482905475632812
2024-04-11 00:00:00,2024-04-12 00:00:00,long,3505.25,3240.1,-0.0756436773411312
2024-04-12 00:00:00,2024-04-26 00:00:00,short,3240.1,3129.96,0.0339927780006789
2024-04-26 00:00:00,2024-04-28 00:00:00,long,3129.96,3262.02,0.04219223248859416
2024-04-28 00:00:00,2024-05-03 00:00:00,short,3262.02,3104.77,0.04820632614147058
2024-05-03 00:00:00,2024-05-05 00:00:00,long,3104.77,3137.54,0.010554727081233173
2024-05-05 00:00:00,2024-05-06 00:00:00,short,3137.54,3063.02,0.023751091619549025
2024-05-06 00:00:00,2024-05-07 00:00:00,long,3063.02,3005.14,-0.01889638330797716
2024-05-07 00:00:00,2024-05-09 00:00:00,short,3005.14,3036.25,-0.010352263122516803
2024-05-09 00:00:00,2024-05-16 00:00:00,long,3036.25,2944.48,-0.03022478386167149
2024-05-16 00:00:00,2024-06-10 00:00:00,short,2944.48,3664.38,-0.24449138727381414
2024-06-10 00:00:00,2024-06-11 00:00:00,long,3664.38,3497.85,-0.04544561426489613
2024-06-11 00:00:00,2024-06-13 00:00:00,short,3497.85,3468.9,0.008276512714953443
2024-06-13 00:00:00,2024-06-14 00:00:00,long,3468.9,3480.1,0.0032286892098358777
2024-06-14 00:00:00,2024-06-15 00:00:00,short,3480.1,3564.36,-0.024211947932530675
2024-06-15 00:00:00,2024-06-17 00:00:00,long,3564.36,3511.23,-0.014905901760764895
2024-06-17 00:00:00,2024-06-26 00:00:00,short,3511.23,3367.66,0.040888805347413903
2024-06-26 00:00:00,2024-06-27 00:00:00,long,3367.66,3445.39,0.0230813086831807
