Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,239.746,239.896,232.744,236.59,61778705,
2025-01-13,233.274,234.412,229.468,234.143,49685293,
2025-01-14,234.492,235.861,232.217,233.024,39478652,
2025-01-15,234.377,238.698,234.173,237.609,39875763,
2025-01-16,237.089,237.749,227.78,228.009,71837949,
2025-01-17,231.86,232.035,228.229,229.727,68563602,
2025-01-21,223.754,224.174,219.139,222.395,98178255,
2025-01-22,219.549,223.874,219.549,223.584,64197005,
2025-01-23,224.493,226.781,222.056,223.414,60300986,
2025-01-24,224.533,225.382,221.167,222.535,54758046,
2025-01-27,223.774,231.895,223.734,229.608,94967718,
2025-01-28,230.596,239.926,230.557,237.998,75790808,
2025-01-29,233.863,239.592,233.753,239.097,45536111,
2025-01-30,238.403,240.526,236.949,237.329,55719474,
2025-01-31,246.919,246.919,233.184,235.741,101186258,
2025-02-03,229.737,231.575,225.452,227.76,73143632,
2025-02-04,227.0,232.874,226.401,232.544,45116851,
2025-02-05,228.279,232.414,228.019,232.215,39708599,
2025-02-06,231.031,233.543,230.172,232.964,29958251,
2025-02-07,232.345,233.743,227.01,227.38,39750881,
2025-02-10,229.57,230.585,227.2,227.65,33115645,
2025-02-11,228.2,235.23,228.13,232.62,53718362,
2025-02-12,231.2,236.96,230.68,236.87,45243292,
2025-02-13,236.91,242.339,235.57,241.53,53614054,
2025-02-14,241.25,245.55,240.99,244.6,40896227,
2025-02-18,243.91,245.18,241.84,244.47,48822491,
2025-02-19,244.66,246.01,243.16,244.87,32204215,
2025-02-20,244.94,246.78,244.29,245.83,32316907,
2025-02-21,245.95,248.69,245.22,245.55,53197431,
2025-02-24,244.925,248.86,244.42,247.172,51326396,
2025-02-25,248.0,250.0,244.91,247.04,48013272,
2025-02-26,244.33,244.98,239.13,240.36,44433564,
2025-02-27,239.41,242.46,237.06,237.3,41153639,
2025-02-28,236.95,242.09,230.2,241.84,56833360,
2025-03-03,241.79,244.0272,236.112,238.03,47183985,
2025-03-04,237.705,240.07,234.68,235.93,53798062,
2025-03-05,235.42,236.55,229.23,235.74,47227643,
2025-03-06,234.435,237.86,233.1581,235.33,45170419,
2025-03-07,235.105,241.37,234.76,239.07,46273565,
2025-03-10,235.54,236.16,224.22,227.48,72071197,
2025-03-11,223.805,225.8399,217.45,220.84,76137410,
2025-03-12,220.14,221.75,214.91,216.98,62547467,
2025-03-13,215.95,216.8394,208.42,209.68,61368330,
2025-03-14,211.25,213.95,209.58,213.49,60107582,
2025-03-17,213.31,215.22,209.97,214.0,48073426,
2025-03-18,214.16,215.15,211.49,212.69,42432426,
2025-03-19,214.22,218.76,213.75,215.24,54385391,
2025-03-20,213.99,217.4899,212.22,214.1,48862947,
2025-03-21,211.56,218.84,211.28,218.27,94127768,
2025-03-24,221.0,221.48,218.58,220.73,44299483,
2025-03-25,220.77,224.1,220.08,223.75,34493583,
2025-03-26,223.51,225.02,220.47,221.53,34532656,
2025-03-27,221.39,224.99,220.5601,223.85,37094774,
2025-03-28,221.67,223.81,217.68,217.9,39818617,
2025-03-31,217.005,225.62,216.23,222.13,65299321,
2025-04-01,219.805,223.68,218.9,223.19,36412740,
2025-04-02,221.315,225.19,221.02,223.89,35905904,
2025-04-03,205.54,207.49,201.25,203.19,103419006,
2025-04-04,193.89,199.88,187.34,188.38,125910913,
2025-04-07,177.2,194.15,174.62,181.46,160466286,
2025-04-08,186.7,190.335,169.2101,172.42,120859491,
2025-04-09,171.95,200.61,171.89,198.85,184395885,
2025-04-10,189.065,194.7799,183.0,190.42,121879981,
2025-04-11,186.1,199.54,186.06,198.15,87435915,
2025-04-14,211.44,212.94,201.1621,202.52,101352911,
2025-04-15,201.855,203.51,199.8,202.14,51343872,
2025-04-16,198.36,200.7,192.37,194.27,59732423,
2025-04-17,197.2,198.8335,194.42,196.98,52164675,
2025-04-21,193.265,193.8,189.8112,193.16,46742537,
2025-04-22,196.12,201.59,195.97,199.74,52976371,
2025-04-23,206.0,208.0,202.799,204.6,52929165,
2025-04-24,204.89,208.8299,202.94,208.37,47310989,
2025-04-25,206.365,209.75,206.2,209.28,38222258,
2025-04-28,210.0,211.5,207.46,210.14,38743074,
