Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,131.3,133.05,128.8,129.63,4325415,
2025-01-13,128.585,130.13,128.0835,128.85,3510639,
2025-01-14,129.82,131.1,127.17,127.6,3999323,
2025-01-15,130.19,133.15,130.16,132.52,3732921,
2025-01-16,132.0,132.95,129.82,132.16,2904932,
2025-01-17,134.17,135.62,132.69,135.12,3751223,
2025-01-21,135.47,135.64,131.24,133.07,5396777,
2025-01-22,133.0,135.0,132.34,132.5,5028540,
2025-01-23,132.4,133.64,131.775,133.24,3968199,
2025-01-24,132.61,132.72,126.72,127.09,6966883,
2025-01-27,125.94,129.06,125.64,128.96,4806967,
2025-01-28,128.67,131.42,126.86,131.05,5929900,
2025-01-29,131.42,134.05,130.89,132.58,3627926,
2025-01-30,133.56,134.3714,130.85,131.79,2440541,
2025-01-31,132.28,134.45,130.57,131.17,3047116,
2025-02-03,129.19,130.955,127.515,129.78,2745002,
2025-02-04,129.58,131.49,129.08,130.74,2687169,
2025-02-05,130.27,130.34,128.1,129.6,3001069,
2025-02-06,130.16,133.19,130.15,132.57,3704352,
2025-02-07,134.7,139.5,133.9056,134.98,5933237,
2025-02-10,136.3,136.36,133.16,135.24,4760053,
2025-02-11,134.91,136.25,134.09,134.52,4042978,
2025-02-12,133.07,141.2,132.79,140.52,6147194,
2025-02-13,139.64,141.94,138.76,141.04,12745328,
2025-02-14,158.185,163.93,156.93,161.42,21649318,
2025-02-18,161.04,162.5761,158.07,160.6,8144501,
2025-02-19,160.0,160.0,155.21,157.98,6906074,
2025-02-20,156.32,157.75,152.47,155.31,5099655,
2025-02-21,154.565,154.565,145.75,146.07,7356423,
2025-02-24,147.0,147.07,143.88,144.82,4478917,
2025-02-25,144.785,145.16,140.4,141.55,6189194,
2025-02-26,143.16,145.13,142.2201,144.03,2910748,
2025-02-27,144.63,145.69,139.05,139.45,4411760,
2025-02-28,139.5,140.16,137.59,138.87,6253063,
2025-03-03,140.34,144.75,139.9012,140.98,6688879,
2025-03-04,139.995,143.23,137.82,141.42,4799516,
2025-03-05,141.87,142.79,139.21,142.58,3881642,
2025-03-06,140.325,140.325,134.61,134.77,5924270,
2025-03-07,134.71,134.73,130.37,134.39,5616851,
2025-03-10,134.57,135.94,130.2,132.15,7493002,
2025-03-11,129.98,130.7686,123.7,125.44,9318416,
2025-03-12,127.0,127.48,123.531,126.55,4834071,
2025-03-13,124.99,126.22,119.15,119.38,7669670,
2025-03-14,121.88,124.45,121.57,122.86,4418189,
2025-03-17,123.9,128.0,123.75,126.94,5266169,
2025-03-18,126.0,126.07,123.0,124.56,3918026,
2025-03-19,125.1,127.08,124.12,126.0,4353075,
2025-03-20,124.7,127.77,124.36,126.15,3260630,
2025-03-21,124.655,129.25,123.3,128.8,8704602,
2025-03-24,130.245,130.72,128.69,129.82,3706638,
2025-03-25,129.55,130.76,128.55,129.88,4362943,
2025-03-26,129.97,131.0,127.85,128.64,3504665,
2025-03-27,126.015,127.09,123.43,125.65,4904488,
2025-03-28,125.54,125.54,119.94,120.69,3997126,
2025-03-31,118.81,119.95,115.68,119.46,7090262,
2025-04-01,119.67,121.35,117.8,121.18,3916445,
2025-04-02,119.48,124.59,119.08,122.8,5184821,
2025-04-03,116.62,117.18,111.8,113.97,7950574,
2025-04-04,109.26,110.42,104.73,106.66,10259898,
2025-04-07,103.01,110.91,99.88,106.3,9975609,
2025-04-08,110.74,112.97,104.15,105.69,7661500,
2025-04-09,105.73,123.295,105.39,121.32,12840724,
2025-04-10,117.61,118.5,110.06,113.91,6929590,
2025-04-11,113.87,115.43,111.59,114.54,4817600,
2025-04-14,117.3,118.29,112.55,113.22,4338183,
2025-04-15,114.225,115.71,113.52,114.64,5182448,
2025-04-16,113.58,115.62,111.03,112.64,5026557,
2025-04-17,113.75,114.0,111.86,112.7,4454738,
2025-04-21,111.32,113.4,109.79,111.61,5695003,
2025-04-22,112.59,115.8,112.05,114.91,4827240,
2025-04-23,119.7,122.32,116.72,118.28,5183356,
2025-04-24,118.86,121.89,118.0,121.71,3690309,
2025-04-25,121.43,123.09,120.8301,122.51,2905028,
2025-04-28,122.51,125.23,122.1099,123.3,5608777,
2025-04-29,123.28,125.99,123.16,125.49,6525371,
2025-04-30,121.055,122.25,118.05,121.92,7534188,
2025-05-01,121.92,125.08,121.9,124.01,9431762,
2025-05-02,121.1,126.56,120.1335,125.26,11301618,
2025-05-05,123.355,127.59,122.3,124.89,6761722,
2025-05-06,123.145,124.5,121.57,121.67,5229296,
2025-05-07,121.335,123.65,120.41,123.12,3424249,
2025-05-08,124.625,127.63,123.62,126.39,3819882,
2025-05-09,124.96,127.33,123.4,127.04,6145152,
2025-05-12,133.16,134.85,132.14,134.21,7198291,
2025-05-13,134.62,138.53,133.75,138.05,6890732,
2025-05-14,138.35,139.835,137.1,137.45,6148712,
2025-05-15,137.08,137.78,135.27,136.79,3463732,
2025-05-16,137.55,138.45,136.21,138.0,3690187,
2025-05-19,135.31,137.37,135.03,136.6,4904672,
2025-05-20,133.755,134.6,131.39,132.13,6607933,
2025-05-21,130.68,130.79,126.97,127.52,6687377,
2025-05-22,126.79,128.329,125.94,127.65,6451798,
2025-05-23,125.09,127.375,125.0,126.72,4371484,
2025-05-27,128.68,130.4,128.345,129.4,7243763,
2025-05-28,129.45,129.55,127.665,128.67,4752224,
2025-05-29,130.0,130.0,126.96,128.36,4681055,
2025-05-30,125.5,129.25,125.0,129.0,9562946,
2025-06-02,128.85,129.77,127.985,129.62,5223064,
2025-06-03,129.5,133.49,128.95,132.9,5809271,
2025-06-04,132.28,134.855,131.64,133.51,4501382,
2025-06-05,133.5,137.8025,133.5,137.29,5859127,
2025-06-06,139.18,143.8799,138.95,140.64,9053459,
2025-06-09,141.47,141.5255,138.34,139.01,3989978,
2025-06-10,139.22,140.605,138.135,138.56,4138000,
2025-06-11,140.24,140.37,137.115,138.06,4020440,
2025-06-12,137.13,139.405,136.7,138.81,3460997,
2025-06-13,136.08,136.63,134.68,135.54,5091140,
2025-06-16,138.56,139.29,136.83,137.21,3406824,
2025-06-17,136.09,136.16,132.89,133.37,4773781,
2025-06-18,132.71,133.815,131.69,132.17,3702457,
2025-06-20,132.0,132.64,131.39,131.73,7967985,
2025-06-23,131.53,131.53,127.04,130.53,4250158,
2025-06-24,131.92,132.725,130.36,132.15,5045554,
2025-06-25,132.8,133.03,128.77,129.67,3765553,
2025-06-26,130.33,134.18,128.315,133.72,5138316,
2025-06-27,134.01,134.58,132.1,134.52,4930553,
2025-06-30,135.06,135.06,131.945,132.34,3666177,
2025-07-01,132.225,136.69,132.12,135.41,3919565,
2025-07-02,135.22,136.09,134.39,135.39,2668019,
2025-07-03,136.27,138.19,136.23,136.49,2628584,
2025-07-07,135.86,137.63,135.2,137.0,3550438,
2025-07-08,137.5,138.55,136.55,136.99,3144542,
2025-07-09,137.45,138.27,136.4998,136.85,4311327,
2025-07-10,137.055,138.415,136.05,137.0,4934019,
2025-07-11,136.12,137.0,135.2,135.35,3123574,
2025-07-14,135.0,139.468,134.7,138.57,4574983,
2025-07-15,139.46,140.14,136.48,136.54,3315550,
2025-07-16,136.94,137.15,135.42,136.71,3319660,
2025-07-17,137.58,139.57,137.26,139.3,3495943,
2025-07-18,139.99,140.74,138.92,139.34,2983076,
2025-07-21,139.32,139.8,137.96,138.07,2697580,
2025-07-22,138.64,140.02,136.86,139.43,2787224,
2025-07-23,139.62,140.93,138.1,139.83,3003828,
2025-07-24,139.46,142.63,138.82,141.62,3067742,
2025-07-25,142.46,142.53,141.18,141.31,2499368,
2025-07-28,141.3,143.3,141.0201,142.16,2808615,
2025-07-29,142.17,143.09,136.38,136.84,4082808,
2025-07-30,135.9,136.525,133.92,134.75,3502159,
2025-07-31,134.75,135.8,132.12,132.41,3876548,
2025-08-01,130.04,130.36,126.92,128.02,5100383,
2025-08-04,129.1,131.13,128.83,130.96,5277192,
2025-08-05,131.12,132.16,129.28,129.96,7679968,
2025-08-06,130.675,131.29,128.3,130.5,11212805,
2025-08-07,120.38,123.3899,117.2803,120.03,17502062,
2025-08-08,120.57,122.0,119.3,121.02,5791263,
2025-08-11,120.01,121.3,118.14,118.3,6577841,
2025-08-12,118.96,122.1899,118.15,121.61,6291042,
2025-08-13,122.3,124.768,121.7,124.55,6651486,
2025-08-14,123.495,125.58,122.4356,124.64,4706944,
2025-08-15,125.0,126.345,124.33,125.1,4309834,
2025-08-18,124.625,125.89,124.46,125.49,3985329,
2025-08-19,125.35,128.08,125.27,126.0,3739757,
2025-08-20,125.04,126.6,123.815,124.96,4097880,
2025-08-21,124.96,126.49,124.47,126.43,3115793,
2025-08-22,127.17,130.425,126.32,129.92,4563120,
2025-08-25,129.44,130.03,128.09,128.15,2960456,
2025-08-26,127.715,128.8,126.4,126.89,4355456,
2025-08-27,127.0,130.15,126.92,129.85,3830632,
2025-08-28,130.19,130.59,128.82,130.46,3657057,
2025-08-29,129.92,131.11,129.21,130.53,4159392,
2025-09-02,128.42,129.23,126.46,127.59,4195459,
2025-09-03,127.42,127.75,124.46,124.9,6267199,
2025-09-04,124.65,125.65,123.18,125.37,6194499,
2025-09-05,125.37,127.3852,122.82,123.81,4327197,
2025-09-08,124.24,126.08,123.06,124.62,4765180,
2025-09-09,124.12,124.78,123.6,123.81,3607594,
2025-09-10,123.81,124.44,122.63,123.41,4772621,
2025-09-11,123.695,124.5,122.65,123.05,5241465,
2025-09-12,123.07,123.45,121.84,122.55,5263923,
2025-09-15,122.91,122.98,119.76,120.37,7060401,
2025-09-16,120.71,121.99,119.765,121.66,5072217,
2025-09-17,121.98,124.45,121.52,123.2,4973260,
2025-09-18,123.74,125.72,123.6,125.47,4235741,
2025-09-19,126.33,127.85,125.19,127.04,9144270,
2025-09-22,125.65,126.64,123.35,125.44,5591124,
2025-09-23,125.44,126.855,123.05,123.5,5634711,
2025-09-24,123.5,125.59,122.08,123.08,4060490,
2025-09-25,122.91,122.91,121.1178,121.75,3631968,
2025-09-26,122.2,123.91,121.65,123.7,2899605,
2025-09-29,124.44,124.58,122.83,122.92,3874669,
2025-09-30,122.9,123.08,120.52,121.42,3730456,
2025-10-01,120.85,122.61,120.785,122.32,3443702,
2025-10-02,122.47,122.5,120.02,121.49,4562181,
2025-10-03,121.65,122.25,119.84,120.22,5911349,
2025-10-06,120.73,123.1499,120.05,120.35,5474253,
2025-10-07,120.49,121.1,119.14,119.85,4415874,
2025-10-08,120.235,120.77,118.91,119.99,4407384,
2025-10-09,120.46,121.4182,119.56,120.15,3415243,
2025-10-10,120.3,120.58,116.32,118.19,5107060,
2025-10-13,118.91,119.8,118.25,118.86,3344832,
2025-10-14,117.69,124.47,117.69,122.89,6171640,
2025-10-15,124.335,125.875,122.69,124.26,5677933,
2025-10-16,124.26,126.97,122.045,122.89,5254222,
2025-10-17,123.065,126.4,122.805,125.91,4479100,
2025-10-20,126.11,128.5,125.79,127.21,3977111,
2025-10-21,126.87,129.5,126.675,128.56,3331492,
2025-10-22,128.52,128.965,127.31,127.5,3292727,
2025-10-23,127.53,128.8,126.74,127.35,3239443,
2025-10-24,127.65,129.06,127.35,127.99,3344365,
2025-10-27,128.23,129.54,126.38,129.07,3838994,
2025-10-28,129.59,130.05,127.67,128.01,4463174,
2025-10-29,127.87,128.68,125.465,126.48,5102906,
2025-10-30,125.47,128.275,125.26,126.34,4013366,
2025-10-31,126.18,127.15,125.26,126.54,3481550,
2025-11-03,126.46,127.325,124.6201,126.8,4053762,
2025-11-04,125.5,125.99,121.93,122.35,5967308,
2025-11-05,122.0,124.09,121.6,122.5,4580421,
2025-11-06,122.38,123.39,119.82,120.53,9853439,
2025-11-07,125.495,125.76,117.1473,120.88,11755951,
2025-11-10,121.94,122.83,119.78,120.2,7481669,
2025-11-11,120.28,123.459,120.0,122.53,4425011,
2025-11-12,122.66,122.85,120.705,121.69,3713821,
2025-11-13,121.505,123.4,121.0,121.19,3715970,
2025-11-14,120.92,122.75,119.6042,122.02,4119734,
2025-11-17,120.74,121.33,116.7012,117.6,5187054,
2025-11-18,116.59,118.54,115.39,115.42,5547169,
2025-11-19,115.5,115.91,114.075,114.44,4516081,
2025-11-20,114.51,115.14,110.81,111.54,7206680,
2025-11-21,112.17,115.69,111.84,114.26,6866157,
2025-11-24,114.665,115.05,113.38,114.41,6476412,
2025-11-25,114.465,119.24,114.465,118.56,7731122,
2025-11-26,117.99,118.04,116.4,116.74,5112234,
2025-11-28,116.755,117.79,116.4,116.99,2522283,
2025-12-01,116.0,119.6196,115.645,118.8,4713156,
2025-12-02,118.65,120.0907,117.37,118.5,6681480,
2025-12-03,118.26,120.7225,117.63,120.13,5485468,
2025-12-04,120.15,121.0,119.22,120.82,4024055,
2025-12-05,120.92,124.81,120.4001,124.32,3962329,
2025-12-08,124.215,124.215,120.915,122.01,4030344,
2025-12-09,121.61,125.81,121.1538,125.39,3609041,
2025-12-10,125.45,128.83,124.46,127.57,4731221,
2025-12-11,127.6,129.61,126.97,128.0,5075704,
2025-12-12,128.93,130.6,128.19,128.39,3581154,
2025-12-15,129.29,132.25,128.3,131.81,5518099,
2025-12-16,132.03,133.0485,131.17,132.01,4390926,
2025-12-17,133.96,136.82,133.6211,133.78,6158389,
2025-12-18,133.3,135.41,132.96,133.99,4257799,
2025-12-19,134.15,137.05,133.61,135.28,10530750,
2025-12-22,136.09,138.52,135.95,136.95,5568207,
2025-12-23,136.6,137.21,135.58,136.49,3464822,
2025-12-24,136.01,137.99,135.81,136.78,1457175,
2025-12-26,136.73,137.2113,136.15,136.82,1776009,
2025-12-29,136.5,137.16,136.16,136.62,2773301,
2025-12-30,135.89,137.42,135.89,136.91,2406200,
2025-12-31,136.62,137.58,135.565,135.72,2188111,
2026-01-02,135.94,136.11,132.34,133.01,3863838,
2026-01-05,133.1,137.96,132.635,135.87,4336138,
2026-01-06,135.95,138.38,135.945,138.02,3112977,
2026-01-07,137.65,139.55,136.83,137.04,3585125,
2026-01-08,136.105,138.78,134.55,138.66,3593052,
2026-01-09,140.005,141.4,137.91,139.86,1698469,
