Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,260.79,264.79,260.55,262.23,2721957.0,
2025-01-13,262.11,270.49,261.28,270.19,3365901.0,
2025-01-14,271.61,271.61,264.91,267.1,2942309.0,
2025-01-15,269.33,272.8179,268.585,268.94,3737536.0,
2025-01-16,268.92,270.31,267.15,269.43,2684500.0,
2025-01-17,276.97,276.97,269.78,272.11,3244290.0,
2025-01-21,272.14,276.5,270.28,274.81,3928543.0,
2025-01-22,272.66,275.015,272.0693,273.44,3518326.0,
2025-01-23,273.44,278.0,272.32,277.88,2496017.0,
2025-01-24,276.26,277.3625,273.5,275.42,2008793.0,
2025-01-27,277.37,283.225,276.18,282.95,3493163.0,
2025-01-28,280.13,283.5,279.97,280.3,2735636.0,
2025-01-29,280.03,283.0399,279.31,281.68,2454874.0,
2025-01-30,285.0,285.69,281.6388,284.02,2556068.0,
2025-01-31,282.175,286.69,281.98,285.42,3800362.0,
2025-02-03,286.91,289.58,283.4,288.87,4473532.0,
2025-02-04,285.58,290.4843,284.52,289.02,3262437.0,
2025-02-05,290.69,308.22,289.525,307.81,5891191.0,
2025-02-06,309.49,309.49,297.12,297.78,4624483.0,
2025-02-07,299.16,299.61,292.58,293.54,3388400.0,
2025-02-10,296.88,296.88,290.67,294.79,2375707.0,
2025-02-11,290.56,297.945,288.36,296.66,3506965.0,
2025-02-12,293.82,296.2,292.625,295.06,2629881.0,
2025-02-13,297.55,298.35,293.55,296.97,2061657.0,
2025-02-14,294.75,295.1624,290.45,291.16,2189386.0,
2025-02-18,291.76,293.33,289.0,292.8,2162354.0,
2025-02-19,292.0,295.97,291.8,294.27,2806986.0,
2025-02-20,294.67,298.13,293.93,297.93,2319269.0,
2025-02-21,299.23,305.33,297.19,303.01,3261422.0,
2025-02-24,305.28,313.75,304.4,309.72,4286609.0,
2025-02-25,311.8,318.3,310.3,315.63,4365721.0,
2025-02-26,311.95,313.63,305.55,306.38,2787270.0,
2025-02-27,305.3,311.0,303.1,305.82,3249213.0,
2025-02-28,308.51,308.62,303.52,308.06,3173055.0,
2025-03-03,307.34,312.48,307.34,310.78,2970686.0,
2025-03-04,316.53,319.815,312.1,312.19,3819994.0,
2025-03-05,310.63,318.94,310.14,316.57,2629056.0,
