Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,315.0,321.84,308.2001,318.48,4238386,
2025-01-13,310.0,317.73,307.0677,315.68,3809097,
2025-01-14,324.52,328.5,316.82,321.09,3227520,
2025-01-15,335.0,342.36,329.405,335.03,3825445,
2025-01-16,333.73,343.18,331.67,332.01,2496200,
2025-01-17,341.82,347.39,336.77,342.34,4175716,
2025-01-21,349.0,354.905,337.12,338.39,4919846,
2025-01-22,345.0,371.7742,343.18,361.72,4582078,
2025-01-23,354.18,367.785,352.46,362.52,3120122,
2025-01-24,364.3,368.85,360.6,363.1,2833355,
2025-01-27,341.66,350.58,330.54,343.02,5825360,
2025-01-28,347.63,368.38,342.08,360.75,4522270,
2025-01-29,360.0,370.6391,352.22,366.34,3346846,
2025-01-30,377.99,385.6599,357.01,365.51,4018496,
2025-01-31,371.04,379.0,364.5,369.59,3357631,
2025-02-03,353.51,369.48,349.22,365.44,3549633,
2025-02-04,373.77,390.68,370.75,380.26,5255620,
2025-02-05,377.37,378.65,363.0101,368.27,3981084,
2025-02-06,369.57,381.79,365.6,380.63,3014496,
2025-02-07,385.88,393.63,374.58,375.72,3119686,
2025-02-10,387.2,396.615,373.2,384.4,4593709,
2025-02-11,381.6,383.34,366.96,375.25,4253919,
2025-02-12,375.93,390.21,372.003,380.32,9393012,
2025-02-13,499.34,525.15,449.0,471.67,19398871,
2025-02-14,473.56,516.99,462.8,510.13,11344848,
2025-02-18,514.1,519.79,487.99,496.0,7329991,
2025-02-19,502.74,507.0,481.12,494.17,5052293,
2025-02-20,488.91,494.54,427.13005,450.01,11209250,
2025-02-21,452.77,456.76,412.185,415.31,7658132,
2025-02-24,411.86,426.49,395.01,410.31,8103462,
2025-02-25,406.7,406.7,367.12,377.06,11330336,
2025-02-26,328.47,343.1699,288.915,331.0,31816760,
2025-02-27,346.44,349.924,310.0,320.49,11883596,
2025-02-28,313.0,331.56,306.1,325.74,9099588,
2025-03-03,350.24,359.7,332.0,337.34,10950648,
2025-03-04,324.0,341.0,307.5664,327.23,9225440,
2025-03-05,323.0,326.2737,310.51,318.0,8128730,
2025-03-06,305.76,306.5,258.5136,259.63,16179508,
2025-03-07,256.145,278.6,247.5,270.48,14654264,
2025-03-10,246.53,255.6,234.56,238.08,16713684,
2025-03-11,239.8,261.45,236.0,257.76,12850845,
2025-03-12,285.0,292.43,261.01,272.59,12741341,
2025-03-13,272.875,274.9999,260.93,272.0,7266128,
2025-03-14,284.18,298.01,282.39,292.89,10061754,
2025-03-17,297.76,314.8,293.51,306.85,8871496,
2025-03-18,299.5,302.0,275.72,278.84,8636621,
2025-03-19,286.195,300.2,277.5,297.03,6935450,
2025-03-20,293.82,315.4084,292.405,306.74,8401537,
2025-03-21,301.05,315.27,296.13,314.03,9505695,
2025-03-24,328.09,342.38,323.5,339.72,9119933,
2025-03-25,341.0,352.0,332.04,346.29,7757540,
2025-03-26,340.5,343.2,322.1,327.62,8322890,
2025-03-27,322.05,326.01,252.51,261.7,20188915,
2025-03-28,286.81,286.91,264.07,272.38,15471758,
2025-03-31,255.93,268.4,244.0,264.97,10510386,
2025-04-01,264.22,284.8,257.0001,282.7,7624244,
2025-04-02,273.33,299.72,272.8995,290.39,7313566,
2025-04-03,264.52,268.0,249.0801,261.98,8959549,
2025-04-04,243.38,245.9702,208.51,219.37,16840299,
2025-04-07,203.78,253.61,200.5,232.22,13612282,
2025-04-08,255.05,261.607,227.2,235.28,11230559,
2025-04-09,234.31,280.99,218.2865,274.96,13063808,
2025-04-10,270.0,278.48,250.51,263.83,10364754,
2025-04-11,258.295,263.0,239.0,249.95,8966853,
2025-04-14,258.94,262.08,234.39,236.07,7438408,
2025-04-15,235.6,248.18,230.5201,245.47,6784576,
2025-04-16,234.525,241.95,224.4,229.81,7300828,
2025-04-17,231.39,239.95,226.1001,238.22,5285999,
2025-04-21,233.53,238.4953,222.0201,228.13,5778158,
2025-04-22,232.0,243.56,227.05,237.71,6342282,
2025-04-23,255.505,267.9999,250.1,252.35,7302645,
2025-04-24,253.725,275.92,252.0001,267.88,6773109,
2025-04-25,272.3,278.88,266.505,276.83,5770373,
2025-04-28,278.64,286.8284,273.5,284.98,6313779,
2025-04-29,286.5,291.39,281.27,288.88,4797093,
2025-04-30,247.91,273.81,246.0,269.31,9277913,
2025-05-01,282.0,288.25,276.8,279.49,5912172,
2025-05-02,291.99,309.342,286.845,307.58,6997990,
2025-05-05,299.19,306.79,295.41,301.84,4444645,
2025-05-06,294.645,307.27,290.96,304.62,4539519,
2025-05-07,300.55,304.52,292.87,303.46,11732107,
2025-05-08,344.0,357.64,335.1301,339.51,14355299,
2025-05-09,343.045,351.375,328.52,328.54,7760053,
2025-05-12,350.56,358.67,343.37,347.9,7826646,
2025-05-13,348.53,380.7,347.7,370.1,9729218,
2025-05-14,373.49,379.5799,368.45,376.54,6324282,
2025-05-15,373.94,378.23,361.44,366.61,6322226,
2025-05-16,369.26,373.73,358.0,362.34,4740227,
2025-05-19,355.27,375.84,354.01,370.63,6224325,
2025-05-20,371.4482,371.4482,360.8637,363.055,5533494,
2025-05-21,359.68,374.57,358.0,358.35,7567122,
2025-05-22,360.52,367.47,350.817,351.47,5329383,
2025-05-23,341.72,356.55,340.2,354.29,5318795,
2025-05-27,362.0,384.36,355.16,380.91,7683415,
2025-05-28,381.38,392.87,375.1201,390.26,6778341,
2025-05-29,400.095,402.903,381.43,384.23,5144707,
2025-05-30,386.87,394.24,372.53,393.0,7840335,
2025-06-02,392.31,402.25,381.6001,401.91,6202125,
2025-06-03,401.91,408.0,390.41,398.51,4651336,
2025-06-04,398.39,417.45,398.21,416.52,4804645,
2025-06-05,414.17,428.99,406.78,414.14,5986157,
2025-06-06,421.0,426.52,413.2301,417.89,5495450,
2025-06-09,401.25,404.5,382.85,383.6,7829239,
2025-06-10,390.0,396.77,374.68,383.61,4949317,
2025-06-11,386.3,387.95,377.9,383.43,3598466,
2025-06-12,380.5,384.1,362.45,380.58,6527801,
2025-06-13,372.78,381.0,360.749,364.49,4351715,
2025-06-16,367.79,377.01,364.49,370.68,3544859,
2025-06-17,370.95,371.0,358.71,360.45,2960023,
2025-06-18,360.66,361.8899,338.6501,344.37,5816331,
2025-06-20,344.23,344.76,321.68,324.7,8731808,
2025-06-23,324.36,336.04,320.0,335.4,5498923,
2025-06-24,346.915,352.39,341.93,349.48,5302973,
2025-06-25,355.4,358.2365,336.67,338.8,4109486,
2025-06-26,342.41,347.95,328.94,347.45,5305922,
2025-06-27,348.49,348.83,332.1,333.78,18537825,
2025-06-30,341.32,361.7582,340.05,350.08,8204891,
2025-07-01,347.0,358.53,331.0,336.69,5379761,
2025-07-02,342.53,348.55,333.205,336.0,4127366,
2025-07-03,332.0,343.5,325.58,341.64,3525836,
2025-07-07,341.87,346.78,338.22,345.0,3158411,
2025-07-08,352.14,359.0,341.5,344.75,3023104,
2025-07-09,350.27,362.64,344.75,352.74,4234855,
2025-07-10,359.355,359.355,334.5257,346.32,5626851,
2025-07-11,342.0,345.93,332.32,335.1,3584592,
2025-07-14,342.9,362.53,342.1101,355.9,6338812,
2025-07-15,348.0,354.3763,345.41,352.96,3389482,
2025-07-16,355.58,358.56,348.7096,355.5,3708206,
2025-07-17,356.59,369.4,351.0,363.78,4602436,
2025-07-18,372.59,375.495,361.0,364.46,4836543,
2025-07-21,360.6,375.5,359.4,366.17,4582404,
2025-07-22,363.3,364.905,343.0,350.0,4775224,
2025-07-23,352.98,363.68,349.21,362.12,3626130,
2025-07-24,363.82,364.78,355.0,359.94,2673274,
2025-07-25,360.0,369.79,357.0293,364.14,2883702,
2025-07-28,366.5,371.6953,362.17,370.96,2822983,
2025-07-29,373.96,379.23,359.46,361.63,3270315,
2025-07-30,362.53,366.8,358.55,363.31,2247113,
2025-07-31,380.0,397.92,377.52,390.7,7940745,
2025-08-01,377.46,385.92,366.47,379.17,6336260,
2025-08-04,383.01,395.56,368.1882,395.01,4986199,
2025-08-05,398.0,399.94,376.9093,377.93,6389794,
2025-08-06,385.19,393.45,378.36,390.57,12843923,
2025-08-07,397.25,453.76,385.1,437.34,20738715,
2025-08-08,448.6,464.98,447.0183,455.98,9487806,
2025-08-11,455.0,473.7,449.2105,465.58,5976576,
2025-08-12,466.92,470.28,458.48,467.0,4541635,
2025-08-13,470.38,472.05,438.77,446.4,6334051,
2025-08-14,434.58,445.0,426.0,433.34,5005144,
2025-08-15,434.5,441.4999,421.4,438.68,3404039,
2025-08-18,438.005,444.0,432.61,438.54,2712988,
2025-08-19,430.64,434.07,407.52,412.6,5456683,
2025-08-20,405.0201,412.81,385.19,412.38,6374368,
2025-08-21,411.62,431.86,408.8,418.76,5061547,
2025-08-22,418.76,446.92,412.33,441.68,6208232,
2025-08-25,440.3,454.39,434.02,450.68,4018619,
2025-08-26,448.01,471.9199,444.0,469.33,5593745,
2025-08-27,469.0,474.9799,458.65,462.94,2968649,
2025-08-28,463.2,488.7,463.0,483.75,5898480,
2025-08-29,480.72,485.5275,472.42,478.59,5148052,
2025-09-02,464.0,481.86,452.25,481.73,5279138,
2025-09-03,487.69,499.87,485.08,487.35,5052295,
2025-09-04,497.8,511.0,490.6575,499.97,6215219,
2025-09-05,506.0,507.87,469.8,490.24,8290545,
2025-09-08,537.075,555.5,535.7,547.04,16516921,
2025-09-09,546.815,559.24,544.9225,558.17,8503532,
2025-09-10,562.83,576.01,561.5,567.12,6730296,
2025-09-11,568.0,576.44,560.7901,571.31,6133457,
2025-09-12,573.055,587.8799,572.11,582.0,6730310,
2025-09-15,578.54,595.27,574.227,593.14,6246575,
2025-09-16,596.7,605.38,589.28,603.8,8588889,
2025-09-17,603.57,613.69,587.23,606.66,8915194,
2025-09-18,616.325,632.881,613.78,621.52,9258535,
2025-09-19,628.48,653.06,617.56,649.59,73131599,
2025-09-22,647.05,657.0,639.5146,643.5,9307081,
2025-09-23,641.0,670.189,637.51,651.18,7799930,
2025-09-24,652.75,662.4985,635.5,641.92,5991497,
2025-09-25,624.87,643.9243,619.49,639.91,6418199,
2025-09-26,652.67,671.18,646.47,669.86,6122353,
2025-09-29,685.4,745.61,683.5,712.36,11947835,
2025-09-30,713.0,720.56,699.22,718.54,6759568,
2025-10-01,714.835,727.49,697.506,704.09,6210848,
2025-10-02,710.19,710.99,674.4,683.64,6075429,
2025-10-03,691.02,694.9999,673.17,682.76,4205773,
2025-10-06,684.475,687.0,545.0,587.0,14417706,
2025-10-07,595.215,644.47,592.26,631.85,11768731,
2025-10-08,631.39,654.98,616.24,629.7,5472905,
2025-10-09,615.94,618.99,591.5,600.32,6289311,
2025-10-10,599.61,601.83,566.9,569.89,6479078,
2025-10-13,590.0,591.32,562.28,590.11,4062397,
2025-10-14,576.94,596.77,566.49,590.03,3572657,
