Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,140.8,141.88,138.02,140.49,3156713,
2025-01-13,137.0,138.02,134.63,137.07,3343163,
2025-01-14,139.785,143.1299,138.05,140.06,3240342,
2025-01-15,143.0,148.25,142.8252,147.4,4849822,
2025-01-16,148.24,150.01,144.23,147.52,4353352,
2025-01-17,149.2,151.6,147.77,149.26,4217349,
2025-01-21,149.85,156.9711,147.01,155.2,6807499,
2025-01-22,160.37,182.88,159.95,179.93,27244374,
2025-01-23,170.39,170.39,162.5,166.56,16494388,
2025-01-24,166.5,168.7263,162.45,162.52,6532374,
2025-01-27,148.9,152.27,142.3176,145.96,11715378,
2025-01-28,148.0,150.5,145.96,149.47,5572268,
2025-01-29,150.66,151.75,145.21,147.6,2814289,
2025-01-30,150.3,154.88,149.5,153.23,4531885,
2025-01-31,154.0,162.96,153.55,159.55,8015390,
2025-02-03,153.55,159.36,152.0,155.65,4104706,
2025-02-04,157.5,163.65,155.8,162.2,5086049,
2025-02-05,162.94,173.95,162.5,173.26,13412829,
2025-02-06,162.0,170.45,158.7,167.47,11885899,
2025-02-07,166.5,170.7364,160.8695,162.51,5915058,
2025-02-10,162.955,163.3999,158.5801,160.84,3443462,
2025-02-11,160.07,163.11,157.2875,157.74,3108636,
2025-02-12,155.0,157.9,154.01,155.41,3470140,
2025-02-13,154.97,168.39,153.8,164.83,11433801,
2025-02-14,160.165,161.3442,156.12,159.54,6084844,
2025-02-18,160.5,161.15,155.65,160.32,4809710,
2025-02-19,157.56,160.9357,152.29,154.36,5228795,
2025-02-20,153.2,154.05,147.53,150.85,3865999,
2025-02-21,151.245,151.99,143.8,144.84,4916989,
2025-02-24,145.055,145.6117,138.05,140.53,3829698,
2025-02-25,139.32,139.5,133.16,136.7,5786313,
2025-02-26,139.43,141.57,137.91,138.97,3263180,
2025-02-27,142.01,144.41,130.145,130.34,4799626,
2025-02-28,129.3,133.98,127.43,131.69,4253846,
2025-03-03,133.0,133.94,120.0701,121.1,7356741,
2025-03-04,121.91,125.91,117.89,122.49,8075722,
2025-03-05,124.625,125.49,120.36,124.78,4601581,
2025-03-06,120.7,123.4,117.75,117.92,5014553,
2025-03-07,118.52,127.5811,117.52,125.55,6537634,
2025-03-10,120.5,121.8,114.38,116.38,7267413,
