Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,572.0,574.83,562.71,570.0,482918,
2025-01-13,561.4,569.33,556.68,568.68,422549,
2025-01-14,571.895,584.23,569.95,579.8,509051,
2025-01-15,589.4,594.84,577.53,580.0,702444,
2025-01-16,585.0,592.22,581.8,585.84,466053,
2025-01-17,595.84,603.0,591.191,593.89,533670,
2025-01-21,603.12,609.5,592.59,605.58,531294,
2025-01-22,607.98,612.14,602.71,607.6,362230,
2025-01-23,609.59,614.6,602.8071,613.38,368644,
2025-01-24,613.97,615.5,605.2001,610.32,309792,
2025-01-27,597.79,608.01,587.14,604.68,458568,
2025-01-28,606.58,639.34,604.37,637.53,548338,
2025-01-29,640.0,644.86,632.14,639.97,422611,
2025-01-30,646.5,657.0,643.55,653.43,536822,
2025-01-31,655.44,671.06,649.76,652.18,611693,
2025-02-03,641.965,671.215,635.5501,658.11,1001784,
2025-02-04,657.14,674.0,652.58,662.91,511759,
2025-02-05,662.91,680.972,662.91,680.52,459816,
2025-02-06,680.99,684.36,661.0,677.4,559451,
2025-02-07,680.0,689.54,677.93,679.24,556216,
2025-02-10,684.32,686.08,672.0,677.85,432548,
2025-02-11,678.475,678.475,656.715,669.26,421665,
2025-02-12,656.49,668.5673,652.26,665.08,495922,
2025-02-13,667.75,671.44,655.0688,664.7,356153,
2025-02-14,662.57,686.17,648.85,683.41,694120,
2025-02-18,694.02,715.99,691.86,710.01,1318703,
2025-02-19,700.0,705.1,592.76,593.42,2319566,
2025-02-20,581.0,584.0,521.655,541.81,2514006,
2025-02-21,551.655,551.655,510.5339,513.22,1454542,
2025-02-24,516.51,524.35,496.19,499.73,1322641,
2025-02-25,498.905,502.2426,480.1767,496.65,1360330,
2025-02-26,584.95,600.99,558.21,572.4,2837988,
2025-02-27,575.0,578.8739,521.7,525.44,1453907,
2025-02-28,526.97,531.36,514.04,528.45,1153735,
2025-03-03,532.84,541.75,520.6701,525.75,876097,
2025-03-04,513.87,543.41,503.02,528.28,956405,
2025-03-05,529.75,538.98,521.08,534.96,945209,
2025-03-06,522.85,526.19,495.0,499.31,912281,
2025-03-07,500.0,527.94,500.0,526.4,1277984,
2025-03-10,508.39,522.06,501.85,515.45,1359940,
2025-03-11,518.26,539.175,509.0001,526.64,975328,
2025-03-12,540.37,560.725,539.13,557.89,1215839,
2025-03-13,558.81,569.95,530.2203,534.56,760807,
2025-03-14,544.55,557.45,543.875,556.26,656155,
2025-03-17,552.72,563.7,549.58,554.82,664625,
2025-03-18,548.7,555.58,532.52,539.99,558600,
2025-03-19,545.34,571.4,542.65,568.11,576540,
2025-03-20,560.16,572.82,556.4955,558.41,525252,
2025-03-21,550.63,562.28,544.34,560.0,803642,
2025-03-24,571.99,574.155,561.0,572.52,689675,
2025-03-25,569.21,579.675,566.97,577.18,439776,
2025-03-26,575.57,578.2,553.56,559.06,521741,
2025-03-27,554.78,557.0,540.0,550.65,374576,
2025-03-28,550.4,550.4,529.0,534.95,678472,
2025-03-31,522.67,528.83,507.03,525.95,779458,
2025-04-01,521.59,542.9849,520.19,541.2,509615,
2025-04-02,530.69,560.3,530.69,558.42,731828,
2025-04-03,532.67,553.6,528.76,539.69,662053,
2025-04-04,511.26,519.9999,486.1,497.13,971548,
2025-04-07,471.72,524.82,469.2434,502.55,1045892,
2025-04-08,522.71,536.84,497.99,504.03,943153,
2025-04-09,503.15,567.0358,497.355,559.84,1105398,
2025-04-10,543.85,564.36,534.22,551.25,655898,
2025-04-11,549.0,569.0,541.5189,567.98,516622,
2025-04-14,578.0,590.0,571.715,574.83,666157,
2025-04-15,575.1,584.17,572.82,578.42,330872,
2025-04-16,572.01,581.105,564.68,571.85,368438,
2025-04-17,578.2,578.2,556.39,559.53,519731,
2025-04-21,550.0,556.63,531.22,541.93,478945,
2025-04-22,551.32,561.8112,546.0,555.52,440802,
2025-04-23,576.4,594.4624,574.2,576.9,492948,
2025-04-24,576.15,593.8359,571.0,590.67,493331,
2025-04-25,590.72,603.98,590.72,603.78,556455,
2025-04-28,605.66,614.0,594.54,602.46,456126,
2025-04-29,603.57,612.03,598.81,611.13,399687,
2025-04-30,591.59,614.76,585.49,613.3,519821,
2025-05-01,617.96,627.7299,613.02,621.1,450462,
2025-05-02,632.18,638.35,626.46,628.16,507953,
2025-05-05,624.99,631.1581,620.9901,621.4,358190,
2025-05-06,608.97,612.775,597.5614,601.67,759283,
2025-05-07,602.01,607.5992,594.52,601.82,887360,
2025-05-08,646.38,698.265,644.605,686.83,1692978,
2025-05-09,684.01,697.39,677.61,684.59,642574,
2025-05-12,700.0,703.0,667.0,693.1,878357,
2025-05-13,695.0,732.1662,694.71,724.77,868804,
2025-05-14,725.0,730.76,715.5886,728.53,566253,
2025-05-15,725.495,732.222,722.0,728.39,570241,
2025-05-16,732.0,735.68,724.7408,733.18,420469,
2025-05-19,721.99,742.34,721.0492,742.32,425566,
2025-05-20,741.41,744.51,734.89,742.75,383702,
2025-05-21,738.0,748.8,730.01,735.38,570731,
2025-05-22,734.07,735.0,722.03,723.75,510375,
2025-05-23,717.98,735.4259,714.0,731.37,422654,
2025-05-27,740.58,748.14,736.63,746.08,477573,
2025-05-28,748.81,755.05,743.6277,751.0,524938,
2025-05-29,753.19,754.8083,729.16,730.29,536596,
2025-05-30,731.01,751.99,729.14,750.36,1121126,
2025-06-02,755.0,765.0,742.8,758.57,521175,
2025-06-03,761.0,766.26,750.0,759.07,503574,
2025-06-04,760.0,780.62,757.45,780.0,558064,
2025-06-05,780.53,793.2399,773.9901,788.36,683795,
2025-06-06,794.92,798.16,784.6357,791.85,443740,
2025-06-09,795.83,806.64,775.8553,783.8,537362,
2025-06-10,778.54,787.61,751.25,762.66,600557,
2025-06-11,764.67,782.785,746.9,778.36,487781,
2025-06-12,773.16,781.12,772.605,775.2,350325,
2025-06-13,771.81,786.7749,767.6,780.63,359099,
2025-06-16,786.37,797.5,779.28,780.61,470995,
2025-06-17,776.39,782.7514,770.201,777.54,445749,
2025-06-18,775.85,779.8899,761.9,770.79,482933,
2025-06-20,780.28,781.0,767.0803,777.32,1182182,
2025-06-23,773.48,791.38,767.3175,783.24,391501,
2025-06-24,785.0,799.66,758.24,794.25,743572,
2025-06-25,800.0,801.0,780.66,785.07,440465,
2025-06-26,791.81,805.48,791.81,803.95,484379,
2025-06-27,804.85,820.83,802.2836,818.6,1010936,
2025-06-30,818.75,830.21,816.855,827.94,530137,
2025-07-01,825.89,829.5,765.5,775.38,997650,
2025-07-02,774.68,782.9813,756.72,774.55,574326,
2025-07-03,781.77,797.89,780.0,795.48,268670,
2025-07-07,796.02,804.4375,790.0,802.16,453034,
2025-07-08,802.72,815.0,774.0957,790.22,507791,
2025-07-09,794.3,809.99,785.0,805.86,339967,
2025-07-10,802.11,803.0,728.43,732.99,1227628,
2025-07-11,740.33,753.018,723.001,729.62,1121522,
2025-07-14,727.1,752.97,723.99,750.26,538912,
2025-07-15,752.74,753.57,740.16,745.87,373471,
2025-07-16,743.56,748.27,725.05,742.77,516134,
2025-07-17,744.8,753.25,739.79,745.86,341234,
2025-07-18,747.83,757.9799,741.07,756.09,404325,
2025-07-21,755.92,758.25,741.91,751.55,377483,
2025-07-22,749.01,749.01,720.18,720.74,759573,
2025-07-23,725.8,728.95,694.72,705.22,1098487,
2025-07-24,705.22,715.745,695.0001,709.26,1105053,
2025-07-25,711.39,742.23,709.82,735.01,723678,
2025-07-28,740.36,747.3,722.07,736.29,627694,
2025-07-29,742.19,742.19,725.79,728.74,383542,
2025-07-30,728.74,749.8,725.0,748.6,448258,
2025-07-31,752.62,762.05,747.24,755.49,513614,
2025-08-01,739.46,747.4081,728.0,742.47,457681,
2025-08-04,751.04,755.0,736.95,744.88,769837,
2025-08-05,818.0,885.915,802.9601,867.12,2534971,
2025-08-06,859.76,879.22,843.0227,863.65,842126,
2025-08-07,867.23,885.0,860.98,870.97,700950,
2025-08-08,872.47,878.6169,835.7,842.5,667561,
2025-08-11,842.89,844.15,817.36,818.69,616018,
2025-08-12,819.64,824.66,767.51,768.57,999533,
2025-08-13,776.98,780.0,731.7421,765.52,1129168,
2025-08-14,764.26,764.26,745.0,749.83,517787,
2025-08-15,750.21,762.0,739.01,754.24,583413,
2025-08-18,755.18,792.64,753.77,791.62,848300,
2025-08-19,779.83,783.995,755.0,758.29,654278,
2025-08-20,754.17,763.71,740.5,760.89,409959,
2025-08-21,763.0,768.0,752.5,763.51,367048,
2025-08-22,764.37,784.14,757.5,766.24,395921,
2025-08-25,766.22,777.54,762.27,763.52,301529,
2025-08-26,764.2,775.0,761.05,769.02,413957,
2025-08-27,774.76,779.79,767.0,769.68,327223,
2025-08-28,772.83,794.29,771.5001,781.9,553782,
2025-08-29,784.32,785.8399,745.46,747.29,583592,
2025-09-02,733.81,748.83,726.0001,743.59,494339,
2025-09-03,737.26,738.0,713.2051,725.29,635333,
2025-09-04,725.78,731.19,719.0,730.16,383753,
2025-09-05,731.0,738.77,708.7592,728.41,398299,
2025-09-08,736.37,750.0,733.875,740.61,608947,
2025-09-09,734.09,739.9999,718.0,731.98,312183,
2025-09-10,736.66,750.955,734.26,747.55,481584,
2025-09-11,751.61,765.005,745.4284,751.11,466950,
2025-09-12,756.66,765.44,754.46,756.13,304070,
2025-09-15,760.0,774.32,756.2,760.79,393820,
2025-09-16,760.79,766.63,750.65,750.67,484865,
2025-09-17,750.67,762.175,748.3,751.81,504493,
2025-09-18,756.35,771.9999,753.0,766.47,436875,
2025-09-19,771.77,779.09,760.01,774.53,1740459,
2025-09-22,766.33,778.9419,761.5501,775.92,406984,
2025-09-23,769.16,792.155,768.2236,777.58,449310,
2025-09-24,789.29,789.29,697.8,698.02,1192499,
2025-09-25,696.97,723.1522,694.54,712.15,974686,
2025-09-26,718.0,722.0,697.455,708.84,442853,
2025-09-29,716.335,722.84,703.0,716.02,719263,
2025-09-30,716.04,724.88,700.245,717.64,608857,
2025-10-01,708.64,720.075,697.0,711.34,520473,
2025-10-02,719.91,725.16,703.24,720.53,453008,
2025-10-03,721.51,726.76,712.76,715.51,379176,
2025-10-06,719.2,724.27,705.0,721.59,431910,
2025-10-07,720.88,728.34,706.61,714.6,376452,
2025-10-08,715.64,732.86,708.04,727.41,501128,
2025-10-09,726.02,753.16,722.51,734.04,512420,
2025-10-10,733.18,739.9999,702.27,703.03,456164,
2025-10-13,705.53,717.9999,699.13,710.0,395711,
2025-10-14,698.68,717.5298,690.46,704.67,363186,
2025-10-15,708.53,714.0499,638.5,644.99,1360343,
2025-10-16,648.5,663.25,642.3601,652.17,800451,
2025-10-17,645.51,677.06,639.5,670.68,675311,
2025-10-20,675.14,686.97,673.0,683.13,453755,
2025-10-21,687.99,708.02,685.0,707.04,498723,
2025-10-22,709.77,709.95,683.35,701.09,576210,
2025-10-23,704.41,718.19,704.01,716.39,343591,
2025-10-24,726.44,737.5325,724.21,735.95,383751,
2025-10-27,746.59,756.04,741.57,749.0,489691,
2025-10-28,746.12,764.02,745.0,755.0,566298,
2025-10-29,750.48,762.075,742.0,759.44,445761,
2025-10-30,760.85,760.85,737.63,738.88,491209,
2025-10-31,745.0,749.955,731.0,732.23,533371,
2025-11-03,737.06,738.23,720.7356,724.1,603756,
2025-11-04,715.46,719.92,698.315,706.13,1132911,
2025-11-05,563.84,657.3564,560.0,639.53,4862992,
2025-11-06,628.6,631.9899,584.21,587.14,1891456,
2025-11-07,587.0,611.21,577.8,602.51,1049882,
2025-11-10,611.35,611.35,580.39,584.69,1118632,
2025-11-11,583.16,585.0,561.915,572.18,1239975,
2025-11-12,570.35,575.92,565.37,569.51,1048887,
2025-11-13,565.88,580.0,556.6,557.29,1285465,
2025-11-14,548.9,569.04,546.64,554.37,823617,
2025-11-17,554.56,554.65,538.36,543.23,812194,
2025-11-18,541.27,549.2229,528.95,533.77,841197,
2025-11-19,533.0,533.51,521.19,531.09,1059480,
2025-11-20,541.85,553.19,519.12,519.61,787189,
2025-11-21,519.61,527.9,508.72,521.99,902329,
2025-11-24,521.46,525.3,515.83,524.6,1024220,
2025-11-25,523.5,539.8,514.25,528.89,914594,
2025-11-26,533.59,537.665,527.2175,533.17,445332,
2025-11-28,538.74,542.7,533.18,540.14,294893,
2025-12-01,531.52,540.45,525.0,533.21,770124,
2025-12-02,534.81,542.53,532.6201,537.75,584270,
2025-12-03,536.75,544.6,531.0,543.55,552156,
2025-12-04,547.49,553.46,540.65,550.61,1259352,
2025-12-05,551.02,555.9999,544.805,550.95,389684,
2025-12-08,553.7,555.38,548.22,553.12,533430,
2025-12-09,550.99,552.71,540.0267,546.65,459558,
2025-12-10,552.3,579.6,552.07,568.39,1396288,
2025-12-11,563.99,586.37,553.28,581.03,742652,
2025-12-12,584.13,584.13,561.63,564.28,943931,
2025-12-15,568.18,576.7175,541.9401,551.79,1017025,
2025-12-16,548.315,559.52,540.93,555.06,897828,
2025-12-17,546.335,563.465,544.5,550.0,1141014,
2025-12-18,555.84,568.61,555.15,563.28,955663,
2025-12-19,566.295,603.12,561.9101,594.2,2689123,
2025-12-22,603.95,617.97,596.5,600.19,876193,
2025-12-23,597.26,608.38,584.29,591.02,709503,
2025-12-24,587.04,591.82,581.71,591.15,218874,
2025-12-26,591.15,591.15,577.1254,583.84,328539,
2025-12-29,580.0,586.99,577.22,580.55,443500,
2025-12-30,579.0,580.8899,571.137,572.11,430982,
2025-12-31,572.94,574.19,567.82,567.93,469164,
2026-01-02,573.37,579.58,554.4001,563.45,517818,
2026-01-05,569.65,601.69,568.3611,591.16,778322,
2026-01-06,602.91,633.92,595.0001,626.65,1203537,
2026-01-07,619.79,626.34,608.1127,620.91,778519,
2026-01-08,630.6,640.72,609.14,612.98,591029,
2026-01-09,617.72,636.01,615.0,629.08,244458,
