Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,67.19,67.565,66.85,67.01,5671236.0,
2025-01-13,65.88,66.21,65.64,65.73,7675847.0,
2025-01-14,65.21,65.66,64.22,65.37,6247058.0,
2025-01-15,65.51,65.88,65.03,65.68,5233396.0,
2025-01-16,65.95,66.98,65.76,66.91,3942983.0,
2025-01-17,67.78,67.78,66.59,66.6,5432436.0,
2025-01-21,67.75,68.38,67.59,67.96,5479152.0,
2025-01-22,68.01,68.34,67.68,68.2,6972395.0,
2025-01-23,68.75,68.8,68.15,68.6,4197874.0,
2025-01-24,69.115,69.47,68.84,69.06,4686781.0,
2025-01-27,69.51,70.32,69.49,70.08,5107374.0,
2025-01-28,70.12,70.38,69.4839,69.59,3426702.0,
2025-01-29,70.15,70.3,69.59,70.25,3616670.0,
2025-01-30,70.42,71.44,70.32,71.24,4663055.0,
2025-01-31,70.64,71.55,70.49,70.76,3758078.0,
2025-02-03,70.25,70.735,69.73,69.86,4993403.0,
2025-02-04,69.66,69.7,68.755,68.96,5068181.0,
2025-02-05,69.93,71.09,69.65,70.935,7816356.0,
2025-02-06,74.195,74.61,71.955,72.36,9145241.0,
2025-02-07,72.7,72.7,71.775,71.99,6223587.0,
2025-02-10,72.74,73.3,72.44,72.66,7239265.0,
2025-02-11,72.01,73.06,72.0,72.73,5339109.0,
2025-02-12,73.09,74.6,73.03,74.43,5709673.0,
2025-02-13,74.7,75.48,74.13,74.45,6105272.0,
2025-02-14,74.335,74.58,73.4501,73.58,5783741.0,
2025-02-18,74.24,74.97,74.2,74.8,6169779.0,
2025-02-19,74.19,74.45,73.585,73.81,5069628.0,
2025-02-20,74.09,74.735,74.085,74.56,3336257.0,
2025-02-21,73.89,74.5,73.54,74.22,3614959.0,
2025-02-24,74.535,75.075,74.19,74.701,3931798.0,
2025-02-25,75.91,76.205,75.07,75.4,9777343.0,
2025-02-26,76.17,76.25,74.975,75.52,8569457.0,
2025-02-27,75.485,76.11,75.34,75.65,7669929.0,
2025-02-28,75.83,76.26,75.295,76.21,12806974.0,
2025-03-03,76.245,76.74,75.84,76.1,5737016.0,
2025-03-04,77.01,77.635,76.88,77.25,6416692.0,
2025-03-05,77.44,78.355,77.39,77.96,4910520.0,
2025-03-06,77.39,78.04,77.21,77.47,5169413.0,
2025-03-07,77.69,78.25,77.2802,77.5,7023441.0,
2025-03-10,76.11,76.965,75.47,75.99,6254739.0,
2025-03-11,75.52,75.67,74.18,74.24,6108855.0,
2025-03-12,75.27,75.785,74.68,75.57,6674831.0,
2025-03-13,76.7,77.03,76.17,76.51,7431213.0,
2025-03-14,76.87,77.685,76.735,77.6,5974026.0,
2025-03-17,77.16,77.76,77.08,77.37,3867744.0,
2025-03-18,77.49,77.52,76.69,77.07,3597385.0,
2025-03-19,76.98,77.03,76.165,76.32,4050660.0,
2025-03-20,76.6,77.01,76.27,76.52,3194943.0,
2025-03-21,75.59,75.9,74.675,74.93,5173076.0,
2025-03-24,73.84,74.42,73.79,74.09,3741317.0,
2025-03-25,75.05,75.12,72.62,73.05,6075742.0,
2025-03-26,72.38,73.105,71.82,72.72,6516684.0,
2025-03-27,72.43,73.04,72.37,72.84,4563210.0,
2025-03-28,73.7,74.19,73.43,73.79,3427663.0,
2025-03-31,72.6,73.68,72.18,73.5,3891708.0,
2025-04-01,74.0,74.01,72.42,72.6,4725090.0,
2025-04-02,72.52,72.84,72.05,72.22,4177343.0,
2025-04-03,75.62,75.7,73.87,73.92,9148835.0,
2025-04-04,71.75,72.05,68.425,68.46,9212028.0,
2025-04-07,64.78,67.34,63.93,65.79,12963688.0,
2025-04-08,66.95,67.0872,64.665,64.9,15401008.0,
2025-04-09,61.81,67.08,61.24,66.76,13038433.0,
2025-04-10,65.86,65.91,63.08,64.87,9763088.0,
2025-04-11,65.02,66.62,64.445,66.29,5761491.0,
2025-04-14,66.79,68.315,66.69,68.01,5939890.0,
2025-04-15,68.1,68.4,67.32,67.87,5890895.0,
2025-04-16,68.09,68.17,66.81,67.05,3554578.0,
2025-04-17,67.145,68.15,67.09,67.59,3796056.0,
2025-04-21,67.8,67.91,66.59,66.9,2573039.0,
2025-04-22,66.95,68.435,66.87,67.87,5806957.0,
2025-04-23,68.85,69.27,68.365,68.51,5674013.0,
2025-04-24,69.16,69.7126,68.48,69.55,3432145.0,
2025-04-25,69.65,69.79,68.8,69.57,6662712.0,
2025-04-28,70.25,70.81,69.53,69.93,8023429.0,
2025-04-29,70.4,72.06,69.71,71.71,7919098.0,
2025-04-30,72.52,72.57,71.3,71.79,4057331.0,
2025-05-01,70.09,70.695,69.7,70.51,5820077.0,
2025-05-02,71.51,72.67,71.345,72.44,5374453.0,
2025-05-05,72.5,72.52,71.99,72.09,3055733.0,
2025-05-06,72.69,72.69,70.2,70.26,4802170.0,
2025-05-07,70.02,70.69,69.84,70.07,4039996.0,
2025-05-08,68.43,68.51,67.26,67.3,7145928.0,
2025-05-09,68.04,68.63,67.52,67.57,6216023.0,
2025-05-12,66.44,68.95,66.37,68.95,7071285.0,
2025-05-13,68.415,68.435,67.39,67.72,4828733.0,
2025-05-14,68.22,68.22,66.16,66.23,5641348.0,
2025-05-15,67.55,67.97,67.0675,67.96,5989876.0,
2025-05-16,68.205,68.86,68.08,68.81,3743327.0,
2025-05-19,68.69,69.7,68.675,69.69,5316051.0,
2025-05-20,69.79,70.43,69.56,69.92,4295161.0,
2025-05-21,70.96,70.98,69.57,69.68,4393517.0,
2025-05-22,69.58,70.28,69.47,69.95,3410127.0,
2025-05-23,69.96,70.595,69.91,70.41,3958322.0,
2025-05-27,71.28,71.41,70.53,70.96,4459256.0,
2025-05-28,70.19,70.56,69.97,70.38,3820839.0,
2025-05-29,70.37,70.9,70.065,70.87,3460905.0,
2025-05-30,71.08,73.2,70.6,72.83,8034278.0,
2025-06-02,71.565,72.2,71.28,71.93,6389992.0,
2025-06-03,72.18,72.53,71.65,71.82,4514607.0,
2025-06-04,72.61,73.39,72.41,73.0,3621090.0,
2025-06-05,72.89,72.93,72.18,72.35,3975003.0,
2025-06-06,72.42,73.17,72.42,72.88,2454022.0,
2025-06-09,72.54,73.57,72.54,73.01,3547424.0,
2025-06-10,73.27,74.0699,73.155,73.83,2955796.0,
2025-06-11,73.43,74.16,73.43,73.74,3555427.0,
2025-06-12,74.62,75.38,74.26,75.0,3445758.0,
2025-06-13,74.15,74.98,73.91,74.42,3131593.0,
2025-06-16,74.35,74.755,73.405,73.55,3419053.0,
2025-06-17,72.51,72.69,70.92,70.97,4263587.0,
2025-06-18,71.12,71.26,70.535,70.76,3371567.0,
2025-06-20,71.14,71.14,69.66,69.95,6297122.0,
2025-06-23,70.0,70.71,69.935,70.64,2949832.0,
2025-06-24,70.31,70.905,70.0,70.54,3646781.0,
2025-06-25,70.2,70.215,69.65,69.68,4023466.0,
2025-06-26,70.09,70.37,69.66,70.07,4249711.0,
2025-06-27,70.03,70.35,69.71,69.85,3134832.0,
2025-06-30,69.885,70.07,69.41,69.88,3701686.0,
2025-07-01,70.11,72.01,70.04,71.46,6731078.0,
2025-07-02,70.64,71.265,70.51,71.13,3676175.0,
2025-07-03,71.11,71.16,69.18,69.45,6768010.0,
2025-07-07,69.965,70.02,69.31,69.63,4441675.0,
2025-07-08,69.23,70.485,69.15,70.02,4079718.0,
2025-07-09,69.89,70.87,69.74,70.82,3665539.0,
2025-07-10,71.65,72.46,71.29,71.81,4046703.0,
2025-07-11,70.99,71.15,70.5,71.13,2729868.0,
2025-07-14,71.35,72.21,71.205,71.74,3401875.0,
2025-07-15,71.78,71.81,70.265,70.32,3191976.0,
2025-07-16,69.96,70.685,69.851,70.08,3543031.0,
2025-07-17,69.515,69.72,68.615,69.26,3698668.0,
2025-07-18,69.59,69.61,68.665,68.79,2992178.0,
2025-07-21,68.875,69.37,68.615,68.72,3205456.0,
2025-07-22,69.422,70.54,69.422,70.48,3126719.0,
2025-07-23,72.17,73.3,72.0,73.0,5020773.0,
2025-07-24,74.13,74.38,73.545,73.68,5767090.0,
2025-07-25,72.65,72.903,72.27,72.66,6202340.0,
2025-07-28,72.725,73.0317,71.49,71.83,7647839.0,
2025-07-29,72.92,75.0,72.57,73.98,14431353.0,
2025-07-30,75.555,76.73,75.36,76.59,10271122.0,
2025-07-31,74.59,75.64,73.025,73.09,8599714.0,
2025-08-01,73.55,74.12,73.34,73.95,9803831.0,
2025-08-04,73.33,74.6,73.22,74.59,3513437.0,
2025-08-05,74.84,74.95,74.25,74.48,3439695.0,
2025-08-06,74.7,75.1,73.42,73.6,2947283.0,
2025-08-07,73.79,74.595,73.45,74.57,3427612.0,
2025-08-08,73.47,73.9,73.11,73.55,4986435.0,
2025-08-11,73.86,74.31,73.66,74.07,2558310.0,
2025-08-12,74.11,75.37,74.04,75.34,2869888.0,
2025-08-13,76.93,78.03,76.79,77.94,5008774.0,
2025-08-14,77.82,78.59,77.74,78.47,5718232.0,
2025-08-15,78.505,79.3065,78.3005,79.17,4760857.0,
2025-08-18,79.485,79.78,79.1,79.12,3017733.0,
2025-08-19,79.33,79.8,79.22,79.54,3689934.0,
2025-08-20,80.2,81.13,80.18,80.52,3572156.0,
2025-08-21,80.4,80.98,80.4,80.46,2536510.0,
2025-08-22,81.09,81.555,80.61,80.97,3604333.0,
2025-08-25,81.52,81.52,79.49,79.66,3379361.0,
2025-08-26,80.57,80.57,79.38,80.05,5328655.0,
2025-08-27,80.055,80.26,79.465,79.93,4856761.0,
2025-08-28,79.93,80.16,79.35,79.99,3030932.0,
2025-08-29,79.59,80.09,79.37,79.9,2824761.0,
2025-09-02,79.86,80.59,79.43,80.19,2988576.0,
2025-09-03,80.95,82.19,80.91,82.11,4203438.0,
2025-09-04,81.88,82.28,81.48,81.78,3121637.0,
2025-09-05,82.05,82.41,81.54,81.7,2464583.0,
2025-09-08,80.73,81.605,80.18,81.56,2624015.0,
2025-09-09,81.005,81.36,80.74,81.22,2379148.0,
2025-09-10,80.91,81.12,80.575,80.81,2112545.0,
2025-09-11,80.82,81.306,80.68,81.1,2829735.0,
2025-09-12,80.82,81.16,79.08,79.56,4491748.0,
2025-09-15,78.22,78.52,77.365,78.05,4447216.0,
2025-09-16,77.91,78.02,77.24,77.56,3409475.0,
2025-09-17,77.19,78.08,77.07,77.69,4658789.0,
2025-09-18,76.92,77.15,76.085,77.07,4558556.0,
2025-09-19,76.79,77.265,76.16,76.28,6661660.0,
2025-09-22,76.67,77.885,76.58,77.5,4870404.0,
2025-09-23,76.61,76.86,75.9045,75.97,3912871.0,
2025-09-24,75.2,75.66,74.9209,75.36,3092991.0,
2025-09-25,74.57,74.69,72.895,73.53,4886408.0,
2025-09-26,73.67,74.06,73.33,73.76,4345423.0,
2025-09-29,74.19,74.68,73.685,74.13,6118738.0,
2025-09-30,74.43,76.99,73.96,76.72,7682597.0,
2025-10-01,81.035,84.61,80.82,84.36,14451418.0,
2025-10-02,83.4,84.05,82.88,83.65,5451241.0,
2025-10-03,84.3,85.5,83.84,85.31,5869288.0,
2025-10-06,85.54,86.57,85.14,85.49,6384890.0,
2025-10-07,85.42,86.24,85.3544,85.87,3492741.0,
2025-10-08,86.35,86.48,85.155,85.38,6621301.0,
2025-10-09,85.9,86.38,84.99,85.04,9093484.0,
2025-10-10,85.63,85.88,83.845,84.53,14476330.0,
2025-10-13,84.35,84.92,84.05,84.51,5979944.0,
2025-10-14,84.58,85.17,84.3,85.12,4902168.0,
2025-10-15,83.55,85.04,83.53,84.83,4070016.0,
2025-10-16,83.52,84.415,83.095,83.83,4326064.0,
2025-10-17,83.835,85.06,83.6505,84.69,3125960.0,
2025-10-20,84.86,85.18,83.775,83.87,5016376.0,
2025-10-21,83.84,83.91,83.12,83.22,5616670.0,
2025-10-22,83.45,84.21,83.278,83.43,3313353.0,
2025-10-23,83.17,83.81,83.12,83.4,2149848.0,
2025-10-24,83.45,83.515,82.92,83.29,2380453.0,
2025-10-27,83.46,84.21,83.235,84.06,6247961.0,
2025-10-28,84.04,84.22,81.78,82.61,3661749.0,
2025-10-29,83.39,83.46,81.64,82.23,3570044.0,
2025-10-30,82.09,82.82,81.2906,82.34,5791262.0,
2025-10-31,82.18,82.55,81.5,82.4,2977722.0,
2025-11-03,81.98,82.4,81.05,81.72,2896549.0,
2025-11-04,80.65,82.11,80.48,82.03,4673213.0,
2025-11-05,81.38,82.09,81.02,81.15,5448786.0,
2025-11-06,84.31,85.02,83.37,83.77,6942147.0,
2025-11-07,84.55,85.15,84.22,84.58,4106122.0,
2025-11-10,86.24,87.525,85.845,87.48,6271748.0,
2025-11-11,88.19,89.315,88.0,89.09,4963456.0,
2025-11-12,88.27,88.9,87.23,87.68,5231592.0,
2025-11-13,87.89,89.43,87.62,88.61,4514764.0,
2025-11-14,88.515,89.3654,88.28,89.1,4090547.0,
2025-11-17,89.33,90.2667,89.115,89.4,3814139.0,
2025-11-18,89.03,89.705,88.44,89.55,6357880.0,
2025-11-19,89.555,90.065,88.59,88.99,6439194.0,
2025-11-20,89.85,90.01,88.41,88.68,5863236.0,
2025-11-21,89.34,91.905,89.34,91.0,7402348.0,
2025-11-24,90.605,91.83,90.605,91.52,5726213.0,
2025-11-25,92.44,93.41,92.2,93.24,5425913.0,
2025-11-26,93.0,94.015,92.84,93.32,4656384.0,
2025-11-28,92.57,92.83,92.05,92.72,3747969.0,
2025-12-01,92.935,92.98,90.425,90.52,6366644.0,
2025-12-02,90.91,91.08,90.14,90.17,6504867.0,
2025-12-03,90.69,91.28,90.52,90.85,6837023.0,
2025-12-04,90.65,90.87,89.77,90.03,5250861.0,
2025-12-05,90.69,91.18,90.065,90.18,5432911.0,
2025-12-08,90.365,91.365,89.67,91.28,7055475.0,
2025-12-09,91.18,91.445,89.775,89.82,4728134.0,
2025-12-10,91.18,91.66,89.7,91.51,6119915.0,
2025-12-11,90.62,91.52,90.195,90.29,6628233.0,
2025-12-12,89.4,89.96,89.28,89.83,5377260.0,
2025-12-15,90.37,91.79,90.12,91.56,7020702.0,
2025-12-16,90.87,91.575,90.1901,91.35,4514854.0,
2025-12-17,91.09,91.25,89.85,89.86,5975458.0,
2025-12-18,90.285,91.17,90.19,90.61,6828550.0,
2025-12-19,90.43,91.8699,90.36,91.36,8374375.0,
2025-12-22,90.81,91.855,90.63,91.55,4648995.0,
2025-12-23,92.515,93.1,91.941,92.14,3544381.0,
2025-12-24,92.32,92.61,92.01,92.45,1184654.0,
2025-12-26,92.525,92.91,92.18,92.9,1669376.0,
2025-12-29,92.33,92.89,92.33,92.52,2371767.0,
2025-12-30,92.655,92.88,92.36,92.51,1730525.0,
2025-12-31,92.25,92.48,91.92,91.93,2097318.0,
2026-01-02,92.39,92.45,91.17,91.57,3563352.0,
2026-01-05,91.165,91.375,89.53,91.22,5908778.0,
2026-01-06,92.49,95.27,92.46,94.96,6325025.0,
2026-01-07,94.81,96.51,94.12,95.16,6615153.0,
2026-01-08,95.18,95.945,93.22,94.01,5616391.0,
2026-01-09,95.24,95.935,94.535,94.725,2706558.0,
