Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,4809.21,4835.85,4700.16,4739.55,306303,
2025-01-13,4710.29,4780.575,4660.32,4763.9,209926,
2025-01-14,4781.83,4809.08,4751.075,4778.81,206092,
2025-01-15,4851.73,4899.54,4815.71,4829.64,230379,
2025-01-16,4817.78,4901.6,4798.17,4865.0,188438,
2025-01-17,4950.0,4976.955,4894.45,4926.8,260454,
2025-01-21,4925.45,4934.62,4615.0,4686.41,406126,
2025-01-22,4681.56,4704.5055,4595.91,4619.21,372921,
2025-01-23,4620.65,4822.45,4609.05,4818.14,402327,
2025-01-24,4802.0,4828.0,4723.79,4764.89,240050,
2025-01-27,4656.87,4781.16,4656.87,4675.36,299730,
2025-01-28,4670.1,4751.515,4660.0,4684.68,331058,
2025-01-29,4705.56,4744.0061,4688.77,4721.86,179124,
2025-01-30,4789.34,4789.34,4700.05,4774.33,237078,
2025-01-31,4796.0,4830.0,4711.04,4737.56,245373,
2025-02-03,4670.19,4742.86,4605.43,4692.9,251836,
2025-02-04,4670.51,4728.57,4655.87,4678.94,261879,
2025-02-05,4688.43,4778.675,4684.07,4699.39,218672,
2025-02-06,4730.64,4847.0,4729.88,4779.71,428097,
2025-02-07,4884.9,5072.7,4869.0,4887.47,430834,
2025-02-10,4962.71,4987.0,4905.99,4913.48,191860,
2025-02-11,4896.06,4931.78,4863.6,4897.32,177417,
2025-02-12,4877.03,5020.66,4877.03,5018.11,199108,
2025-02-13,5059.46,5079.09,4984.305,5008.7,224593,
2025-02-14,5085.44,5085.44,4975.543,5044.4,202555,
2025-02-18,5108.5,5165.0,5060.36,5141.88,278015,
2025-02-19,5168.62,5168.62,5043.02,5110.6,187216,
2025-02-20,5109.99,5109.99,4975.81,5018.23,301618,
2025-02-21,5213.47,5282.0,4970.05,4990.64,724538,
2025-02-24,5004.0,5102.9303,4998.11,5050.12,350210,
2025-02-25,5090.0,5090.0,4951.92,5033.83,359047,
2025-02-26,5058.0,5129.0,5025.0,5034.55,257308,
2025-02-27,5042.11,5046.14,4916.65,4918.13,209644,
2025-02-28,4938.15,5016.01,4896.111,5016.01,305454,
2025-03-03,5016.01,5054.75,4914.1,4946.15,351984,
2025-03-04,4849.42,4967.95,4790.64,4898.4,389716,
2025-03-05,4894.61,4949.48,4842.24,4917.46,213170,
2025-03-06,4816.01,4871.71,4686.25,4695.97,305762,
2025-03-07,4678.75,4725.43,4601.485,4673.38,296953,
2025-03-10,4583.16,4583.16,4405.92,4451.03,361196,
