Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,43.91,44.25,42.75,43.26,6879718.0,
2025-01-13,43.32,45.04,43.3,44.83,7483567.0,
2025-01-14,44.91,45.3,44.53,45.07,7528791.0,
2025-01-15,45.62,45.899,45.21,45.72,6172478.0,
2025-01-16,45.62,46.75,45.35,46.33,7401862.0,
2025-01-17,46.87,47.47,46.395,46.54,8479649.0,
2025-01-21,46.69,47.075,45.82,47.04,9639294.0,
2025-01-22,47.04,47.08,45.725,45.81,6904804.0,
2025-01-23,45.88,46.25,45.345,45.66,6010226.0,
2025-01-24,45.67,45.86,45.37,45.55,4567703.0,
2025-01-27,44.77,44.99,43.36,43.55,10311044.0,
2025-01-28,43.48,43.92,42.93,43.28,7010576.0,
2025-01-29,43.22,44.11,42.965,43.07,6898608.0,
2025-01-30,43.82,44.69,43.38,44.6,11039138.0,
2025-01-31,46.1,47.6,45.8,46.18,21166504.0,
2025-02-03,46.92,47.585,46.05,47.4,14432698.0,
2025-02-04,46.63,48.04,45.87,47.96,9354040.0,
2025-02-05,48.21,48.94,47.7,48.85,8248984.0,
2025-02-06,49.4,49.4,46.56,46.98,9236040.0,
2025-02-07,47.01,47.2,46.155,46.2,7669542.0,
2025-02-10,47.09,47.52,46.93,47.41,6340137.0,
2025-02-11,47.18,47.75,46.64,47.11,5240525.0,
2025-02-12,46.755,46.99,45.915,46.41,6681215.0,
2025-02-13,46.3,46.42,45.71,46.15,5189197.0,
2025-02-14,46.54,46.74,46.03,46.4,4850861.0,
2025-02-18,46.73,47.11,46.24,46.98,5026790.0,
2025-02-19,47.04,47.175,46.29,46.89,5059868.0,
2025-02-20,46.76,46.97,46.38,46.91,4672121.0,
2025-02-21,46.73,46.79,45.41,45.62,7898881.0,
2025-02-24,46.17,46.17,44.515,44.63,10371715.0,
2025-02-25,44.42,44.96,43.77,44.04,7407781.0,
2025-02-26,43.74,44.43,43.29,43.51,4633496.0,
2025-02-27,44.0,44.5591,43.515,43.58,4553533.0,
2025-02-28,43.44,44.68,42.97,44.59,8584518.0,
2025-03-03,45.07,45.3,43.08,43.6,9119235.0,
2025-03-04,43.0,43.595,41.61,42.86,9330256.0,
2025-03-05,42.59,42.71,41.56,42.32,10630557.0,
2025-03-06,41.79,42.225,41.36,41.9,8611723.0,
2025-03-07,42.135,43.445,41.85,42.89,9118620.0,
2025-03-10,42.7,42.91,40.5046,41.16,10966841.0,
2025-03-11,41.74,42.365,41.27,41.85,8457626.0,
