Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,344.47,345.61,333.68,334.89,1259530,
2025-01-13,334.25,339.64,333.88,337.84,809245,
2025-01-14,337.25,346.68,336.72,346.29,1094125,
2025-01-15,349.37,353.005,346.17,348.0,1311335,
2025-01-16,346.66,349.78,346.21,346.68,747906,
2025-01-17,352.82,353.59,347.69,351.37,1206938,
2025-01-21,349.66,354.14,349.46,350.56,1050399,
2025-01-22,350.31,352.98,345.27,352.8,921016,
2025-01-23,354.87,360.0,351.035,359.96,1225761,
2025-01-24,359.77,367.91,357.9,367.58,938877,
2025-01-27,362.85,371.015,361.09,367.49,1150481,
2025-01-28,364.56,368.33,361.475,365.38,1938348,
2025-01-29,365.64,367.71,357.23,359.33,1040728,
2025-01-30,336.2,351.02,326.785,336.62,3272988,
2025-01-31,360.75,360.85,343.05,345.49,2805498,
2025-02-03,346.5,347.89,339.23,341.5,1742389,
2025-02-04,336.81,344.21,336.23,340.26,1219111,
2025-02-05,342.25,347.94,337.68,345.05,909493,
2025-02-06,348.49,354.24,346.8,353.31,760250,
2025-02-07,353.99,354.32,347.39,347.84,480855,
2025-02-10,351.87,351.87,342.525,343.73,866950,
2025-02-11,340.24,351.5,340.24,350.92,612961,
2025-02-12,347.12,355.57,346.17,354.56,762890,
2025-02-13,356.98,364.92,355.81,360.77,728149,
2025-02-14,362.0,364.03,359.77,360.27,671838,
2025-02-18,360.44,363.25,353.8219,361.74,616560,
2025-02-19,361.92,365.0,359.7,361.58,1040755,
2025-02-20,359.23,363.94,356.6506,363.01,692245,
2025-02-21,364.48,364.99,360.72,361.0,614200,
2025-02-24,365.84,370.6,361.28,365.64,1435486,
2025-02-25,369.93,372.3,357.61,358.73,1037679,
2025-02-26,358.25,360.63,351.18,353.48,787145,
2025-02-27,354.25,362.46,353.665,359.04,931059,
2025-02-28,362.46,368.55,360.38,363.57,1386004,
2025-03-03,362.87,376.24,360.6,370.66,1431006,
2025-03-04,376.48,377.49,361.86,368.36,1316710,
2025-03-05,368.2,380.29,367.69,378.42,1095538,
2025-03-06,378.89,384.95,375.67,382.94,1408658,
2025-03-07,381.95,391.6099,371.03,379.52,1581674,
2025-03-10,380.28,385.64,362.66,373.52,2029812,
2025-03-11,371.335,376.52,355.78,355.87,1343960,
2025-03-12,353.73,354.5,338.54,349.75,2413715,
2025-03-13,348.03,354.52,344.41,345.4,1432372,
2025-03-14,350.0,355.0,345.18,351.5,1210956,
2025-03-17,347.74,357.45,347.74,354.08,878718,
2025-03-18,354.08,356.59,349.73,354.45,1094258,
2025-03-19,353.65,357.01,349.89,353.02,1202923,
2025-03-20,351.885,363.57,351.885,362.58,1112089,
2025-03-21,359.65,364.58,356.04,363.81,1569789,
2025-03-24,365.59,371.98,364.33,367.5,1488245,
2025-03-25,365.81,375.53,365.81,375.01,979243,
2025-03-26,375.58,386.98,374.15,384.77,1371759,
2025-03-27,385.86,388.02,379.2301,382.02,1244983,
2025-03-28,384.91,384.91,368.75,369.02,1217194,
2025-03-31,368.76,370.29,361.43,368.53,2349950,
2025-04-01,366.1,374.01,363.4,370.91,977783,
2025-04-02,370.8,379.96,370.13,379.27,923374,
2025-04-03,378.28,385.875,368.06,368.4,1445467,
2025-04-04,365.0,368.915,337.5425,338.29,1834064,
2025-04-07,332.865,351.985,324.08,332.89,1522864,
2025-04-08,337.17,346.97,318.85,321.68,2147403,
2025-04-09,317.19,350.725,312.385,346.98,3280712,
2025-04-10,340.28,341.72,325.1,335.47,1646294,
2025-04-11,335.7,338.47,327.96,334.38,1288356,
2025-04-14,335.9,343.38,335.48,340.4,1253669,
2025-04-15,341.18,350.0485,339.68,343.18,1041961,
2025-04-16,340.79,343.985,330.14,332.5,1000415,
2025-04-17,335.21,342.22,334.07,338.96,934327,
2025-04-21,335.28,337.995,319.65,322.43,1219408,
2025-04-22,325.75,331.7,325.355,331.34,1161133,
2025-04-23,336.52,345.05,335.68,337.51,1572395,
2025-04-24,323.36,339.22,318.43,335.33,2171705,
2025-04-25,359.5,374.21,356.45,373.65,2702319,
2025-04-28,373.65,385.48,372.88,376.87,1929741,
2025-04-29,378.785,387.54,378.6346,386.33,1543457,
2025-04-30,387.26,392.91,377.6,391.86,1445879,
2025-05-01,388.3,392.565,382.67,383.0,1442758,
2025-05-02,386.17,387.48,383.2,385.0,1740813,
2025-05-05,385.07,399.94,382.94,394.24,1311408,
2025-05-06,392.365,402.835,390.5,402.01,1145247,
2025-05-07,403.29,407.87,400.87,404.14,1113985,
2025-05-08,404.78,408.83,403.56,404.41,1055832,
2025-05-09,404.61,405.39,400.53,401.73,902743,
2025-05-12,410.0,410.99,399.47,402.52,1064139,
2025-05-13,402.0,413.21,392.18,411.13,1540686,
2025-05-14,407.03,414.45,407.03,413.86,1078759,
2025-05-15,413.57,423.175,412.58,419.57,1281949,
2025-05-16,423.6,437.06,419.45,427.25,3625442,
2025-05-19,425.96,430.83,415.47,418.63,1821588,
2025-05-20,421.89,427.39,418.56,423.49,1236253,
2025-05-21,421.22,424.25,413.57,415.44,1355799,
2025-05-22,417.2,418.365,409.58,409.93,1425505,
2025-05-23,404.23,408.96,401.995,406.36,1146397,
2025-05-27,409.71,412.49,407.45,411.13,1570868,
2025-05-28,409.43,413.315,406.18,407.38,787964,
2025-05-29,407.59,407.59,392.03,395.81,1488347,
2025-05-30,395.51,397.34,388.06,396.27,1829863,
2025-06-02,391.025,395.88,384.68,394.78,1251218,
2025-06-03,391.8,393.2,382.17,390.8,1578601,
2025-06-04,392.41,395.24,388.74,388.77,878049,
