Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,33.5061,33.8459,33.0764,33.1129,30402146,
2025-01-13,33.2493,33.4405,33.0126,33.1947,21931943,
2025-01-14,33.3587,33.3678,32.9214,33.131,27561517,
2025-01-15,33.4861,33.559,33.0399,33.2403,24452266,
2025-01-16,33.2584,33.3678,33.0307,33.0673,23184706,
2025-01-17,33.468,33.6137,33.1947,33.3131,24201692,
2025-01-21,33.3131,33.9234,33.2767,33.6682,23197571,
2025-01-22,33.5682,33.8778,33.2493,33.7958,23192323,
2025-01-23,33.9415,34.1829,33.6137,34.1237,19182305,
2025-01-24,34.0235,34.2785,33.9506,34.2602,20046465,
2025-01-27,34.2148,34.9707,34.2057,34.8157,26900315,
2025-01-28,34.5608,34.7657,34.1237,34.1965,19651032,
2025-01-29,34.324,34.4469,33.9234,34.0235,23650383,
2025-01-30,31.346,31.5827,29.5975,30.2805,84944320,
2025-01-31,30.4808,30.9727,30.326,30.6539,43017371,
2025-02-03,30.153,30.7632,30.0893,30.2259,49887775,
2025-02-04,29.7614,30.6083,29.6977,30.5537,44483354,
2025-02-05,30.5537,30.9181,30.3352,30.909,36776430,
2025-02-06,31.0546,31.4006,30.7359,31.3915,32764384,
2025-02-07,31.5281,31.5737,31.0562,31.3005,26445760,
2025-02-10,31.6283,31.6739,31.3188,31.3915,29639464,
2025-02-11,31.0364,32.1975,31.0364,32.0837,35841366,
2025-02-12,31.8014,32.0816,31.7742,31.7832,25739350,
2025-02-13,31.9106,32.3296,31.8205,32.2202,22580358,
2025-02-14,32.2386,32.4388,32.1383,32.2294,19692022,
2025-02-18,32.1128,33.131,31.9699,33.1038,26370356,
2025-02-19,33.1856,33.468,33.0399,33.2221,24927487,
2025-02-20,33.1401,33.4361,32.867,33.1584,28385097,
2025-02-21,33.2903,33.3768,32.9579,33.0035,23515435,
2025-02-24,33.1401,33.5044,32.9853,33.0582,30879793,
2025-02-25,33.1947,33.6774,32.5573,32.6484,37636147,
2025-02-26,32.5847,32.63,31.8741,31.9654,34217083,
2025-02-27,31.9516,32.3067,31.8741,32.2294,25532452,
2025-02-28,32.4662,32.867,32.3523,32.6756,29403585,
2025-03-03,32.6665,33.008,32.5573,32.7667,21791826,
2025-03-04,32.9761,33.0719,32.1202,32.3296,34051412,
2025-03-05,32.1656,32.5026,31.8469,32.3842,26942291,
2025-03-06,32.357,33.0945,32.193,33.0307,31971636,
2025-03-07,32.8577,34.2602,32.8487,34.2329,47571636,
2025-03-10,34.0689,34.5836,32.8124,32.8851,47683705,
2025-03-11,32.8487,33.0764,32.3114,32.7393,35394438,
2025-03-12,32.5663,32.6756,31.7832,32.0472,25755071,
2025-03-13,32.0291,32.7121,31.5646,31.6011,35199326,
2025-03-14,31.9471,32.4116,31.5555,32.2658,30094294,
2025-03-17,32.3205,32.709,32.1839,32.5573,18556522,
2025-03-18,32.621,32.9033,32.3933,32.794,19636793,
2025-03-19,32.8305,32.9853,32.7212,32.867,23872641,
