Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,354.91,354.91,343.99,348.84,2831718,
2025-01-13,342.865,345.17,335.55,341.46,3337895,
2025-01-14,344.995,351.972,343.25,348.04,2535250,
2025-01-15,355.0,365.2705,352.96,362.02,2882115,
2025-01-16,366.26,369.0182,360.66,363.38,2444894,
2025-01-17,370.14,370.95,349.55,357.0,4869940,
2025-01-21,360.87,370.0,358.3,366.41,2686011,
2025-01-22,368.76,381.4895,363.0,377.98,3608945,
2025-01-23,376.81,377.95,371.84,377.7,2378997,
2025-01-24,378.3,384.2999,373.67,374.92,2281670,
2025-01-27,366.5,382.45,359.66,373.75,3783451,
2025-01-28,372.67,411.2999,372.57,408.68,8247214,
2025-01-29,404.35,404.35,390.2201,397.07,4279542,
2025-01-30,399.73,403.0802,390.85,396.87,2785193,
2025-01-31,398.4,408.1,397.35,398.07,3126181,
2025-02-03,386.945,399.94,384.24,397.57,3555177,
2025-02-04,396.52,408.4399,396.0,407.52,2865656,
2025-02-05,408.0,419.39,405.02,417.22,3111415,
2025-02-06,415.5,421.625,413.7243,420.51,2413319,
2025-02-07,424.0,431.3252,419.32,421.59,3501532,
2025-02-10,424.775,431.9041,424.485,428.92,2258831,
2025-02-11,426.65,434.7839,424.08,431.64,2323787,
2025-02-12,425.2,437.5964,424.21,434.63,2010961,
2025-02-13,435.0,454.13,432.19673,453.77,3681273,
2025-02-14,449.47,453.4599,442.87,451.74,2845458,
2025-02-18,451.67,455.44,445.27,455.36,2753358,
2025-02-19,455.36,455.59,444.58,450.14,2415246,
2025-02-20,441.92,442.73,418.31,436.14,4768919,
2025-02-21,428.86,433.23,404.54,406.68,5598247,
2025-02-24,405.49,405.9,382.34,391.68,5384438,
2025-02-25,387.27,389.0,369.31,379.75,4503796,
2025-02-26,384.69,401.7,381.7467,394.56,3431516,
2025-02-27,401.64,406.53,380.0,380.24,3223079,
2025-02-28,379.0,390.52,377.38,389.66,3773054,
2025-03-03,399.0,404.6,378.34,382.73,5065041,
2025-03-04,376.975,396.16,370.58,390.16,8045095,
2025-03-05,361.68,367.32,343.0,365.44,15958069,
2025-03-06,356.58,371.7197,345.82,347.73,5613653,
2025-03-07,344.56,347.73,318.04,333.5,6869351,
2025-03-10,322.65,323.945,303.79,308.86,6996968,
2025-03-11,310.41,339.0,308.0,329.75,8352494,
