Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,58.79,59.06,58.54,58.74,17274459.0,
2025-01-13,58.92,58.93,58.17,58.76,19340695.0,
2025-01-14,58.97,59.34,58.75,59.33,16715456.0,
2025-01-15,59.8551,60.34,59.5925,59.98,19185137.0,
2025-01-16,60.18,60.445117,59.78,59.82,18445709.0,
2025-01-17,60.76,60.95,60.2,60.23,23876379.0,
2025-01-21,60.47,61.33,60.28,61.03,18623768.0,
2025-01-22,61.04,61.755,60.99,61.63,19436629.0,
2025-01-23,61.8,62.315,61.3801,62.23,14212046.0,
2025-01-24,62.06,62.2899,61.86,62.23,17232945.0,
2025-01-27,61.39,61.46,58.76,59.08,33730340.0,
2025-01-28,59.02,59.56,58.92,59.43,25473316.0,
2025-01-29,59.95,60.5363,59.51,59.55,17925289.0,
2025-01-30,60.47,61.075,60.2501,60.47,17079036.0,
2025-01-31,60.53,61.19,60.455,60.6,16555695.0,
2025-02-03,60.19,61.255,59.55,61.04,20375707.0,
2025-02-04,60.84,61.5947,60.73,61.34,12742713.0,
2025-02-05,61.45,62.71,61.3,62.57,19008323.0,
2025-02-06,62.82,62.91,62.0701,62.27,15521841.0,
2025-02-07,62.74,63.25,62.21,62.27,23861029.0,
2025-02-10,63.12,63.1541,62.38,62.81,15816237.0,
2025-02-11,62.53,62.8,62.175,62.43,17702464.0,
2025-02-12,61.44,62.56,61.2,62.53,30116284.0,
2025-02-13,66.1,66.5,62.72,63.84,43257663.0,
2025-02-14,63.79,65.07,63.44,64.87,23693320.0,
2025-02-18,65.3,66.25,64.43,64.59,22047470.0,
2025-02-19,64.515,64.96,64.29,64.84,14164064.0,
2025-02-20,64.96,65.23,64.27,64.67,14836588.0,
2025-02-21,64.68,64.96,63.88,63.98,18905792.0,
2025-02-24,64.425,64.565,63.15,63.25,17287523.0,
2025-02-25,64.6,64.635,63.32,64.27,22100075.0,
2025-02-26,64.045,64.775,63.94,64.08,13452344.0,
2025-02-27,64.765,65.29,63.75,63.81,24695609.0,
2025-02-28,63.925,64.16,62.83,64.11,26711832.0,
2025-03-03,64.39,64.88,63.19,63.48,21810686.0,
2025-03-04,63.74,63.91,62.6132,63.26,24588330.0,
2025-03-05,63.23,64.175,62.8,63.96,14931472.0,
2025-03-06,63.8,64.02,62.7608,63.41,23155124.0,
2025-03-07,62.9,64.17,62.19,63.94,21154785.0,
