Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,31.93,32.14,31.71,31.78,13644243.0,
2025-01-13,31.66,31.965,31.53,31.89,16634147.0,
2025-01-14,32.01,32.19,31.92,32.14,12878378.0,
2025-01-15,32.68,32.73,32.43,32.46,13694353.0,
2025-01-16,32.33,32.98,32.02,32.97,21673557.0,
2025-01-17,33.36,33.39,32.66,32.73,20685964.0,
2025-01-21,33.02,33.28,32.775,33.27,9344359.0,
2025-01-22,33.22,33.5,33.05,33.24,13745499.0,
2025-01-23,33.88,34.1,33.475,33.67,17405681.0,
2025-01-24,32.05,33.02,32.0,32.69,25130370.0,
2025-01-27,32.85,33.83,32.57,33.64,20309253.0,
2025-01-28,33.35,33.68,32.65,32.68,14548630.0,
2025-01-29,32.75,33.615,32.75,32.98,16393999.0,
2025-01-30,32.94,33.185,32.635,32.86,12090302.0,
2025-01-31,32.85,33.4,32.77,32.87,21654194.0,
2025-02-03,32.475,32.95,32.045,32.51,15172197.0,
2025-02-04,32.35,32.97,32.33,32.87,12211899.0,
2025-02-05,32.98,33.06,32.76,32.88,7455011.0,
2025-02-06,33.04,33.12,32.64,32.74,6585105.0,
2025-02-07,32.78,32.83,32.36,32.59,16936688.0,
2025-02-10,32.75,33.11,32.69,33.08,9929040.0,
2025-02-11,32.945,33.24,32.92,33.11,9177247.0,
2025-02-12,32.63,33.05,32.62,32.92,7723101.0,
2025-02-13,33.09,33.14,32.83,33.1,11026866.0,
2025-02-14,33.25,33.485,33.17,33.37,10739949.0,
2025-02-18,33.4,33.74,33.275,33.64,15001029.0,
2025-02-19,33.53,33.55,32.315,32.41,13733090.0,
2025-02-20,32.32,32.55,32.12,32.46,11703432.0,
2025-02-21,32.47,32.47,31.79,32.3,23611917.0,
2025-02-24,32.47,32.49,31.72,31.81,16202213.0,
2025-02-25,31.97,32.26,31.875,32.09,13040862.0,
2025-02-26,32.05,32.17,31.8101,31.98,8666099.0,
2025-02-27,31.82,32.25,31.68,32.01,9325478.0,
2025-02-28,32.15,32.2699,31.61,32.01,21083306.0,
2025-03-03,32.15,32.395,31.74,31.93,11273019.0,
2025-03-04,31.82,31.905,31.17,31.2,19833278.0,
2025-03-05,31.062,31.55,30.615,30.92,21618388.0,
2025-03-06,30.945,31.075,30.545,30.93,22952159.0,
2025-03-07,30.76,31.4,30.705,31.26,19422398.0,
2025-03-10,31.26,31.53,30.56,30.65,20051777.0,
2025-03-11,30.71,30.71,29.5,29.52,15102240.0,
2025-03-12,29.495,29.74,29.285,29.55,13936168.0,
2025-03-13,29.6,29.74,28.98,29.13,16509034.0,
2025-03-14,29.345,30.05,29.22,30.01,16382759.0,
2025-03-17,29.99,30.4,29.92,30.33,9204350.0,
2025-03-18,30.36,30.5,29.99,30.26,11511622.0,
2025-03-19,30.21,30.37,29.99,30.07,12103581.0,
2025-03-20,29.9,30.165,29.75,29.98,16138671.0,
2025-03-21,29.69,29.83,29.46,29.57,25369608.0,
2025-03-24,29.83,29.94,29.575,29.85,13230189.0,
2025-03-25,29.735,29.84,29.47,29.53,10846995.0,
2025-03-26,29.56,29.945,29.26,29.9,13968890.0,
2025-03-27,29.85,30.005,29.57,29.92,10440741.0,
2025-03-28,29.86,29.93,29.09,29.11,9596898.0,
2025-03-31,29.11,29.655,29.01,29.43,23507120.0,
2025-04-01,29.17,29.57,29.04,29.54,11174238.0,
2025-04-02,29.28,29.76,29.14,29.74,9470286.0,
2025-04-03,28.97,28.98,27.9,27.99,21170848.0,
2025-04-04,27.565,27.73,26.945,27.21,26481153.0,
2025-04-07,27.23,27.99,26.2184,27.09,32102895.0,
2025-04-08,27.49,27.97,26.31,26.69,22201116.0,
2025-04-09,26.43,28.78,26.29,28.66,26939263.0,
2025-04-10,28.23,28.355,27.13,27.82,16572317.0,
2025-04-11,27.745,28.08,27.35,28.01,15001963.0,
2025-04-14,28.2,28.45,27.96,28.27,17079735.0,
2025-04-15,28.22,28.445,27.835,27.9,15163551.0,
2025-04-16,27.595,27.96,27.16,27.35,25311463.0,
2025-04-17,27.29,28.02,27.27,27.68,21437658.0,
2025-04-21,27.39,27.535,27.0,27.46,28499453.0,
2025-04-22,27.62,27.91,27.47,27.78,16208586.0,
2025-04-23,28.275,28.51,27.46,27.59,15917932.0,
2025-04-24,27.4,28.18,27.18,28.14,13572782.0,
2025-04-25,27.9,28.07,27.67,27.84,14351477.0,
2025-04-28,27.845,28.02,27.59,27.87,12632506.0,
