Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,191.5,194.24,189.19,189.3,2331026.0,
2025-01-13,188.6,191.18,187.67,190.6,1587843.0,
2025-01-14,190.04,192.36,189.365,192.28,1585371.0,
2025-01-15,194.86,196.05,194.0,195.7,1466838.0,
2025-01-16,196.4,199.24,196.245,198.05,1417892.0,
2025-01-17,201.31,201.31,197.55,198.31,1673347.0,
2025-01-21,198.96,202.32,198.96,201.23,2237797.0,
2025-01-22,201.23,201.45,198.95,199.02,1578125.0,
2025-01-23,198.53,198.78,196.935,197.8,1114217.0,
2025-01-24,197.06,198.4208,197.01,197.39,874024.0,
2025-01-27,195.5,202.94,195.22,202.56,2637912.0,
2025-01-28,202.75,203.12,200.36,200.43,1471178.0,
2025-01-29,201.45,201.72,198.42,198.56,836269.0,
2025-01-30,199.42,202.32,199.42,202.18,883858.0,
2025-01-31,201.13,202.54,200.06,200.57,1321576.0,
2025-02-03,202.418,203.0,198.59,202.21,1789100.0,
2025-02-04,201.01,202.39,199.66,200.61,1452077.0,
2025-02-05,201.3,202.17,198.96,201.6,2009292.0,
2025-02-06,202.12,204.54,201.16,204.29,1343958.0,
2025-02-07,205.0,205.63,201.84,202.06,2114635.0,
2025-02-10,203.55,205.19,201.87,203.97,1530464.0,
2025-02-11,204.29,205.6655,202.41,205.4,1093615.0,
2025-02-12,203.31,205.54,202.135,204.61,1309096.0,
2025-02-13,205.18,206.84,204.92,205.99,1272975.0,
2025-02-14,206.0,207.22,204.2,204.22,1062603.0,
2025-02-18,202.72,204.01,201.62,203.74,1388110.0,
2025-02-19,204.36,208.66,204.21,208.14,2326370.0,
2025-02-20,206.9,207.215,204.63,205.93,1340292.0,
2025-02-21,205.93,206.33,203.62,204.43,2302597.0,
2025-02-24,204.62,206.4667,203.2,203.35,1613660.0,
2025-02-25,202.235,207.49,202.235,205.82,2205974.0,
2025-02-26,203.39,207.52,202.57,204.31,1519566.0,
2025-02-27,204.93,206.87,203.29,203.37,1688784.0,
2025-02-28,204.52,207.67,204.41,207.5,1839518.0,
2025-03-03,206.86,210.155,206.28,207.43,1685275.0,
2025-03-04,208.3,209.72,204.3535,204.56,1661992.0,
2025-03-05,202.3,206.65,202.26,205.29,1281754.0,
2025-03-06,203.8,203.8,198.4504,200.6,1947931.0,
2025-03-07,199.84,203.69,198.34,203.06,1805054.0,
2025-03-10,201.875,205.6499,199.715,200.61,1823966.0,
2025-03-11,201.45,201.57,195.71,196.56,1887604.0,
2025-03-12,197.09,197.6633,191.87,192.21,2339470.0,
2025-03-13,191.86,192.19,189.37,190.58,1609728.0,
2025-03-14,190.25,193.46,189.52,192.84,1509848.0,
2025-03-17,191.94,195.52,191.175,195.17,1532188.0,
2025-03-18,194.0,194.97,192.38,193.41,1656579.0,
2025-03-19,193.36,196.825,193.08,196.37,1470805.0,
2025-03-20,194.91,196.5,192.82,194.46,1583196.0,
2025-03-21,192.13,192.4,189.905,191.17,2574800.0,
2025-03-24,191.92,194.815,191.275,194.57,2049895.0,
2025-03-25,194.43,195.05,192.14,193.46,2092415.0,
2025-03-26,204.54,212.7,204.01,204.71,3688493.0,
2025-03-27,202.59,207.87,202.59,206.25,2324758.0,
2025-03-28,206.48,206.48,202.53,203.22,1685080.0,
2025-03-31,203.85,206.74,202.55,205.53,2595703.0,
2025-04-01,205.55,208.2,204.28,207.87,1637965.0,
2025-04-02,206.19,209.21,205.83,208.67,1613671.0,
2025-04-03,202.83,209.395,201.6,204.85,2244348.0,
2025-04-04,204.57,204.57,190.14,190.33,3969734.0,
2025-04-07,187.62,196.38,184.6144,190.54,5369356.0,
2025-04-08,194.38,195.72,188.4,190.11,3735056.0,
2025-04-09,188.36,205.1799,187.43,203.99,4053904.0,
2025-04-10,204.21,205.31,197.76,202.73,2869502.0,
2025-04-11,203.23,207.72,200.13,206.04,2116153.0,
2025-04-14,206.72,210.58,206.07,209.62,2183278.0,
2025-04-15,210.13,211.915,207.67,208.2,1843902.0,
2025-04-16,207.34,208.39,202.94,204.72,1967671.0,
2025-04-17,205.97,207.51,204.59,205.76,1712169.0,
2025-04-21,204.49,204.6,197.314,200.41,1405339.0,
2025-04-22,202.46,206.57,201.67,205.84,1565065.0,
2025-04-23,207.22,210.35,206.06,207.69,1786522.0,
2025-04-24,207.28,210.33,205.1113,209.75,1507105.0,
2025-04-25,209.43,209.91,206.32,208.4,1172851.0,
2025-04-28,208.23,209.0,205.78,208.28,1716181.0,
2025-04-29,207.15,209.545,206.73,209.26,1380396.0,
2025-04-30,208.37,212.0,205.595,211.68,2053655.0,
2025-05-01,210.33,210.88,206.78,209.55,1439760.0,
2025-05-02,211.3,214.1799,209.99,211.55,1373143.0,
2025-05-05,211.0,212.54,210.1,211.82,1069170.0,
2025-05-06,210.75,213.66,209.86,213.31,1351427.0,
