Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,75.2,76.62153,75.2,75.32,2985682.0,
2025-01-13,74.98,76.8,74.585,76.68,3192125.0,
2025-01-14,76.54,77.645,76.43,77.17,2940931.0,
2025-01-15,78.01,78.14,76.93,77.78,2119644.0,
2025-01-16,77.4,77.635,76.26,77.43,2995064.0,
2025-01-17,78.69,78.7,77.24,77.81,3580361.0,
2025-01-21,78.03,78.87,77.545,78.45,3385174.0,
2025-01-22,78.3,79.105,77.84,79.05,2562426.0,
2025-01-23,79.02,79.94,78.4201,79.68,2182568.0,
2025-01-24,79.5,80.38,79.41,80.05,1257359.0,
2025-01-27,79.5,81.335,79.36,81.12,3127750.0,
2025-01-28,80.75,81.37,80.04,80.96,2555672.0,
2025-01-29,81.05,81.69,80.77,81.19,1662775.0,
2025-01-30,82.0,83.47,81.79,82.76,4444109.0,
2025-01-31,82.84,83.40152,82.49,82.61,2647764.0,
2025-02-03,81.96,83.32,81.44,82.9,3389303.0,
2025-02-04,82.39,83.97,82.39,83.54,3640573.0,
2025-02-05,81.84,83.87,81.84,83.6,4785703.0,
2025-02-06,84.41,87.61,83.35,87.09,6345097.0,
2025-02-07,87.28,87.345,85.795,86.2,3909315.0,
2025-02-10,87.02,87.45,86.3101,86.96,4727723.0,
2025-02-11,86.79,88.055,86.56,87.87,3192571.0,
2025-02-12,86.93,88.4,86.88,88.08,2869763.0,
2025-02-13,88.3,89.63,87.765,89.58,2543236.0,
2025-02-14,89.84,90.82,89.34,90.7,4369977.0,
2025-02-18,89.854,90.0,88.04,88.77,7779098.0,
2025-02-19,88.25,88.515,87.54,88.43,2759363.0,
2025-02-20,88.125,88.125,86.94,87.54,2911176.0,
2025-02-21,87.54,87.54,84.74,84.87,6337016.0,
2025-02-24,85.45,85.45,84.41,84.55,8623641.0,
2025-02-25,84.335,85.1,83.88,84.84,3506863.0,
2025-02-26,84.6,85.17,83.93,84.15,2622312.0,
2025-02-27,84.2,84.9,83.92,83.99,4637229.0,
