Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,171.9,172.145,167.82,170.12,2716793,
2025-01-13,169.65,169.93,166.41,168.37,1863786,
2025-01-14,170.68,171.9,167.55,169.33,2262155,
2025-01-15,173.0,173.94,170.45,171.19,3129279,
2025-01-16,171.43,172.75,169.33,170.85,2008330,
2025-01-17,174.37,174.71,172.52,174.48,3654075,
2025-01-21,176.09,178.55,174.44,178.1,3148479,
2025-01-22,179.67,180.0,177.36,177.68,2231701,
2025-01-23,178.05,183.48,175.55,183.13,2784763,
2025-01-24,183.4576,184.26,181.82,183.32,2905958,
2025-01-27,178.43,183.18,176.11,182.48,2815730,
2025-01-28,182.48,185.38,178.26,184.49,2638698,
2025-01-29,184.91,186.785,184.01,185.78,2412143,
2025-01-30,187.425,189.2307,186.26,188.57,2090792,
2025-01-31,188.57,189.99,187.3,188.83,2136037,
2025-02-03,186.64,192.78,185.0,190.8,4234329,
2025-02-04,190.84,194.7,190.58,194.57,2563042,
2025-02-05,193.1,196.03,190.84,195.99,1992050,
2025-02-06,195.83,196.98,194.4001,196.45,1802774,
2025-02-07,197.14,199.17,195.2,195.54,2999415,
2025-02-10,198.69,198.69,192.39,192.63,4925241,
2025-02-11,190.92,194.0,189.5,193.09,6771888,
2025-02-12,198.0,201.17,195.1975,200.89,9989379,
2025-02-13,200.89,205.999,195.62,205.64,5576610,
2025-02-14,205.74,214.64,204.865,213.38,6885016,
2025-02-18,213.09,215.245,209.57,211.97,3968961,
2025-02-19,212.09,214.11,207.81,213.24,3243037,
2025-02-20,210.53,211.295,199.49,202.25,7023417,
2025-02-21,202.5,206.53,198.7,199.94,4096771,
2025-02-24,200.74,201.18,193.39,195.75,3367437,
2025-02-25,194.94,196.24,186.88,191.27,4077406,
2025-02-26,194.15,202.67,192.0,198.6,4484703,
2025-02-27,200.23,203.04,195.04,195.84,3622814,
2025-02-28,196.0,199.63,193.17,198.44,7875475,
2025-03-03,199.89,205.0,196.25,198.1,4440819,
2025-03-04,196.62,197.47,187.0189,193.41,5159259,
2025-03-05,193.52,195.94,191.02,195.08,2789603,
2025-03-06,190.62,192.52,178.65,180.11,5086724,
2025-03-07,179.17,182.96,169.43,178.08,7987440,
2025-03-10,182.49,182.91,169.87,177.86,15743456,
2025-03-11,176.31,185.81,175.95,183.73,9128312,
2025-03-12,187.765,189.97,180.28,187.7,9817035,
2025-03-13,188.425,189.265,178.07,178.29,7341294,
2025-03-14,180.55,186.2081,180.55,183.5,6090118,
2025-03-17,183.0,191.72,182.98,189.86,7357565,
2025-03-18,188.03,188.56,180.57,185.21,5747731,
2025-03-19,186.0,192.67,185.195,190.66,6218538,
2025-03-20,188.07,195.21,187.865,192.93,5600833,
2025-03-21,190.72,194.4,187.1967,190.62,73637391,
2025-03-24,192.81,199.56,188.5801,198.98,7042177,
2025-03-25,199.0,201.03,196.85,199.72,4524150,
2025-03-26,199.24,199.67,191.46,192.87,3855347,
2025-03-27,192.12,195.35,189.65,194.02,4410411,
2025-03-28,193.8,193.8,182.07,182.61,4557188,
2025-03-31,178.01,183.26,173.87,182.77,6074812,
2025-04-01,182.05,183.015,178.2601,182.42,3741082,
2025-04-02,180.11,192.69,179.49,189.25,5384750,
2025-04-03,179.5,182.12,173.35,173.99,7251909,
2025-04-04,165.65,170.225,162.56,163.16,6515506,
2025-04-07,156.13,175.99,155.4,166.3,7716263,
2025-04-08,173.385,176.275,163.3,165.75,4890545,
2025-04-09,164.39,190.44,164.375,188.58,8136270,
2025-04-10,184.07,184.84,172.63,178.52,4376118,
2025-04-11,178.52,180.7631,173.81,180.49,3451712,
2025-04-14,185.0,186.1836,179.415,181.85,3174882,
2025-04-15,181.33,185.69,180.5101,181.55,2744984,
2025-04-16,177.41,182.64,176.6,179.39,3806731,
2025-04-17,181.25,182.89,177.98,181.24,2496124,
2025-04-21,178.23,180.105,168.95,171.82,3666758,
2025-04-22,175.135,179.0,173.51,176.61,3329038,
2025-04-23,183.36,187.0,180.44,181.19,2589949,
2025-04-24,181.12,187.6,180.06,187.22,3327899,
2025-04-25,187.22,191.1,183.2,187.76,4515222,
2025-04-28,188.81,190.69,186.55,187.88,3083900,
2025-04-29,186.15,191.8529,185.85,191.23,2853494,
2025-04-30,186.19,193.3,183.755,192.89,3169881,
2025-05-01,194.405,197.75,192.6629,196.2,4151610,
2025-05-02,200.07,205.89,199.43,205.09,4256469,
2025-05-05,203.215,207.23,201.05,205.4,5617470,
2025-05-06,193.75,195.415,185.25,190.11,9580786,
2025-05-07,189.76,190.09,175.5,176.99,8627906,
2025-05-08,180.4607,183.7525,178.36,182.96,4158763,
2025-05-09,183.19,185.59,180.58,183.52,3423236,
2025-05-12,191.61,192.8299,185.9001,192.1,4918097,
