Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,139.37,140.7,137.62,140.42,2646204,
2025-01-13,139.22,139.94,136.71,138.0,4413704,
2025-01-14,139.5,141.05,138.02,139.16,3414137,
2025-01-15,142.06,144.48,140.73,140.95,3441204,
2025-01-16,137.505,138.8,134.7153,136.79,5913520,
2025-01-17,139.42,140.86,137.92,138.4,3469056,
2025-01-21,139.315,140.8,137.54,138.4,3347586,
2025-01-22,139.99,140.4,138.59,140.12,3870564,
2025-01-23,142.3,144.165,139.4101,140.2,3806382,
2025-01-24,141.78,142.815,139.85,140.99,2885274,
2025-01-27,137.5,146.58,136.87,142.16,5517601,
2025-01-28,143.4,153.42,143.4,151.89,7940415,
2025-01-29,147.895,148.5969,141.96,145.72,7978201,
2025-01-30,141.5,143.15,138.6,142.61,6026006,
2025-01-31,145.74,146.01,141.82,142.71,4950707,
2025-02-03,140.802,144.41,140.24,143.155,5124807,
2025-02-04,143.0,146.47,142.86,145.83,3290096,
2025-02-05,144.55,144.92,140.3,144.85,4837301,
2025-02-06,146.0,146.05,143.5,144.85,3568616,
2025-02-07,145.01,145.77,141.85,142.65,4475129,
2025-02-10,144.43,147.8199,143.65,147.1,4916244,
2025-02-11,146.38,148.47,145.0,145.42,3402210,
2025-02-12,146.29,149.01,144.2,148.09,6977332,
2025-02-13,136.55,136.71,130.88,135.89,20141609,
2025-02-14,133.61,135.81,129.69,131.01,8664004,
2025-02-18,128.31,130.86,127.23,130.63,8969753,
2025-02-19,130.52,130.9,128.15,128.85,4405342,
2025-02-20,127.93,128.85,124.33,126.24,6105817,
2025-02-21,126.18,126.64,119.59,119.64,6983814,
2025-02-24,119.64,119.8,114.621,117.55,7269869,
2025-02-25,116.53,117.29,113.456,114.98,7560919,
2025-02-26,115.84,117.63,112.85,113.37,6581213,
2025-02-27,116.785,118.0,113.31,113.53,5101790,
2025-02-28,112.62,116.64,111.68,116.55,5046336,
2025-03-03,116.97,117.3099,112.59,113.17,4207774,
2025-03-04,111.73,116.58,110.3725,115.46,5788086,
2025-03-05,115.49,115.5,112.83,115.09,3411105,
2025-03-06,111.0,115.23,110.91,111.46,5304794,
2025-03-07,110.88,113.46,106.66,109.63,6028386,
2025-03-10,107.38,107.59,100.85,101.65,9445394,
2025-03-11,101.53,103.535,101.01,101.96,7558035,
2025-03-12,104.42,104.71,101.05,102.03,6870257,
2025-03-13,100.71,102.14,98.3,98.68,5113308,
2025-03-14,99.58,101.98,98.81,101.8,4010734,
2025-03-17,101.59,105.11,101.46,103.97,4033785,
2025-03-18,103.24,103.4,100.71,102.93,2995201,
2025-03-19,103.11,104.98,102.28,104.43,3147833,
2025-03-20,103.98,105.0,103.0801,103.17,4912416,
2025-03-21,101.25,105.56,100.63,105.03,4944694,
2025-03-24,107.2,110.79,106.91,110.17,4385072,
2025-03-25,110.25,112.35,110.03,110.58,3666270,
2025-03-26,110.4,110.63,107.05,107.97,2260253,
2025-03-27,107.55,107.55,104.735,104.85,2699214,
2025-03-28,103.59,103.8406,100.15,101.1,3795316,
2025-03-31,99.26,99.7,96.63,99.21,4031383,
2025-04-01,100.19,101.43,98.51,101.06,4186387,
2025-04-02,98.15,102.84,98.0,101.71,3801854,
2025-04-03,96.44,97.95,93.15,94.47,5753322,
2025-04-04,90.91,92.174,86.57,87.93,7712213,
2025-04-07,83.28,91.79,81.63,88.2,9014286,
2025-04-08,91.0,92.5,85.74,87.0,7376677,
2025-04-09,87.0,98.69,86.1414,97.44,7979481,
2025-04-10,95.0,95.475,91.3,93.18,6108614,
2025-04-11,94.0,94.2,90.65,92.02,5661829,
2025-04-14,94.1,95.88,90.5,91.88,6111529,
2025-04-15,91.74,93.43,91.475,92.55,3824432,
2025-04-16,91.26,93.5076,90.76,91.88,3467830,
2025-04-17,91.51,92.05,90.06,91.18,3477932,
2025-04-21,90.185,90.63,87.695,88.92,4701352,
2025-04-22,90.5,92.11,89.74,91.42,4397999,
2025-04-23,95.24,97.26,93.92,94.58,5871037,
2025-04-24,94.9,99.73,94.9,99.6,4943026,
2025-04-25,99.11,101.67,99.11,101.52,3025711,
2025-04-28,101.4,102.04,100.3,101.74,2730691,
2025-04-29,101.94,102.86,101.05,102.31,2616290,
2025-04-30,100.065,102.29,99.27,102.16,3566677,
2025-05-01,106.66,106.8,103.5,106.32,7760572,
2025-05-02,107.12,108.13,104.8,105.0,5147524,
2025-05-05,104.52,106.84,104.05,105.7,7473486,
2025-05-06,104.67,108.45,101.06,106.06,13052954,
2025-05-07,105.71,108.0,104.28,106.02,5926287,
2025-05-08,107.375,110.18,106.38,109.22,5469557,
2025-05-09,110.12,110.45,106.8418,107.88,3603893,
2025-05-12,112.13,113.52,111.03,113.42,4174720,
2025-05-13,113.49,118.08,113.395,117.31,6364383,
2025-05-14,118.04,119.36,117.08,119.09,6332122,
2025-05-15,117.805,118.5,115.94,117.14,4196849,
2025-05-16,117.92,118.51,116.52,117.67,3143153,
2025-05-19,115.29,116.98,114.73,116.46,4864820,
2025-05-20,115.37,116.34,114.66,116.29,2995534,
2025-05-21,114.93,116.08,113.55,113.69,3701950,
2025-05-22,114.175,117.1289,114.02,115.67,3671877,
2025-05-23,113.61,115.58,113.3,114.46,2888753,
2025-05-27,116.435,118.04,115.215,117.6,3317831,
2025-05-28,117.61,118.7165,116.06,116.3,2518560,
2025-05-29,116.64,118.24,115.62,117.0,3556179,
2025-05-30,116.31,118.2,115.18,117.88,7310515,
2025-06-02,117.43,118.35,114.74,117.74,4103660,
2025-06-03,117.37,119.09,116.12,118.66,3884777,
2025-06-04,119.225,121.39,118.99,119.7,6012245,
2025-06-05,121.19,123.77,120.5801,121.75,5307804,
2025-06-06,122.64,123.15,121.54,122.16,4539401,
2025-06-09,122.39,122.89,118.77,121.17,4810659,
2025-06-10,122.43,123.78,119.52,119.91,5769364,
2025-06-11,119.99,120.58,118.14,118.63,3480810,
2025-06-12,120.11,123.69,120.0,122.68,4963517,
2025-06-13,120.54,123.16,119.81,120.45,4029365,
2025-06-16,120.86,122.395,120.86,121.93,3304895,
2025-06-17,120.97,125.32,119.5601,124.84,5518412,
2025-06-18,125.0,130.49,124.88,130.04,7582447,
2025-06-20,131.06,131.7645,127.05,127.5,5224301,
2025-06-23,127.12,129.93,125.5,129.52,4531498,
2025-06-24,131.16,131.625,129.8945,130.83,3000083,
2025-06-25,131.16,132.69,129.88,130.24,3782811,
2025-06-26,131.35,132.51,128.99,131.12,3884841,
2025-06-27,131.74,133.22,130.71,132.08,4557102,
2025-06-30,133.37,135.41,132.96,134.33,3615046,
2025-07-01,133.66,135.5,130.28,132.33,4164023,
2025-07-02,131.5,135.39,131.0,135.01,4959225,
2025-07-03,147.45,156.53,146.91,155.15,29996674,
2025-07-07,155.0,157.3751,151.65,152.41,16225053,
2025-07-08,146.06,147.85,142.74,145.94,86386002,
2025-07-09,145.4,146.07,141.93,142.75,9054559,
2025-07-10,142.851,143.0,136.81,137.49,9708792,
2025-07-11,137.49,139.62,137.1,137.37,6324160,
2025-07-14,136.01,141.0,135.8392,138.8,6486645,
2025-07-15,139.09,141.94,139.0,140.56,4952150,
2025-07-16,139.5,140.24,137.86,139.36,4045976,
2025-07-17,139.85,144.32,139.815,143.15,5309842,
2025-07-18,143.29,145.67,142.67,145.02,3609942,
2025-07-21,145.42,146.12,143.64,145.27,3683654,
2025-07-22,144.74,145.9,142.77,144.89,3694000,
2025-07-23,145.18,145.23,141.75,144.0,3448476,
