Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,38.05,38.48,37.29,37.3,7691767.0,
2025-01-13,37.56,37.735,37.125,37.56,5922955.0,
2025-01-14,37.63,38.075,37.32,37.92,6747029.0,
2025-01-15,38.3,38.58,37.895,38.02,5659482.0,
2025-01-16,37.96,39.37,37.9,39.34,5591867.0,
2025-01-17,39.605,39.66,39.185,39.42,6140601.0,
2025-01-21,39.95,40.665,39.82,40.44,5610434.0,
2025-01-22,40.22,40.35,39.16,39.22,7661265.0,
2025-01-23,39.39,39.569,39.06,39.24,5944683.0,
2025-01-24,39.2,39.49,38.85,39.38,5362923.0,
2025-01-27,39.8,40.855,39.65,40.7,12159408.0,
2025-01-28,40.77,40.77,39.71,39.81,9471928.0,
2025-01-29,39.78,40.15,39.465,39.57,5796648.0,
2025-01-30,39.9,40.25,39.825,40.02,5755789.0,
2025-01-31,40.0,40.23,39.89,40.0,7144082.0,
2025-02-03,39.83,40.755,39.67,40.57,7638500.0,
2025-02-04,40.3,40.68,39.85,40.54,5255514.0,
2025-02-05,40.67,41.255,40.65,41.04,5585314.0,
2025-02-06,41.17,41.24,40.75,41.12,5674444.0,
2025-02-07,41.02,41.47,40.98,41.31,5794144.0,
2025-02-10,41.44,41.88,41.13,41.8,7279338.0,
2025-02-11,41.65,42.455,41.47,42.36,8935766.0,
2025-02-12,40.875,43.09,40.81,42.89,10308125.0,
2025-02-13,42.87,43.45,42.54,42.97,7562517.0,
2025-02-14,42.95,43.15,42.735,42.85,8593044.0,
2025-02-18,42.87,42.87,42.38,42.7,11062922.0,
2025-02-19,42.64,42.78,42.205,42.65,7994011.0,
2025-02-20,42.49,43.225,42.46,43.17,6945051.0,
2025-02-21,43.195,43.69,43.06,43.39,13604687.0,
2025-02-24,43.31,44.01,43.083,43.35,8053403.0,
2025-02-25,43.56,44.24,43.36,44.04,8813520.0,
2025-02-26,43.965,44.255,43.644,44.06,11508585.0,
2025-02-27,43.89,44.32,43.65,43.79,6560800.0,
2025-02-28,44.23,44.46,43.72,44.2,12319568.0,
2025-03-03,44.05,44.62,44.0,44.55,7793146.0,
2025-03-04,44.85,45.195,43.635,43.68,9783875.0,
2025-03-05,43.41,43.82,43.22,43.36,6838866.0,
2025-03-06,43.37,43.38,42.62,42.88,6291516.0,
2025-03-07,42.76,43.405,42.7,43.11,6670176.0,
2025-03-10,43.31,44.3,43.25,43.76,8806150.0,
