Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,174.89,177.26,171.7,174.77,2725496.0,
2025-01-13,176.07,180.09,175.71,177.61,3038513.0,
2025-01-14,177.0,178.8734,175.685,177.68,1734373.0,
2025-01-15,178.49,180.25,177.68,179.56,1669856.0,
2025-01-16,178.62,180.17,177.65,179.12,1377846.0,
2025-01-17,180.36,180.9084,178.53,180.18,1812047.0,
2025-01-21,178.44,178.73,175.77,176.95,2151539.0,
2025-01-22,176.23,179.6484,174.97,177.59,1608631.0,
2025-01-23,179.08,180.29,175.832,176.63,1888683.0,
2025-01-24,177.16,177.694,172.51,173.26,1940401.0,
2025-01-27,173.66,175.6899,170.21,171.6,1773148.0,
2025-01-28,171.45,173.46,167.16,169.25,1731472.0,
2025-01-29,168.99,171.58,167.72,170.86,1316335.0,
2025-01-30,172.32,173.015,169.44,170.41,1284486.0,
2025-01-31,169.53,169.87,163.94,164.36,2917910.0,
2025-02-03,165.18,165.9815,161.59,164.48,2217691.0,
2025-02-04,163.84,167.59,160.57,166.3,1991656.0,
2025-02-05,165.9,165.9,161.515,164.76,1985523.0,
2025-02-06,166.24,166.405,158.99,160.03,2122271.0,
2025-02-07,160.66,161.0,157.9,158.13,1974276.0,
2025-02-10,159.69,161.75,159.325,161.66,1697545.0,
2025-02-11,162.9,164.64,161.7,162.01,1722415.0,
2025-02-12,161.19,161.31,155.14,155.46,2391444.0,
2025-02-13,155.46,157.15,154.29,156.17,2256918.0,
2025-02-14,156.88,160.58,153.26,156.99,3074005.0,
2025-02-18,161.19,161.59,154.38,156.76,2500232.0,
2025-02-19,158.83,162.39,158.52,160.26,2086288.0,
2025-02-20,160.3,162.84,159.46,162.09,2352500.0,
2025-02-21,160.89,161.48,155.59,156.12,3936423.0,
2025-02-24,156.12,156.8,155.03,155.11,3883428.0,
2025-02-25,157.21,161.47,151.69,151.92,4696081.0,
2025-02-26,151.83,154.0,151.0,152.43,3302171.0,
2025-02-27,155.62,156.98,151.74,155.59,3137217.0,
2025-02-28,155.01,159.41,152.61,158.96,3361366.0,
2025-03-03,159.96,160.44,147.7,148.0,3495001.0,
2025-03-04,145.99,147.53,140.81,145.04,5029933.0,
2025-03-05,143.42,143.76,139.57,142.7,3759226.0,
2025-03-06,141.13,142.44,138.9396,139.9,3351736.0,
2025-03-07,140.8,144.15,139.51,140.11,2814035.0,
2025-03-10,139.75,141.94,137.09,140.58,3438433.0,
2025-03-11,141.87,146.0,141.25,144.65,2319291.0,
2025-03-12,144.47,148.36,143.25,146.55,2410995.0,
2025-03-13,145.31,146.91,142.6,145.8,2641928.0,
2025-03-14,146.52,151.02,145.22,150.2,2738976.0,
2025-03-17,150.8,153.98,150.25,153.03,1979878.0,
2025-03-18,153.99,155.02,152.1179,155.0,2352915.0,
2025-03-19,155.33,158.57,155.2,157.6,2974529.0,
2025-03-20,156.83,159.25,155.955,158.48,2048859.0,
2025-03-21,156.8,158.73,156.16,158.5,7798483.0,
2025-03-24,158.85,161.44,158.55,161.01,2042539.0,
2025-03-25,162.0,163.26,160.57,161.6,2324125.0,
2025-03-26,162.835,165.13,162.34,163.09,2373987.0,
2025-03-27,162.64,163.21,159.64,160.23,1468078.0,
2025-03-28,159.93,160.96,155.85,157.54,1635775.0,
2025-03-31,157.63,161.6,156.8,159.88,2068991.0,
2025-04-01,160.24,161.14,157.85,160.87,1456131.0,
2025-04-02,159.04,161.775,158.26,161.49,1394949.0,
2025-04-03,151.055,153.02,141.105,141.28,5414228.0,
2025-04-04,134.05,135.821,123.15,123.37,5425104.0,
2025-04-07,120.855,129.25,117.03,124.53,5480192.0,
2025-04-08,129.25,129.65,117.41,119.25,3368679.0,
2025-04-09,115.825,137.35,114.0,134.93,5370818.0,
2025-04-10,129.25,130.025,119.65,123.16,4367649.0,
2025-04-11,123.09,129.03,121.03,129.01,3928692.0,
2025-04-14,131.805,132.96,125.87,127.64,2523736.0,
2025-04-15,126.69,130.0191,126.69,127.14,1690735.0,
2025-04-16,127.73,132.58,127.71,130.22,2047402.0,
2025-04-17,132.58,139.2247,132.58,137.64,3667402.0,
2025-04-21,134.18,134.35,130.325,132.35,2180288.0,
2025-04-22,135.115,137.9699,134.38,136.54,1731904.0,
2025-04-23,137.79,140.0,134.3901,135.54,2130424.0,
2025-04-24,136.94,137.81,135.11,136.16,2054466.0,
2025-04-25,135.11,137.25,134.85,136.76,1608658.0,
2025-04-28,136.41,138.6,136.24,137.82,1664772.0,
2025-04-29,137.81,138.005,135.3443,136.65,1665530.0,
2025-04-30,134.44,134.6,130.51,132.01,1980001.0,
2025-05-01,131.31,136.4,130.9,134.83,2158108.0,
2025-05-02,136.56,137.85,133.825,136.81,2367967.0,
2025-05-05,134.0,135.06,132.05,133.08,2865786.0,
