Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,95.44,95.67,94.15,94.56,4019444,
2025-01-13,93.97,94.35,92.635,93.83,4148804,
2025-01-14,92.57,93.33,90.8,92.49,5432787,
2025-01-15,93.8848,94.16,92.76,93.06,4847014,
2025-01-16,93.92,94.845,93.41,94.05,2907881,
2025-01-17,96.088,96.088,93.88,94.23,4917013,
2025-01-21,95.65,97.28,94.82,97.2,3850121,
2025-01-22,98.0,98.34,96.5904,98.24,3542403,
2025-01-23,97.65,98.0733,95.94,97.45,3704679,
2025-01-24,97.565,97.565,96.1061,96.9,4139757,
2025-01-27,94.91,98.325,94.1,96.77,4245462,
2025-01-28,96.53,100.38,95.55,99.83,4380145,
2025-01-29,99.92,100.2128,98.2007,99.33,3124468,
2025-01-30,100.41,102.17,100.02,100.93,4168508,
2025-01-31,101.14,102.87,100.47,100.88,4091904,
2025-02-03,98.87,101.41,98.12,100.9,4943874,
2025-02-04,100.995,102.83,100.7,102.78,3899980,
2025-02-05,103.15,105.12,101.85,105.07,4166000,
2025-02-06,105.4,105.82,103.96,104.72,6937744,
2025-02-07,109.485,110.53,102.37,107.66,11183600,
2025-02-10,108.645,110.99,107.45,109.55,5111336,
2025-02-11,109.495,110.33,107.81,108.33,4430075,
2025-02-12,107.03,107.8,104.27,107.7,4412569,
2025-02-13,108.99,110.03,107.61,109.98,3601424,
2025-02-14,110.27,112.37,108.72,111.64,4981071,
2025-02-18,112.7,114.82,112.46,114.26,6666597,
2025-02-19,114.11,114.63,111.88,114.57,4912081,
2025-02-20,113.8,114.53,110.83,114.21,6895570,
2025-02-21,113.955,114.57,109.93,110.02,5172149,
2025-02-24,109.315,110.02,107.33,108.68,5413911,
2025-02-25,108.08,108.57,105.78,108.06,4429592,
2025-02-26,108.46,110.29,107.83,109.02,3799699,
2025-02-27,109.975,111.31,107.0,107.09,4305503,
2025-02-28,106.98,108.2578,105.895,108.01,5126325,
2025-03-03,108.82,110.67,106.04,106.54,5292011,
2025-03-04,106.81,107.71,103.93,106.48,5442955,
2025-03-05,105.38,107.5,103.72,106.8,4953847,
2025-03-06,105.65,106.68,101.5,101.72,4443066,
2025-03-07,102.0,102.35,98.05,101.28,5560859,
2025-03-10,99.32,99.535,95.718,96.04,5573562,
2025-03-11,96.49,99.935,95.5,98.28,6312047,
2025-03-12,99.53,100.845,97.61,97.93,4301645,
2025-03-13,97.4,97.5,93.2725,93.42,4262027,
2025-03-14,94.64,96.69,94.0,96.25,3973295,
2025-03-17,95.74,97.49,95.58,96.67,4146483,
2025-03-18,96.08,97.29,94.81,96.91,3481690,
2025-03-19,97.325,99.18,97.06,98.17,4320845,
2025-03-20,97.14,99.59,97.1115,98.45,4249341,
2025-03-21,97.32,98.73,95.94,98.65,5778703,
2025-03-24,100.0,100.29,98.81,99.79,4047407,
2025-03-25,99.72,102.22,99.545,102.09,3423625,
2025-03-26,101.62,102.34,100.415,101.01,2998346,
2025-03-27,100.26,100.97,98.99,99.54,3358252,
2025-03-28,99.07,99.48,95.37,96.6,4501167,
2025-03-31,94.46,96.97,93.26,96.26,6285879,
2025-04-01,95.22,96.83,94.54,96.67,4108994,
2025-04-02,95.084,98.4,95.0,98.08,3438317,
2025-04-03,92.76,93.48,89.33,89.44,8699053,
