Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,204.11,204.139,200.686,202.459,3863744.0,
2025-01-13,201.976,212.461,201.744,203.302,5811320.0,
2025-01-14,204.453,204.61,199.128,202.746,4334319.0,
2025-01-15,203.934,204.629,200.603,203.711,5008919.0,
2025-01-16,204.139,208.341,204.067,206.634,4970092.0,
2025-01-17,210.484,210.513,206.263,206.532,3609481.0,
2025-01-21,207.265,211.31,207.098,208.842,5018433.0,
2025-01-22,207.85,208.351,206.587,207.005,3203492.0,
2025-01-23,207.338,209.77,206.689,209.389,3272793.0,
2025-01-24,208.778,210.772,205.326,205.539,6824997.0,
2025-01-27,204.369,209.584,204.23,209.436,3352764.0,
2025-01-28,208.517,208.517,204.296,204.787,3879183.0,
2025-01-29,205.019,206.737,204.741,205.112,2065168.0,
2025-01-30,206.04,208.499,205.604,207.905,1954342.0,
2025-01-31,206.782,209.659,206.499,207.59,2674661.0,
2025-02-03,206.458,207.2,203.825,206.373,3470818.0,
2025-02-04,208.379,209.427,207.024,207.432,3710424.0,
2025-02-05,207.432,208.039,203.441,206.318,4954128.0,
2025-02-06,199.499,199.721,191.314,194.692,13132121.0,
2025-02-07,196.714,198.014,190.567,190.702,7216928.0,
2025-02-10,191.658,194.075,190.293,193.486,7143244.0,
2025-02-11,191.677,194.246,190.943,192.019,3316647.0,
2025-02-12,190.762,191.416,189.524,190.228,3678441.0,
2025-02-13,191.62,192.353,189.857,190.469,3645227.0,
2025-02-14,190.052,190.349,187.009,188.131,5767238.0,
2025-02-18,189.677,193.365,188.16,193.04,5278465.0,
2025-02-19,192.937,196.436,192.928,195.611,5458130.0,
2025-02-20,194.479,196.25,193.809,196.111,3918518.0,
2025-02-21,195.935,197.179,194.302,196.659,6705602.0,
2025-02-24,196.491,199.675,194.599,194.803,7266046.0,
2025-02-25,195.925,198.404,195.806,196.714,4093576.0,
2025-02-26,195.63,197.374,194.629,196.093,3369902.0,
2025-02-27,196.52,199.391,196.362,196.965,2969486.0,
2025-02-28,198.691,199.418,196.452,198.597,4262839.0,
2025-03-03,199.372,201.549,196.862,197.786,5717310.0,
2025-03-04,197.487,198.261,193.877,194.035,7462838.0,
2025-03-05,194.035,196.302,192.907,195.546,5676933.0,
2025-03-06,194.912,197.524,193.947,197.076,5405645.0,
2025-03-07,197.067,200.902,196.638,200.119,6091712.0,
2025-03-10,199.904,203.806,199.241,199.465,4477707.0,
2025-03-11,199.157,199.399,193.029,194.586,5620849.0,
2025-03-12,193.187,193.84,190.984,192.496,4087072.0,
2025-03-13,191.853,193.942,191.34,192.814,3785084.0,
2025-03-14,194.474,196.974,193.933,195.407,4164157.0,
2025-03-17,194.446,196.937,193.779,196.293,4732911.0,
2025-03-18,196.284,197.31,194.81,195.658,4085691.0,
2025-03-19,196.172,197.879,194.325,194.642,6869542.0,
2025-03-20,193.653,197.458,193.378,196.731,3841166.0,
2025-03-21,195.09,197.254,194.763,196.014,7016183.0,
2025-03-24,197.431,198.401,196.368,197.627,4553952.0,
2025-03-25,196.918,198.709,196.153,197.879,4084620.0,
2025-03-26,198.448,202.585,198.336,198.811,5629354.0,
2025-03-27,198.793,200.761,198.019,199.791,3842320.0,
2025-03-28,199.885,200.473,195.868,196.219,3487561.0,
2025-03-31,196.676,198.178,195.677,197.534,4253907.0,
2025-04-01,196.937,199.288,195.603,199.12,2748325.0,
2025-04-02,198.223,201.881,198.07,201.489,3670345.0,
2025-04-03,199.25,201.769,192.48,192.804,6979271.0,
2025-04-04,189.605,190.892,177.907,178.167,9053522.0,
2025-04-07,178.0,183.055,171.078,174.874,10025280.0,
2025-04-08,175.602,178.335,168.69,170.583,7452331.0,
2025-04-09,168.382,186.367,167.318,185.732,9799189.0,
2025-04-10,183.765,186.152,176.124,180.406,6240669.0,
2025-04-11,179.838,186.022,178.736,185.22,5470183.0,
2025-04-14,185.659,187.842,184.894,186.806,4815482.0,
2025-04-15,187.347,188.775,185.071,185.463,3236824.0,
2025-04-16,184.24,185.257,179.585,180.304,4426512.0,
2025-04-17,182.142,185.014,181.885,183.401,3446988.0,
2025-04-21,181.889,182.655,179.221,181.19,5304781.0,
2025-04-22,182.71,186.247,182.29,185.052,4659521.0,
2025-04-23,186.228,187.767,183.606,184.063,4457156.0,
2025-04-24,184.082,188.06,183.065,187.264,3472887.0,
2025-04-25,185.826,187.113,184.511,185.789,3901325.0,
2025-04-28,186.171,188.178,184.698,187.188,6100156.0,
2025-04-29,193.522,198.169,192.972,197.291,9373922.0,
2025-04-30,196.946,197.45,191.974,196.368,5394137.0,
2025-05-01,196.274,197.329,195.687,196.592,3850083.0,
2025-05-02,197.935,200.51,197.782,199.754,4693802.0,
2025-05-05,198.766,201.07,198.205,199.866,6737541.0,
2025-05-06,198.443,198.968,195.421,195.837,5498589.0,
2025-05-07,199.54,202.217,198.821,200.201,4646081.0,
2025-05-08,201.219,202.114,199.427,200.136,4182666.0,
2025-05-09,200.136,200.449,198.392,198.728,2566729.0,
2025-05-12,203.365,204.727,201.993,204.614,4322754.0,
2025-05-13,205.005,205.575,203.42,203.57,4136022.0,
2025-05-14,201.844,203.551,201.33,202.6,3467812.0,
2025-05-15,203.084,208.01,203.084,207.366,4430651.0,
2025-05-16,208.434,209.082,206.862,208.979,3088608.0,
2025-05-19,207.788,211.06,206.86,210.91,3642388.0,
2025-05-20,209.335,211.21,209.335,211.023,3555657.0,
2025-05-21,210.432,210.928,207.694,208.031,3851660.0,
2025-05-22,207.582,210.994,207.394,209.682,3109418.0,
2025-05-23,207.047,209.091,207.047,208.182,2706316.0,
2025-05-27,210.422,212.617,208.463,212.335,3296638.0,
2025-05-28,212.335,213.674,210.197,210.601,2754453.0,
2025-05-29,211.473,211.82,209.316,211.144,7188853.0,
2025-05-30,212.513,212.86,209.808,212.532,8851657.0,
2025-06-02,210.966,211.848,209.119,211.454,2700152.0,
2025-06-03,210.966,213.047,210.957,212.626,2996284.0,
2025-06-04,213.292,214.501,212.082,213.263,1954648.0,
2025-06-05,213.282,213.704,212.017,212.532,3466331.0,
2025-06-06,214.478,216.095,213.92,214.511,2363266.0,
2025-06-09,214.426,214.435,212.401,212.964,2731860.0,
2025-06-10,212.954,213.413,211.651,212.148,2842862.0,
2025-06-11,211.829,212.654,207.827,211.735,2659530.0,
2025-06-12,210.994,212.57,209.813,211.951,1705629.0,
2025-06-13,210.873,212.026,209.569,210.301,2663181.0,
2025-06-16,211.5,212.279,209.588,210.113,2601213.0,
2025-06-17,209.654,210.145,207.665,207.957,3312258.0,
2025-06-18,208.303,209.644,207.111,208.031,3837951.0,
2025-06-20,209.457,209.466,206.466,207.966,6265895.0,
2025-06-23,209.391,210.966,207.905,210.722,2751757.0,
2025-06-24,211.519,212.007,209.701,210.591,3822325.0,
2025-06-25,210.666,210.666,207.356,207.957,3203840.0,
2025-06-26,208.922,212.359,208.275,212.26,2804809.0,
2025-06-27,212.063,214.679,211.707,214.576,5326769.0,
2025-06-30,214.576,218.992,214.079,218.355,4331290.0,
2025-07-01,219.011,223.98,218.647,223.877,4182486.0,
2025-07-02,223.305,225.518,222.138,224.337,4376252.0,
2025-07-03,224.928,226.25,224.459,225.406,2029790.0,
2025-07-07,224.909,225.875,223.099,224.421,2890902.0,
2025-07-08,224.351,226.578,224.121,224.843,2952154.0,
2025-07-09,225.687,226.644,221.955,223.83,2322000.0,
2025-07-10,222.987,224.445,221.758,222.002,2415173.0,
2025-07-11,219.751,221.327,219.405,221.215,2578315.0,
2025-07-14,221.749,223.887,219.995,223.211,3105074.0,
2025-07-15,222.396,222.79,220.52,220.624,2511925.0,
2025-07-16,220.774,222.218,218.477,222.105,3012548.0,
2025-07-17,221.853,223.802,221.44,223.502,2673501.0,
2025-07-18,224.768,224.768,220.567,221.787,3854375.0,
2025-07-21,221.787,223.483,220.511,220.549,3086726.0,
2025-07-22,220.474,222.283,219.715,221.824,3635826.0,
2025-07-23,222.781,225.508,222.433,224.347,4083768.0,
2025-07-24,212.017,216.208,209.841,210.479,11938930.0,
2025-07-25,212.204,212.466,208.425,210.254,6366133.0,
2025-07-28,211.084,213.545,210.704,211.041,5143922.0,
2025-07-29,211.613,211.904,207.441,207.891,4014951.0,
2025-07-30,208.519,210.394,207.422,208.303,5061790.0,
2025-07-31,207.741,209.775,207.497,208.481,3257961.0,
2025-08-01,207.558,207.812,203.615,204.131,4230860.0,
2025-08-04,204.703,207.038,204.215,207.019,3681952.0,
2025-08-05,206.296,207.563,205.819,207.272,2644799.0,
2025-08-06,207.826,208.059,205.34,205.556,2978702.0,
2025-08-07,206.54,206.756,202.162,203.071,3095558.0,
2025-08-08,203.249,204.122,202.528,202.819,3263216.0,
2025-08-11,202.819,203.076,200.84,202.95,2571743.0,
2025-08-12,203.128,203.728,202.105,203.474,4640038.0,
2025-08-13,203.807,206.222,203.662,206.035,3869430.0,
2025-08-14,205.425,205.425,203.728,204.59,3170088.0,
2025-08-15,205.485,205.485,203.374,204.307,2908430.0,
2025-08-18,204.27,204.906,203.506,203.959,4364290.0,
2025-08-19,203.827,205.627,203.082,204.279,2521682.0,
2025-08-20,204.581,206.894,203.789,204.524,4309210.0,
2025-08-21,204.043,205.25,202.639,204.92,2851367.0,
2025-08-22,206.937,210.254,206.107,210.019,3483070.0,
2025-08-25,208.992,209.632,207.823,207.926,2394837.0,
