Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,63.62,65.85,61.5,65.25,3087759,
2025-01-13,64.52,69.41,63.73,68.93,2399379,
2025-01-14,68.72,70.22,67.4,68.29,2871812,
2025-01-15,70.0,71.37,68.78,70.2,2540704,
2025-01-16,69.91,73.22,69.04,72.75,2414824,
2025-01-17,73.5,73.625,71.5,72.51,1695915,
2025-01-21,72.92,77.16,72.85,76.75,2963904,
2025-01-22,77.37,78.55,76.78,78.45,1701187,
2025-01-23,77.96,79.73,77.53,77.84,1878847,
2025-01-24,77.61,79.075,76.6,78.48,959045,
2025-01-27,77.2,78.69,76.46,77.63,1685772,
2025-01-28,78.14,79.24,77.08,78.46,2064247,
2025-01-29,78.11,78.665,77.05,78.0,1012429,
2025-01-30,78.8,80.63,75.57,76.29,2413854,
2025-01-31,76.74,78.855,75.94,76.58,2112808,
2025-02-03,74.86,78.84,74.4704,77.88,1337950,
2025-02-04,77.49,81.25,77.49,81.01,1762420,
2025-02-05,81.01,81.955,79.78,81.445,1610299,
2025-02-06,80.9,82.04,80.48,80.78,2494340,
2025-02-07,81.33,81.33,78.94,79.95,1690522,
2025-02-10,79.97,80.11,76.68,78.12,1623136,
2025-02-11,78.87,80.01,78.06,79.89,1458005,
2025-02-12,78.57,80.28,78.53,79.6,1389772,
2025-02-13,79.69,79.69,77.22,78.67,1835596,
2025-02-14,78.485,79.41,77.8325,79.31,1167422,
2025-02-18,79.828,82.04,78.75,81.36,2542188,
2025-02-19,81.3,83.89,80.07,83.83,2283637,
2025-02-20,80.1,84.2783,79.5,83.61,2291314,
2025-02-21,84.46,84.91,80.43,81.06,2722240,
2025-02-24,81.5,83.69,79.98,80.03,1557278,
2025-02-25,81.28,81.67,76.2,77.5,2626276,
2025-02-26,78.67,79.88,77.05,78.1,1095778,
2025-02-27,78.32,81.11,77.995,79.05,2644672,
2025-02-28,79.39,81.62,79.3,81.55,1650450,
2025-03-03,80.9,81.55,75.84,76.29,2505304,
2025-03-04,75.46,78.41,74.67,77.21,4652717,
2025-03-05,77.0,78.255,76.395,77.55,1214803,
2025-03-06,76.64,77.83,74.67,75.02,1442421,
2025-03-07,75.75,76.17,73.07,74.89,1516265,
2025-03-10,74.28,74.69,71.57,73.07,1994714,
2025-03-11,73.36,74.71,71.75,73.7,2016470,
2025-03-12,74.78,76.31,73.96,74.04,1474360,
2025-03-13,73.75,75.56,73.01,75.07,1186568,
2025-03-14,75.93,77.41,75.7,76.55,1120724,
2025-03-17,76.14,78.18,75.23,77.77,1043981,
2025-03-18,76.74,77.76,75.8124,76.99,1117799,
2025-03-19,76.95,78.98,76.8,78.94,1137809,
2025-03-20,78.615,81.12,78.0301,78.77,1480009,
2025-03-21,78.54,81.19,78.0,79.92,1928336,
2025-03-24,81.22,81.5,78.85,79.38,1338987,
2025-03-25,79.94,80.0,77.82,78.54,1194950,
2025-03-26,78.17,78.785,76.06,76.57,1106848,
2025-03-27,76.64,79.12,76.05,77.69,1139757,
2025-03-28,77.67,78.045,76.28,77.99,950343,
2025-03-31,76.24,76.7,73.81,76.29,2938953,
2025-04-01,75.35,75.65,71.94,72.0,2723558,
2025-04-02,71.71,73.45,70.3,73.44,2438902,
2025-04-03,71.5,74.31,71.05,73.33,2078311,
2025-04-04,70.43,72.5,67.8,69.18,3125228,
2025-04-07,66.21,70.52,64.2942,68.09,3666787,
2025-04-08,69.88,70.56,64.19,64.97,2825056,
2025-04-09,63.51,68.7,60.4,67.55,5071694,
2025-04-10,65.73,67.19,61.48,64.81,3277641,
2025-04-11,64.98,68.63,64.345,68.57,1823424,
2025-04-14,69.96,71.235,68.66,71.03,2386043,
2025-04-15,70.68,71.98,68.99,71.07,1562944,
2025-04-16,70.7,70.97,69.0,70.2,1529481,
2025-04-17,69.86,72.67,69.86,72.65,1501091,
2025-04-21,71.95,71.95,67.66,69.51,2026532,
2025-04-22,70.46,71.95,70.0,71.24,1554257,
2025-04-23,72.53,72.71,70.63,70.8,1486350,
2025-04-24,69.5,71.0,66.43,68.96,3574458,
2025-04-25,67.9,70.02,67.69,69.69,13610828,
