Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,248.28,248.58,241.43,242.39,1809159,
2025-01-13,238.39,239.79,235.44,236.24,1091869,
2025-01-14,239.73,247.33,238.41,246.4,2049881,
2025-01-15,255.02,258.78,248.085,250.03,1713723,
2025-01-16,255.16,256.32,252.54,254.25,1819080,
2025-01-17,259.85,259.85,251.49,252.36,1192862,
2025-01-21,254.04,257.85,252.0501,256.19,1153285,
2025-01-22,260.35,261.2,257.45,260.85,1341521,
2025-01-23,261.66,269.38,258.635,265.7,1787031,
2025-01-24,267.41,271.53,264.03,264.81,1143483,
2025-01-27,262.59,277.15,260.45,268.0,2005117,
2025-01-28,266.02,282.0,264.9,274.71,2530179,
2025-01-29,273.49,274.7699,266.23,271.33,1652541,
2025-01-30,264.65,270.87,262.38,266.95,4077010,
2025-01-31,320.51,324.37,300.79,306.78,8332696,
2025-02-03,299.11,315.67,296.0,311.4,3125070,
2025-02-04,310.81,322.0,310.47,316.73,1928249,
2025-02-05,316.74,321.525,314.4392,320.8,1603620,
2025-02-06,320.39,324.2,318.0142,319.0,1406343,
2025-02-07,320.45,322.5048,312.93,314.28,1206348,
2025-02-10,319.84,325.9999,316.5,322.94,2042085,
2025-02-11,318.48,324.16,314.81,315.0,1214708,
2025-02-12,313.63,318.495,310.6375,318.45,1225725,
2025-02-13,318.45,320.88,313.77,316.0,1460240,
2025-02-14,312.58,314.35,307.31,313.1,2882532,
2025-02-18,314.0,316.99,308.8,315.44,2265931,
2025-02-19,311.27,315.03,302.52,303.72,2334849,
2025-02-20,299.81,303.33,293.0501,298.49,1738936,
2025-02-21,296.86,298.63,283.46,285.99,1717559,
2025-02-24,286.19,286.77,274.7,284.03,1502433,
2025-02-25,280.2,285.855,273.54,284.26,1551661,
2025-02-26,286.0,293.53,286.0,288.76,2126581,
2025-02-27,291.61,295.91,278.15,278.48,1480886,
2025-02-28,277.3,284.35,273.9301,284.26,2208697,
2025-03-03,284.69,287.2599,272.5,274.22,1641968,
2025-03-04,270.1,278.11,262.27,273.62,2119290,
2025-03-05,273.87,277.205,269.0,276.73,1853476,
2025-03-06,268.69,271.46,249.54,250.66,2389670,
2025-03-07,249.62,251.0,229.19,238.86,3872751,
2025-03-10,230.58,231.105,212.97,215.89,4919662,
2025-03-11,216.08,226.94,215.9,224.1,3752314,
2025-03-12,231.0,233.2,224.39,226.44,2804139,
2025-03-13,224.02,224.19,207.51,208.0,4236030,
2025-03-14,214.3,221.24,212.695,218.44,3067073,
2025-03-17,216.18,224.52,216.18,220.98,2116621,
2025-03-18,219.99,221.47,213.04,219.45,2419233,
2025-03-19,220.34,233.56,219.98,229.86,3164664,
2025-03-20,226.33,230.89,224.28,226.16,2300618,
2025-03-21,222.06,228.11,218.4207,227.34,2518446,
2025-03-24,233.63,236.5,231.49,234.62,1897488,
2025-03-25,235.36,238.7087,234.02,236.22,1531338,
2025-03-26,235.0,237.315,227.44,229.65,1447189,
2025-03-27,227.71,228.055,221.7801,222.64,1755362,
2025-03-28,221.5,223.11,214.01,217.99,2418976,
2025-03-31,212.17,213.5,205.42,212.21,2397698,
2025-04-01,211.17,216.45,207.48,216.41,2425541,
2025-04-02,215.47,227.31,214.0,223.96,2334475,
2025-04-03,209.82,211.05,195.68,198.35,3317643,
2025-04-04,193.775,194.0,181.78,187.67,3207103,
2025-04-07,176.42,197.22,173.4585,186.61,3786042,
2025-04-08,193.63,198.69,179.87,183.84,2513561,
2025-04-09,183.72,213.08,178.66,209.62,4516329,
2025-04-10,202.0,204.14,193.46,198.03,3850254,
2025-04-11,199.36,201.405,190.95,198.37,2003603,
2025-04-14,206.98,210.5,198.43,200.99,2031851,
2025-04-15,199.84,208.37,199.84,207.25,2247235,
2025-04-16,204.31,210.41,201.33,205.31,2731895,
2025-04-17,205.18,206.66,201.2,202.75,1564467,
2025-04-21,200.0,201.24,190.46,192.84,2297608,
2025-04-22,197.5,201.6771,194.155,200.3,1931354,
2025-04-23,211.3,218.09,206.45,208.27,1810891,
2025-04-24,215.01,226.07,213.0276,225.08,2979489,
2025-04-25,225.0,232.22,225.0,228.68,2545362,
2025-04-28,230.36,231.97,226.91,229.83,1722869,
2025-04-29,229.14,233.13,227.685,228.49,1236188,
2025-04-30,223.735,228.65,220.01,228.31,1632007,
2025-05-01,239.67,242.0,228.62,229.07,4420966,
2025-05-02,204.73,216.36,203.0,208.48,8184795,
2025-05-05,207.29,213.82,206.5986,207.78,2339784,
2025-05-06,205.11,208.75,203.59,207.89,1868727,
2025-05-07,208.26,209.5,203.53,205.71,2203262,
2025-05-08,208.5,211.5,205.8,208.22,1552302,
