feature,importance
volatility_10,0.003285747625557921
close_over_sma_10,0.00135079229733938
asset_FANG,0.0012551313884926502
range,0.001231868870625112
body_abs,0.0010441296848489503
asset_AEP,0.0010148319572578224
lower_wick,0.0008002466656137714
asset_DASH,0.0007511276433073199
asset_ABNB,0.0006584231233156143
asset_FTNT,0.000653246974049039
asset_EA,0.0004948395647599773
bb_lower,0.0004586533391432765
volatility_20,0.0004522412855801336
asset_CPRT,0.00033095189537512003
asset_AAPL,0.0003289141504184509
asset_TEAM,0.00030236049878537287
asset_AMGN,0.0002903121282041399
asset_ADSK,0.00028826357259096046
asset_CHTR,0.000250881212031058
asset_ALNY,0.000199379753664998
asset_DDOG,0.00015451572066419171
asset_CSGP,0.00013851020118609974
asset_CEG,0.00011675672647776941
asset_GOOG,9.504560613804863e-05
asset_AMZN,9.467492752460588e-05
asset_AZN,8.049670725905344e-05
asset_AXON,7.518109447782057e-05
asset_INSM,6.601160088159503e-05
asset_FER,5.0654017677806416e-05
close_over_ema_26,3.576106070602297e-05
return_1,0.0
asset_BKNG,0.0
bb_mid,0.0
asset_CSCO,-7.378656620091184e-06
close_over_sma_20,-3.808177288904952e-05
asset_CMCSA,-9.579841839710417e-05
asset_GOOGL,-0.00010845656053992819
asset_CTAS,-0.00015047795216645564
asset_ASML,-0.00016805913368948128
asset_ADI,-0.00016901633602132843
asset_CCEP,-0.00018574875387823985
asset_BKR,-0.0001974073718753494
asset_ADBE,-0.00024888892437064796
asset_AVGO,-0.0002914104129413175
asset_CDNS,-0.0003233250385548642
asset_CTSH,-0.0003692750298835507
asset_HON,-0.0003723937092111981
asset_GILD,-0.0003939210156568659
asset_CSX,-0.00040826586741315866
asset_IDXX,-0.0004375203014896842
asset_ADP,-0.0004385686208917175
asset_GEHC,-0.0004905333644723315
asset_FAST,-0.0004930785104006894
asset_CRWD,-0.0004943969043864543
asset_EXC,-0.0005615437064378393
asset_DXCM,-0.0006983511100847925
ema_26,-0.000699529392733346
asset_AMD,-0.0007225135774880431
asset_AMAT,-0.0008172074357348944
asset_COST,-0.0011422045551268412
log_return_1,-0.001205771486302122
asset_ARM,-0.0013543481684959557
macd_signal,-0.0014292091738227265
close_over_ema_12,-0.001609343114087189
asset_APP,-0.0017010986391792007
close,-0.0019216856259929292
sma_100,-0.0020022420166461528
return_5,-0.0023150850501778746
bb_upper,-0.0024564474466857987
body,-0.0026494854749231677
volume_sma_20,-0.0026857957699083597
bb_width,-0.002760612075150805
sma_10,-0.00287300123580541
volume_over_sma_20,-0.002896460076676659
sma_50,-0.003078432009474362
close_over_sma_100,-0.0031568485809082853
ema_12,-0.003231164109509593
volume,-0.0033446977099977986
macd_hist,-0.0038183676091044436
body_to_range,-0.00394476985703886
sma_20,-0.004432433679092469
sma_200,-0.006000898106519131
bb_pos,-0.006008275635126048
upper_wick,-0.006651082635271384
close_over_sma_50,-0.006904235174381943
macd,-0.007687470383059189
close_over_sma_200,-0.0115773804289198
