feature,importance
bb_width,0.009187543635538403
close_over_sma_20,0.007127582804796464
close,0.0007822344042578394
macd_signal,0.0007676660403797976
sma_10,0.0005810490074674476
volatility_10,0.000355350011000026
ema_26,7.433357919019306e-05
return_1,0.0
asset_MSFT,0.0
asset_AAPL,0.0
bb_mid,0.0
close_over_sma_50,-3.732092076217941e-05
body,-0.00041474654498604784
sma_20,-0.0029793081314820405
volume_sma_20,-0.004646374311425542
bb_upper,-0.006400661976586677
volatility_20,-0.008129261886069137
close_over_ema_26,-0.00976282493285565
body_to_range,-0.010635073534573635
bb_pos,-0.01094702071933466
close_over_sma_10,-0.011130748722762554
log_return_1,-0.014308496209300114
body_abs,-0.015851187365118414
ema_12,-0.016068360821563477
return_5,-0.016306883475864904
macd,-0.016802500931030508
macd_hist,-0.02084390738374109
close_over_ema_12,-0.021580436751245033
bb_lower,-0.022156366297456726
sma_50,-0.025829839970919033
volume_over_sma_20,-0.0302007926013253
upper_wick,-0.03276585968886206
volume,-0.03740887543094631
lower_wick,-0.03776001135710792
range,-0.040629259059024425
