Date,Open,High,Low,Close,Volume
2025-12-11,476.63,486.03,475.86,483.47,24669180.0
2025-12-12,479.82,482.45,476.34,478.53,21248102.0
2025-12-15,480.1,480.7205,472.52,474.82,23727694.0
2025-12-16,471.905,477.89,470.88,476.39,20705560.0
2025-12-17,476.905,480.0,475.0,476.12,24527176.0
2025-12-18,478.19,489.6,477.89,483.98,28573545.0
2025-12-19,487.36,487.85,482.49,485.92,70836105.0
2025-12-22,486.12,488.73,482.69,484.92,16963019.0
2025-12-23,484.98,487.83,484.74,486.85,14683582.0
2025-12-24,485.68,489.1625,484.83,488.02,5855880.0
2025-12-26,486.705,488.12,485.96,487.71,8842175.0
2025-12-29,484.855,488.35,484.18,487.1,10893408.0
2025-12-30,485.93,489.68,485.5,487.48,13944512.0
2025-12-31,487.84,488.14,483.3,483.62,15601554.0
2026-01-02,484.385,484.66,470.16,472.94,25571567.0
2026-01-05,474.055,476.07,469.5,472.85,25250260.0
2026-01-06,473.8,478.7367,469.75,478.51,23037665.0
2026-01-07,479.755,489.7,477.95,483.47,25564196.0
2026-01-08,481.24,482.66,475.86,478.11,18162616.0
2026-01-09,474.06,479.26,472.2001,478.705,8324006.0
