Date,Open,High,Low,Close,Volume,RSI14,Tenkan,Kijun,SenkouA,SenkouB
2025-12-11,279.095,279.59,273.81,278.03,33247986,,,,,
2025-12-12,277.9,279.22,276.82,278.28,39532887,,,,,
2025-12-15,280.15,280.15,272.84,274.11,50409078,,,,,
2025-12-16,272.82,275.5,271.79,274.61,37648628,,,,,
2025-12-17,275.01,276.16,271.64,271.84,50138743,,,,,
2025-12-18,273.605,273.63,266.95,272.19,51630721,,,,,
2025-12-19,272.145,274.6,269.9,273.67,144632048,,,,,
2025-12-22,272.86,273.88,270.505,270.97,36571827,,,,,
2025-12-23,270.84,272.5,269.56,272.36,29641999,,273.54999999999995,,,
2025-12-24,272.34,275.43,272.195,273.81,17910574,,273.54999999999995,,,
2025-12-26,274.16,275.37,272.86,273.4,21521802,,273.54999999999995,,,
2025-12-29,272.69,274.36,272.35,273.76,23715213,,271.555,,,
2025-12-30,272.81,274.08,272.28,273.08,22139617,,271.555,,,
2025-12-31,273.06,273.68,271.75,271.86,27293639,,271.19,,,
2026-01-02,272.255,277.84,269.0,271.01,37838054,38.65231326453651,273.41999999999996,,,
2026-01-05,270.64,271.51,266.14,267.26,45647190,29.06903517684455,271.99,,,
2026-01-06,267.0,267.55,262.12,262.36,52352090,21.550343284555183,269.98,,,
2026-01-07,263.2,263.68,259.81,260.33,48309804,19.320774645094872,268.825,,,
2026-01-08,257.02,259.29,255.7,259.04,50419337,18.043276125255616,266.77,,,
2026-01-09,259.075,260.21,256.22,259.84,18930627,21.50935719555129,266.77,,,
