Date,Open,High,Low,Close,Volume
2025-01-10,176.86,177.54,173.33,175.17,5372441.0
2025-01-13,175.16,177.98,174.34,176.74,4734094.0
2025-01-14,176.62,176.78,174.09,175.55,4779147.0
2025-01-15,173.515,174.46,168.72,171.35,8048736.0
2025-01-16,171.45,173.9567,170.52,173.7,5235975.0
2025-01-17,172.88,173.99,171.27,171.56,7852525.0
2025-01-21,172.16,175.66,171.22,172.61,7548666.0
2025-01-22,170.3,170.8684,168.06,169.2,9464994.0
2025-01-23,170.265,170.69,168.48,170.67,7116187.0
2025-01-24,169.885,171.11,169.25,170.3,5584924.0
2025-01-27,172.66,177.45,172.59,176.9,6985212.0
2025-01-28,176.8,177.16,173.73,174.81,5604051.0
2025-01-29,174.5,176.92,174.3,175.26,3748422.0
2025-01-30,175.88,176.12,173.98,175.65,5209206.0
2025-01-31,187.3,191.77,183.67,183.9,11928323.0
2025-02-03,183.18,191.66,182.15,190.14,9829956.0
2025-02-04,187.63,191.15,187.05,189.95,7377753.0
2025-02-05,190.52,193.38,189.92,191.75,6449920.0
2025-02-06,191.855,194.49,190.56,192.97,4586688.0
2025-02-07,193.16,193.86,190.435,190.6,3805940.0
2025-02-10,191.46,191.46,189.09,190.34,3685699.0
2025-02-11,189.8,191.93,188.26,191.83,3977033.0
2025-02-12,190.5,194.37,190.39,193.0,4525009.0
2025-02-13,193.43,194.28,191.43,193.45,4108920.0
2025-02-14,193.95,195.18,192.78,192.87,3976903.0
2025-02-18,191.75,197.02,190.6683,196.25,6065546.0
2025-02-19,196.5,198.11,196.01,197.35,4888865.0
2025-02-20,197.89,201.36,196.83,200.88,5066999.0
2025-02-21,200.32,203.975,200.015,202.08,5889360.0
2025-02-24,201.83,205.5,201.28,204.08,6304982.0
2025-02-25,205.175,206.01,202.35,204.14,7747037.0
2025-02-26,203.59,203.825,201.43,203.01,4767261.0
2025-02-27,202.25,206.8,202.25,205.02,5696853.0
2025-02-28,205.12,209.6,204.41,209.03,13136421.0
2025-03-03,209.98,212.3,208.91,211.48,7016425.0
2025-03-04,214.48,215.66,207.67,207.76,7553973.0
2025-03-05,207.07,212.18,206.0,211.54,5753191.0
2025-03-06,211.335,211.98,208.5044,210.75,4345958.0
2025-03-07,210.955,214.99,209.0,214.29,6806116.0
2025-03-10,209.99,218.66,209.2,216.66,8604021.0
2025-03-11,216.66,216.66,212.41,213.59,7144519.0
