Date,Open,High,Low,Close,Volume
2025-01-10,113.77,113.84,111.79,112.31,5109130.0
2025-01-13,112.6,113.39,111.98,113.19,4409702.0
2025-01-14,113.56,113.81,112.29,113.02,3972372.0
2025-01-15,112.15,112.76,110.86,111.1,6543692.0
2025-01-16,111.02,113.95,111.02,113.91,5598701.0
2025-01-17,113.62,114.79,113.39,113.48,6459847.0
2025-01-21,114.25,116.9,114.135,116.79,8486265.0
2025-01-22,114.125,119.94,113.5,117.78,13200904.0
2025-01-23,118.015,123.23,117.78,123.22,13089363.0
2025-01-24,122.59,125.67,122.18,125.03,9960512.0
2025-01-27,126.73,129.76,125.474,129.43,11845067.0
2025-01-28,129.75,129.85,126.67,127.39,11948715.0
2025-01-29,128.05,129.3,127.63,127.86,7609799.0
2025-01-30,127.99,129.19,127.19,128.81,6340522.0
2025-01-31,128.37,128.76,127.68,127.93,7129490.0
2025-02-03,126.65,128.95,126.01,128.45,5720601.0
2025-02-04,126.435,129.2,126.0032,129.1,6957675.0
2025-02-05,129.45,132.5,128.95,132.06,8680447.0
2025-02-06,131.8,131.9,128.14,128.22,6469197.0
2025-02-07,128.07,129.49,128.07,129.07,6455324.0
2025-02-10,129.075,131.43,128.6,131.31,5503637.0
2025-02-11,131.04,132.05,130.47,131.44,5314091.0
2025-02-12,130.49,130.8,129.24,130.49,4703801.0
2025-02-13,130.93,132.04,130.55,131.79,4168391.0
2025-02-14,132.325,132.65,130.52,130.61,3733920.0
2025-02-18,129.76,130.82,128.25,130.18,5116301.0
2025-02-19,130.265,132.26,130.0,132.13,3806989.0
2025-02-20,131.73,133.28,131.35,133.17,5046884.0
2025-02-21,132.41,135.41,132.41,134.92,7160106.0
2025-02-24,134.49,136.5899,134.3,134.95,5947194.0
2025-02-25,135.53,136.45,134.36,135.82,6386137.0
2025-02-26,135.145,136.31,134.2716,135.96,5388266.0
2025-02-27,135.72,136.99,135.22,135.87,4890684.0
2025-02-28,136.4,138.37,134.75,138.01,8756146.0
2025-03-03,138.17,140.84,138.01,140.22,7589766.0
2025-03-04,141.0,141.23,137.53,137.58,8356486.0
2025-03-05,136.895,138.5,136.035,137.71,8156686.0
2025-03-06,137.06,137.715,133.4575,135.08,9184176.0
2025-03-07,134.505,137.48,133.955,137.14,8255101.0
2025-03-10,136.43,139.15,136.43,137.36,7027987.0
2025-03-11,137.06,137.06,132.31,132.66,9313590.0
2025-03-12,132.29,132.61,129.44,130.28,6770980.0
2025-03-13,130.085,130.8499,129.0,129.89,9012854.0
2025-03-14,125.0,128.49,124.5,126.71,9537887.0
2025-03-17,126.71,127.87,126.2,127.64,6663101.0
2025-03-18,127.95,128.619,124.9,126.3,7959839.0
2025-03-19,126.33,127.78,125.775,127.42,5098556.0
2025-03-20,127.33,127.76,126.38,126.78,5158504.0
2025-03-21,126.33,126.81,125.49,126.34,8857060.0
2025-03-24,127.205,127.835,126.6,127.21,5283077.0
2025-03-25,127.68,128.79,124.5,125.6,6726864.0
