Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,91.04,92.0,89.9,90.17,2896396,
2025-01-13,89.84,91.325,89.47,90.83,1512636,
2025-01-14,91.12,92.195,89.97,91.99,2493718,
2025-01-15,93.1,93.755,92.74,93.62,1955523,
2025-01-16,93.88,96.17,93.745,96.1,1847211,
2025-01-17,96.18,96.8445,95.42,95.51,4619680,
2025-01-21,96.0,96.52,94.7071,94.88,1694130,
2025-01-22,94.9,95.005,93.06,93.21,1912466,
2025-01-23,93.43,93.7364,92.805,93.02,1158883,
2025-01-24,92.97,93.5505,92.0,92.76,1334613,
2025-01-27,93.28,96.53,93.18,96.52,1899286,
2025-01-28,96.2,96.83,94.83,95.21,1626108,
2025-01-29,94.84,95.17,93.46,93.82,2247296,
2025-01-30,94.37,95.05,92.855,94.58,1556811,
2025-01-31,93.95,94.61,92.34,93.07,2040615,
2025-02-03,92.57,93.5,91.16,93.1,2056478,
2025-02-04,92.38,93.555,92.38,92.77,1861682,
2025-02-05,92.97,93.14,92.22,93.06,1577005,
2025-02-06,94.25,94.3,93.0,93.88,1367297,
2025-02-07,93.85,94.07,93.16,93.5,1305144,
2025-02-10,93.59,93.69,91.235,91.46,1982827,
2025-02-11,89.5,90.435,87.42,89.6,3121890,
2025-02-12,88.43,89.76305,87.9414,88.26,3316632,
2025-02-13,88.71,90.32,88.19,90.16,1728515,
2025-02-14,90.16,90.21,88.02,88.2,1823989,
2025-02-18,88.68,88.9,87.76,88.33,1616402,
2025-02-19,88.4,89.32,88.06,88.69,1559253,
2025-02-20,88.51,89.35,87.7841,89.05,2089347,
2025-02-21,89.01,89.26,87.89,88.13,1724180,
2025-02-24,88.44,89.98,88.15,89.56,1386362,
2025-02-25,90.0,90.605,89.495,90.35,1652222,
2025-02-26,90.27,90.65,89.13,89.57,1769419,
2025-02-27,90.0,92.36,89.79,92.1,2033605,
2025-02-28,92.98,94.265,91.81562,92.91,2576061,
2025-03-03,91.61,94.0,91.52,92.98,1739842,
2025-03-04,93.06,93.67,91.76,91.87,2319280,
2025-03-05,91.37,92.13,90.595,91.35,2111507,
2025-03-06,90.79,91.64,89.7957,91.38,1427429,
2025-03-07,90.91,91.74,90.31,91.0,1073484,
2025-03-10,90.68,93.1,90.23,90.72,1856726,
2025-03-11,90.8,91.025,89.515,90.09,1910010,
2025-03-12,89.96,90.22,88.3361,89.16,1326558,
2025-03-13,89.0,90.68,89.0,90.41,1374789,
2025-03-14,90.75,92.82,90.09,92.57,1500421,
2025-03-17,91.95,95.515,91.82,95.28,2564708,
2025-03-18,95.41,95.9,93.11,93.3,1482038,
2025-03-19,93.49,93.805,92.68,93.19,1583355,
2025-03-20,93.24,93.52,92.18,92.45,1394195,
2025-03-21,92.45,93.03,91.6,91.98,3427325,
2025-03-24,92.45,94.35,92.22,94.01,1726091,
2025-03-25,93.86,95.4335,93.84,94.58,1412620,
2025-03-26,95.25,96.595,95.01,95.93,1322003,
2025-03-27,96.24,97.31,95.27,96.94,1585821,
2025-03-28,97.0,97.4,94.66,95.06,1193197,
2025-03-31,95.06,96.815,95.0,96.18,1757108,
2025-04-01,96.01,96.8,94.995,96.14,1332082,
2025-04-02,95.64,96.92,95.13,96.82,1107425,
2025-04-03,95.14,96.9,95.05,96.28,1430706,
2025-04-04,94.37,94.49,87.4801,87.83,2688247,
2025-04-07,86.85,88.79,82.4925,84.99,3542481,
2025-04-08,85.73,89.39,85.45,86.42,2751881,
2025-04-09,85.04,91.93,85.04,91.48,2445149,
2025-04-10,91.19,92.28,88.71,90.58,2269481,
2025-04-11,90.3,92.745,89.13,92.13,1928391,
2025-04-14,92.87,94.22,91.93,92.87,1187810,
2025-04-15,93.65,93.65,92.35,92.46,1258511,
2025-04-16,92.5,94.09,91.92,92.38,1622625,
2025-04-17,92.98,93.3,91.39,92.57,1414329,
2025-04-21,92.29,92.325,88.95,89.79,1448385,
2025-04-22,90.91,93.37,90.48,92.95,1378986,
2025-04-23,93.08,94.28,91.97,92.51,1108292,
2025-04-24,92.09,92.59,91.09,92.1,1828817,
2025-04-25,91.46,91.81,89.83,90.68,1304308,
2025-04-28,90.61,91.595,90.35,91.19,1182976,
2025-04-29,91.3,92.605,90.6901,92.39,1271499,
2025-04-30,88.41,91.08,86.23,90.68,2833587,
2025-05-01,90.13,90.62,89.17,89.67,1861642,
2025-05-02,90.86,92.74,90.17,92.48,1596403,
2025-05-05,91.92,92.9265,90.9,92.58,954662,
2025-05-06,92.4,93.51,91.54,93.0,1387516,
2025-05-07,93.0,93.92,92.33,92.69,1224056,
2025-05-08,93.25,95.06,92.67,94.56,1608095,
2025-05-09,94.74,94.93,94.26,94.54,1278394,
2025-05-12,95.68,95.83,92.98,94.63,1129280,
2025-05-13,94.41,95.31,93.4,93.42,1711699,
2025-05-14,93.25,93.6,90.68,90.85,2068717,
2025-05-15,91.655,93.62,91.12,93.54,1377698,
2025-05-16,93.63,94.7,93.18,94.59,1113307,
2025-05-19,94.56,95.6299,94.21,95.16,1315949,
2025-05-20,94.63,95.01,93.73,94.19,1460696,
2025-05-21,93.65,93.65,92.41,92.85,1156904,
2025-05-22,92.78,92.85,91.16,91.97,1111466,
2025-05-23,91.69,92.385,91.4201,92.07,977016,
2025-05-27,92.66,94.67,92.01344,94.62,1670187,
2025-05-28,94.45,94.9,92.92,92.98,1640571,
2025-05-29,93.31,94.24,92.88,94.2,1194695,
2025-05-30,92.36,95.59,91.16,95.04,2897694,
2025-06-02,94.61,96.325,93.9523,96.27,1423356,
2025-06-03,95.82,96.79,94.045,95.82,1394429,
2025-06-04,95.65,96.11,94.685,94.75,871838,
2025-06-05,94.99,95.44,94.1344,94.57,816637,
2025-06-06,95.23,95.9983,94.74,95.53,711381,
2025-06-09,95.37,95.39,91.12,92.35,1345269,
2025-06-10,90.73,90.98,89.24,89.77,1770205,
2025-06-11,89.98,90.43,89.04,89.39,2482881,
2025-06-12,89.21,91.93,89.06,91.91,1658595,
2025-06-13,91.54,92.1775,90.75,90.99,1654475,
2025-06-16,91.17,92.12,90.89,91.14,2078277,
2025-06-17,90.595,90.595,88.95,90.15,1956710,
2025-06-18,89.87,90.98,89.725,90.3,1559429,
2025-06-20,90.68,91.6,89.82,90.17,2503561,
2025-06-23,90.45,91.14,89.92,91.11,1587397,
2025-06-24,91.36,91.515,90.22,90.97,1505486,
2025-06-25,90.6,90.64,88.98,89.23,1415940,
2025-06-26,89.6,90.4,89.28,90.29,1532552,
2025-06-27,90.22,91.09,89.55,90.32,2285246,
2025-06-30,90.02,91.41,90.02,91.05,1909942,
2025-07-01,91.4,91.96,90.435,91.5,3133408,
2025-07-02,91.17,91.5,87.83,88.38,3496737,
2025-07-03,88.88,89.66,88.51,89.19,1964531,
2025-07-07,89.04,89.675,88.665,89.42,2902349,
2025-07-08,88.98,90.97,88.85,90.21,2430750,
2025-07-09,89.61,90.28,87.7,87.92,3287845,
2025-07-10,87.47,88.58,86.54,88.56,2525775,
2025-07-11,88.03,88.36,87.36,87.84,1943647,
2025-07-14,87.64,91.42,87.64,90.59,4127912,
2025-07-15,90.1,90.7,88.075,88.19,2209470,
2025-07-16,88.57,89.175,87.58,89.07,2349068,
2025-07-17,89.0,89.38,88.0,88.66,2596644,
2025-07-18,88.5,89.07,88.101,88.35,6501843,
2025-07-21,88.18,88.57,87.53,87.55,2396164,
2025-07-22,88.08,89.15,87.87,89.0,2523512,
2025-07-23,89.36,89.595,87.92,88.62,2925877,
2025-07-24,88.42,88.505,87.8,88.0,2188769,
2025-07-25,88.28,89.065,87.8964,88.89,2552610,
2025-07-28,88.58,88.76,86.47,86.5,2260433,
2025-07-29,87.21,87.295,85.69,86.12,3428782,
2025-07-30,89.83,89.83,84.81,85.61,3698041,
2025-07-31,85.35,86.65,85.07,86.06,2798299,
2025-08-01,86.38,88.055,86.285,88.0,2846752,
2025-08-04,87.92,89.04,87.89,88.51,2315048,
2025-08-05,88.67,89.18,88.14,88.66,1743159,
2025-08-06,88.94,90.11,88.56,89.76,2386414,
2025-08-07,89.99,90.06,87.78,88.86,2165803,
2025-08-08,89.08,89.73,88.489,88.83,1345769,
2025-08-11,88.88,90.5,88.88,89.88,2212851,
2025-08-12,89.89,90.08,87.77,87.78,2340816,
2025-08-13,88.13,89.97,87.9289,89.95,2233858,
2025-08-14,89.91,91.9,89.473,91.46,2019788,
2025-08-15,92.0,92.0,90.44,90.72,3051822,
2025-08-18,90.66,91.105,90.225,90.35,1929056,
2025-08-19,90.54,91.87,90.0,91.84,1320205,
2025-08-20,92.03,93.37,91.56,92.84,1190228,
2025-08-21,92.65,94.265,92.65,93.54,1584215,
2025-08-22,94.09,94.5097,93.25,93.41,1820244,
2025-08-25,93.03,93.3,91.83,91.88,1004268,
2025-08-26,91.48,91.63,90.545,90.9,3230271,
2025-08-27,91.0,92.0,90.9606,91.71,1098368,
2025-08-28,91.71,91.71,90.6,91.2,1346618,
2025-08-29,91.32,91.97,91.0929,91.53,1562970,
2025-09-02,91.74,92.305,91.08,91.32,2121606,
2025-09-03,91.11,93.08,91.0,92.9,2234851,
2025-09-04,93.58,93.8,92.1,92.22,1591310,
2025-09-05,92.13,92.49,91.09,91.29,1403701,
2025-09-08,93.5,93.5,90.13,90.9,2393042,
2025-09-09,90.9,91.035,89.49,89.61,2643557,
2025-09-10,89.04,90.65,88.695,90.6,2067856,
2025-09-11,90.7,92.37,90.68,92.29,1562548,
2025-09-12,92.2,92.925,91.97,92.26,1256486,
2025-09-15,91.99,92.205,89.7,89.86,1767050,
2025-09-16,88.96,89.23,87.2,87.38,2710456,
2025-09-17,87.31,88.03,87.11,87.35,2533489,
2025-09-18,87.04,88.76,87.01,88.19,2249815,
2025-09-19,88.85,89.01,88.27,88.4,4190225,
2025-09-22,88.34,88.78,87.77,88.03,3034880,
2025-09-23,88.03,88.65,87.58,88.46,2210359,
2025-09-24,88.47,90.86,88.21,90.76,2825909,
2025-09-25,91.0,91.58,88.765,89.57,2230435,
2025-09-26,90.0,91.05,89.7,90.88,1444442,
2025-09-29,90.87,90.87,89.26,89.83,1242570,
2025-09-30,89.82,90.935,89.505,90.73,1724791,
2025-10-01,90.24,91.06,89.79,90.31,1446948,
2025-10-02,89.64,90.42,88.77,89.08,1460406,
2025-10-03,88.85,91.525,88.825,90.79,1801384,
2025-10-06,91.03,92.06,90.86,91.35,1474645,
2025-10-07,91.65,94.11,91.65,94.1,2144070,
2025-10-08,94.67,94.805,92.83,93.1,1651609,
2025-10-09,93.11,93.615,91.86,92.23,1441561,
2025-10-10,92.71,92.995,91.81,92.47,1795362,
2025-10-13,90.87,92.855,90.86,92.25,1779057,
2025-10-14,92.25,92.81,90.82,92.23,1813750,
2025-10-15,91.55,92.0,88.765,89.57,2137460,
2025-10-16,88.34,88.5,85.93,86.23,3507314,
2025-10-17,86.51,87.43,86.31,86.51,6463161,
2025-10-20,87.11,87.25,86.0,86.97,1892211,
2025-10-21,86.84,88.055,86.3525,87.7,1653198,
2025-10-22,88.06,88.4,86.945,87.88,1691297,
2025-10-23,88.18,88.29,86.98,87.46,1221007,
2025-10-24,87.46,87.6392,86.81,87.15,1390432,
2025-10-27,87.0,87.62,85.785,85.94,2303574,
2025-10-28,87.04,87.04,82.445,84.72,3721659,
2025-10-29,84.59,86.14,84.0,85.85,2765371,
2025-10-30,86.09,87.12,85.0,86.64,3465769,
2025-10-31,85.83,87.0,85.68,86.31,2265914,
2025-11-03,86.31,86.31,84.695,86.0,2815899,
2025-11-04,85.99,87.63,85.99,87.47,2748962,
2025-11-05,87.69,88.6,87.485,87.55,2396001,
2025-11-06,87.52,88.96,87.41,87.76,2573729,
2025-11-07,87.96,89.64,87.79,89.57,2431572,
2025-11-10,88.78,89.99,88.64,89.79,2620461,
2025-11-11,90.0,91.13,89.905,90.66,2563986,
2025-11-12,90.66,91.94,90.4801,91.78,1910996,
2025-11-13,92.0,93.58,91.85,92.76,2329844,
2025-11-14,93.1,93.57,91.555,92.52,1554935,
2025-11-17,92.85,93.125,91.665,91.81,1318496,
2025-11-18,91.62,92.76,91.22,91.79,1467350,
2025-11-19,91.71,92.05,90.86,91.17,1499177,
2025-11-20,91.53,92.27,91.27,91.88,1661275,
2025-11-21,92.08,93.57,91.59,92.46,1611270,
2025-11-24,92.46,92.56,91.23,91.94,3317130,
2025-11-25,93.01,93.959,92.775,93.61,1851183,
2025-11-26,93.65,94.469,93.365,94.4,1587829,
2025-11-28,94.46,94.94,93.9,93.92,897587,
2025-12-01,94.0,94.5399,92.69,93.16,1662726,
2025-12-02,92.96,93.43,91.93,92.69,2262724,
2025-12-03,92.87,93.79,92.06,92.72,2503883,
2025-12-04,92.68,93.33,91.85,92.39,1647680,
2025-12-05,92.17,92.17,91.2048,91.72,1432399,
2025-12-08,91.215,91.49,90.5001,90.94,2009642,
2025-12-09,91.03,92.41,91.03,91.92,1703611,
2025-12-10,92.08,93.165,91.63,91.77,3199257,
2025-12-11,92.22,94.32,91.46,93.64,3490781,
2025-12-12,94.28,94.28,93.42,93.92,3601622,
2025-12-15,94.28,96.0,93.85,95.72,2637412,
2025-12-16,96.0,96.035,95.015,95.58,2429550,
2025-12-17,95.395,96.35,95.03,95.89,2337013,
