Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,49.695,51.52,49.6213,51.09,4497798.0,
2025-01-13,51.46,52.54,51.1,52.12,4102552.0,
2025-01-14,51.84,52.039,50.78,51.19,3063766.0,
2025-01-15,51.62,52.0,51.09,51.14,2773501.0,
2025-01-16,51.09,51.175,50.36,51.01,2051243.0,
2025-01-17,50.96,51.649,50.96,51.29,3234750.0,
2025-01-21,51.17,51.74,50.91,51.22,3062614.0,
2025-01-22,50.86,50.915,50.31,50.52,3053289.0,
2025-01-23,50.52,50.93,50.3101,50.66,2278171.0,
2025-01-24,50.58,50.93,50.22,50.51,2737407.0,
2025-01-27,51.41,52.34,51.2126,52.17,3438154.0,
2025-01-28,52.05,52.3,50.54,50.59,2450650.0,
2025-01-29,50.5,52.11,50.4253,51.66,3468100.0,
2025-01-30,51.8,52.0,51.38,51.67,2393915.0,
2025-01-31,51.4731,51.73,50.84,51.23,6848037.0,
2025-02-03,50.875,51.02,49.98,50.02,4491011.0,
2025-02-04,48.5008,48.7,47.46,47.49,7220067.0,
2025-02-05,47.5,47.51,45.14,46.45,7418750.0,
2025-02-06,46.8,47.13,45.01,45.55,5401516.0,
2025-02-07,45.68,46.3,45.36,45.76,4346270.0,
2025-02-10,45.65,46.18,45.36,46.09,4392037.0,
2025-02-11,46.09,46.555,45.6,46.44,2934136.0,
2025-02-12,45.775,46.28,45.14,45.22,3454836.0,
2025-02-13,45.1,47.14,44.92,45.71,5556926.0,
2025-02-14,45.76,46.26,45.76,46.1,3382088.0,
2025-02-18,45.5,46.0,45.269,45.91,3040687.0,
2025-02-19,45.85,46.51,45.74,46.04,3163204.0,
2025-02-20,45.95,46.6,45.82,46.55,2704445.0,
2025-02-21,46.75,48.48,46.5,48.19,5487545.0,
2025-02-24,48.15,49.15,47.61,48.4,5041579.0,
2025-02-25,48.31,49.08,48.1101,48.76,3985486.0,
2025-02-26,48.51,48.64,46.95,46.98,3899131.0,
2025-02-27,46.76,47.25,46.51,46.59,3405933.0,
2025-02-28,46.885,47.46,46.77,47.2,6678216.0,
2025-03-03,47.275,47.65,46.33,46.58,3366100.0,
2025-03-04,46.28,46.825,45.71,45.82,3634102.0,
2025-03-05,45.82,46.336,45.31,45.8,3265831.0,
2025-03-06,45.85,48.36,45.8,48.06,4418060.0,
2025-03-07,47.885,50.27,47.885,49.44,4428602.0,
2025-03-10,49.94,52.36,49.93,50.61,6451409.0,
2025-03-11,50.77,51.03,48.5,48.64,4958294.0,
2025-03-12,48.0,48.15,46.84,47.08,4061018.0,
2025-03-13,47.0,48.12,46.75,47.25,3557398.0,
2025-03-14,47.055,47.505,46.39,47.18,2922914.0,
2025-03-17,47.55,48.67,47.55,47.99,4661713.0,
2025-03-18,48.47,48.65,47.64,47.68,3740357.0,
2025-03-19,47.54,47.92,46.49,46.93,5745073.0,
2025-03-20,46.865,47.23,46.26,46.52,5540737.0,
2025-03-21,46.6,46.96,45.98,46.1,50983844.0,
2025-03-24,45.97,46.61,45.49,45.93,3992314.0,
2025-03-25,45.96,46.58,45.8,46.05,3853653.0,
2025-03-26,46.1,47.21,46.05,47.07,2985963.0,
2025-03-27,47.29,48.48,47.25,48.28,3975350.0,
2025-03-28,48.255,48.4,47.62,47.87,2077762.0,
2025-03-31,47.87,48.54,47.68,48.01,3041312.0,
2025-04-01,48.285,48.365,47.385,48.21,2971786.0,
2025-04-02,48.15,48.35,47.2,47.97,2655666.0,
2025-04-03,48.02,48.14,47.14,47.57,3909942.0,
2025-04-04,45.75,46.075,43.01,43.32,6807317.0,
2025-04-07,42.56,44.9,42.35,42.98,6206869.0,
2025-04-08,43.75,44.08,41.17,41.79,4504169.0,
2025-04-09,41.31,44.6709,40.98,44.38,5982401.0,
2025-04-10,44.38,44.78,43.185,44.48,5105744.0,
2025-04-11,44.66,46.01,44.42,45.84,3950492.0,
2025-04-14,46.055,46.705,45.44,46.43,2663843.0,
2025-04-15,46.555,46.555,45.42,46.07,2723747.0,
2025-04-16,46.18,47.035,45.865,46.13,4132478.0,
2025-04-17,46.5199,47.888,46.41,47.82,3503372.0,
2025-04-21,47.71,48.12,47.21,48.09,3130307.0,
2025-04-22,48.5,49.13,48.23,48.54,3166688.0,
2025-04-23,48.805,49.035,47.78,48.12,2203008.0,
