Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,93.15,94.67,92.67,93.51,7730952.0,
2025-01-13,95.15,95.92,92.76,94.54,6013945.0,
2025-01-14,93.67,94.54,93.43,94.5,3172362.0,
2025-01-15,95.38,95.61,94.53,95.12,3104703.0,
2025-01-16,94.88,96.85,94.7,96.82,2456586.0,
2025-01-17,97.64,97.975,96.8,97.25,2728874.0,
2025-01-21,98.0,98.73,97.595,97.81,2439941.0,
2025-01-22,97.58,98.13,96.85,97.49,3503993.0,
2025-01-23,98.29,99.5,97.38,97.47,4428051.0,
2025-01-24,97.08,98.5,97.05,98.18,2140389.0,
2025-01-27,99.34,103.05,98.16,102.63,5428327.0,
2025-01-28,102.47,102.47,99.75,100.0,3524295.0,
2025-01-29,100.03,100.73,97.355,98.05,3345809.0,
2025-01-30,98.55,99.15,97.56,98.03,3590720.0,
2025-01-31,97.84,99.0529,97.52,98.36,4913005.0,
2025-02-03,98.42,99.685,97.32,99.36,2659345.0,
2025-02-04,98.52,99.065,97.8,97.88,2126457.0,
2025-02-05,98.67,99.89,98.4,99.39,2280543.0,
2025-02-06,99.64,100.665,98.87,100.17,3152592.0,
2025-02-07,100.14,100.435,99.41,100.35,2861565.0,
2025-02-10,99.76,100.955,99.11,100.83,2473838.0,
2025-02-11,100.59,102.11,99.47,101.88,3165950.0,
2025-02-12,100.73,102.52,100.595,102.35,3163014.0,
2025-02-13,101.37,102.57,100.32,100.99,4938973.0,
2025-02-14,101.21,102.915,100.84,101.83,2770900.0,
2025-02-18,101.29,103.24,101.0,102.2,3146403.0,
2025-02-19,102.67,103.16,101.715,103.09,2510807.0,
2025-02-20,102.97,104.65,102.195,104.35,2702099.0,
2025-02-21,104.35,105.73,104.06,105.33,4001985.0,
2025-02-24,105.87,107.36,105.21,106.291,3074950.0,
2025-02-25,106.7,107.84,105.97,107.64,3408687.0,
2025-02-26,107.23,107.51,106.37,106.89,2446487.0,
2025-02-27,106.2,106.78,104.8,105.16,3661302.0,
2025-02-28,106.1,107.11,104.6601,106.05,4391030.0,
2025-03-03,105.85,107.82,105.69,107.7,3451963.0,
2025-03-04,108.53,109.52,105.14,105.24,5609604.0,
2025-03-05,104.5,105.46,103.19,103.39,3665626.0,
2025-03-06,103.3,103.31,101.42,102.59,3031045.0,
2025-03-07,102.84,104.875,102.675,104.62,4042360.0,
2025-03-10,104.91,108.67,104.91,107.32,5535443.0,
2025-03-11,107.67,107.99,104.39,104.43,4282726.0,
2025-03-12,102.875,103.79,102.35,102.96,3284601.0,
2025-03-13,102.81,104.29,102.695,104.24,1909589.0,
2025-03-14,104.06,105.95,103.59,105.56,4419415.0,
2025-03-17,105.67,106.83,105.1324,105.86,5577081.0,
2025-03-18,106.29,106.49,105.38,105.99,2757770.0,
2025-03-19,105.85,106.3,105.14,105.84,2786985.0,
2025-03-20,105.8,106.59,105.55,106.21,2946596.0,
2025-03-21,106.14,106.65,104.4,105.11,5649258.0,
2025-03-24,105.25,105.69,104.025,104.18,2619410.0,
2025-03-25,103.0,103.0,101.96,102.5,24651799.0,
2025-03-26,102.78,104.31,102.565,103.9,5939105.0,
2025-03-27,103.94,105.6,103.78,105.15,5233011.0,
2025-03-28,105.87,107.41,105.3736,106.96,6173680.0,
2025-03-31,108.37,109.76,107.841,109.27,6560140.0,
2025-04-01,108.61,108.88,107.52,108.37,3941851.0,
2025-04-02,108.8,108.8,107.27,107.75,3279811.0,
2025-04-03,109.76,110.46,107.75,109.11,6063284.0,
2025-04-04,110.12,110.48,103.915,104.48,7368580.0,
2025-04-07,104.25,104.79,100.67,101.57,7767680.0,
2025-04-08,102.28,103.98,100.56,101.28,6473357.0,
2025-04-09,100.95,103.82,98.35,102.35,7048079.0,
2025-04-10,102.1,104.31,101.515,103.2,4114838.0,
2025-04-11,103.64,105.17,101.86,104.63,3582805.0,
2025-04-14,104.45,106.94,103.73,106.58,3224765.0,
2025-04-15,107.05,107.505,106.21,106.68,2599692.0,
2025-04-16,106.94,107.46,105.65,105.92,2786867.0,
2025-04-17,106.75,109.03,106.67,107.71,3156828.0,
2025-04-21,107.77,107.77,104.72,105.53,3608944.0,
2025-04-22,106.26,108.31,106.13,108.15,2304730.0,
2025-04-23,107.58,108.125,105.565,107.02,3202133.0,
2025-04-24,106.965,107.625,105.695,106.7,3676753.0,
2025-04-25,106.77,106.875,105.58,106.74,2853480.0,
2025-04-28,106.77,107.5598,105.7,107.06,3303394.0,
2025-04-29,107.2,108.58,106.29,108.5,2950675.0,
2025-04-30,108.97,109.08,106.34,108.34,5418924.0,
2025-05-01,107.88,108.76,107.125,107.54,3107186.0,
2025-05-02,108.27,108.335,107.16,107.69,1984665.0,
2025-05-05,107.75,108.0399,106.27,107.44,2616262.0,
2025-05-06,108.24,109.03,107.0,107.44,3309249.0,
2025-05-07,107.43,108.16,106.5,107.48,3249112.0,
2025-05-08,107.07,107.32,104.53,105.19,3598765.0,
2025-05-09,104.43,104.84,103.725,104.68,3056956.0,
2025-05-12,103.14,103.61,100.57,100.99,4449894.0,
2025-05-13,100.99,101.28,99.38,99.56,4607400.0,
2025-05-14,99.27,99.29,97.46,98.59,5207425.0,
2025-05-15,99.37,101.7,99.35,101.61,5823998.0,
2025-05-16,101.58,103.09,101.25,103.04,2868876.0,
2025-05-19,102.68,103.9,102.52,103.78,1909441.0,
2025-05-20,103.64,104.24,103.59,103.73,2408320.0,
2025-05-21,103.56,103.92,102.43,102.93,3340698.0,
2025-05-22,102.83,103.07,100.9344,101.8,3285104.0,
2025-05-23,102.64,102.96,101.2,102.88,1888423.0,
2025-05-27,103.44,103.45,102.57,102.91,2582110.0,
2025-05-28,102.7,102.89,101.275,101.68,2426908.0,
2025-05-29,101.68,102.77,100.86,102.53,2297651.0,
2025-05-30,102.72,103.77,102.26,103.49,3896716.0,
2025-06-02,102.88,103.4896,102.25,103.18,2318541.0,
2025-06-03,102.83,103.12,101.76,102.83,2423164.0,
2025-06-04,102.85,103.34,101.77,101.85,1950487.0,
2025-06-05,101.8,102.19,101.3,101.77,2034969.0,
2025-06-06,101.83,102.0,101.15,101.79,2045078.0,
2025-06-09,101.55,102.27,100.85,101.41,2418466.0,
2025-06-10,101.555,102.04,100.78,101.87,2730514.0,
2025-06-11,101.73,102.11,101.215,101.94,2193167.0,
2025-06-12,102.19,103.1,101.96,103.02,2125276.0,
2025-06-13,103.2,103.68,102.675,102.9,2389581.0,
2025-06-16,103.0,103.53,101.305,101.91,2790744.0,
2025-06-17,102.04,102.04,100.72,101.62,2418716.0,
2025-06-18,101.65,101.96,100.8,101.2,1893725.0,
2025-06-20,101.5,102.61,101.1101,101.75,4085609.0,
2025-06-23,102.48,103.54,102.375,103.31,3327797.0,
2025-06-24,103.18,103.93,102.87,103.28,2260194.0,
2025-06-25,103.02,103.085,101.225,101.41,2193043.0,
2025-06-26,101.88,102.7,101.154,102.35,3001779.0,
