Date,Open,High,Low,Close,Volume
2025-01-10,12.3,12.31,11.955,12.02,16108784.0
2025-01-13,12.01,12.08,11.57,11.69,14181405.0
2025-01-14,11.81,12.0,11.71,11.85,11151251.0
2025-01-15,12.175,12.33,11.75,11.77,9278338.0
2025-01-16,11.75,12.12,11.705,12.0,14562980.0
2025-01-17,12.03,12.11,11.71,11.82,12469718.0
2025-01-21,11.98,11.98,11.69,11.75,13194028.0
2025-01-22,11.68,11.71,11.09,11.13,17876116.0
2025-01-23,11.16,11.575,11.08,11.53,14042739.0
2025-01-24,11.58,11.84,11.57,11.6,12143929.0
2025-01-27,11.57,11.72,11.18,11.44,15476476.0
2025-01-28,11.45,11.48,10.81,11.01,22668142.0
2025-01-29,11.13,11.26,11.07,11.15,14872446.0
2025-01-30,11.29,11.415,11.11,11.27,13074076.0
2025-01-31,11.17,11.25,10.92,11.0,21785893.0
2025-02-03,10.81,10.85,10.39,10.71,19129302.0
2025-02-04,10.6,10.75,10.33,10.61,15267773.0
2025-02-05,10.64,10.725,10.405,10.48,14480220.0
2025-02-06,10.54,10.91,10.49,10.82,11712773.0
2025-02-07,10.835,10.84,10.54,10.57,9380142.0
2025-02-10,10.63,10.835,10.52,10.75,10232739.0
2025-02-11,10.5,10.5,10.0,10.23,26357211.0
2025-02-12,10.09,10.16,10.0,10.09,14970506.0
2025-02-13,10.16,10.2,9.9,10.14,13016491.0
2025-02-14,10.15,10.26,9.91,9.93,18458172.0
2025-02-18,9.99,10.33,9.88,10.29,16920857.0
2025-02-19,10.28,10.425,10.25,10.4,10035799.0
2025-02-20,10.45,10.83,10.42,10.67,13167585.0
2025-02-21,10.77,10.94,10.55,10.59,19722962.0
2025-02-24,10.58,10.73,10.36,10.72,10345927.0
2025-02-25,10.72,10.965,10.6,10.86,12791966.0
2025-02-26,10.93,11.035,10.7016,10.92,12192601.0
2025-02-27,10.97,10.97,10.38,10.38,16285618.0
2025-02-28,11.05,12.0,10.75,11.59,71508424.0
2025-03-03,11.15,11.62,10.98,11.19,25025201.0
2025-03-04,11.27,11.34,10.74,10.82,20308016.0
2025-03-05,10.8,11.015,10.65,10.96,13399272.0
2025-03-06,10.865,10.9,10.57,10.87,10358756.0
2025-03-07,10.9,11.48,10.83,11.25,20482995.0
2025-03-10,11.17,11.92,11.15,11.78,20807581.0
2025-03-11,11.845,12.08,11.72,11.99,16319993.0
2025-03-12,11.74,11.9,11.53,11.83,11100316.0
2025-03-13,11.95,12.428,11.87,12.28,16779752.0
2025-03-14,12.42,12.5699,12.0694,12.31,13828192.0
2025-03-17,12.44,13.18,12.265,13.05,18247064.0
2025-03-18,12.6948,13.005,12.69,12.92,13361922.0
2025-03-19,12.88,13.05,12.8,12.98,10427232.0
2025-03-20,12.99,13.235,12.91,13.16,10160243.0
2025-03-21,13.105,13.165,12.745,13.05,23655293.0
2025-03-24,12.96,13.065,12.75,12.88,10513709.0
2025-03-25,12.88,12.92,12.48,12.66,11417604.0
2025-03-26,12.675,12.805,12.42,12.49,10501771.0
2025-03-27,12.4801,12.6282,12.36,12.43,6917358.0
2025-03-28,12.51,12.725,12.4,12.41,11105594.0
2025-03-31,12.21,12.53,12.03,12.42,10863400.0
2025-04-01,12.57,12.57,12.24,12.37,7998226.0
2025-04-02,12.35,12.52,12.27,12.48,9354410.0
2025-04-03,12.04,12.275,11.855,11.9,19800882.0
2025-04-04,11.45,11.45,10.52,10.78,19561215.0
2025-04-07,10.505,11.005,10.135,10.69,17012024.0
2025-04-08,10.95,11.0,10.15,10.23,16248625.0
2025-04-09,10.1,11.23,9.91,11.14,19456966.0
