Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,102.17,102.7,100.235,100.99,2176707.0,
2025-01-13,100.98,102.948,100.0,102.49,1408363.0,
2025-01-14,102.46,103.68,102.39,103.65,1610038.0,
2025-01-15,104.875,105.18,104.41,104.79,2004791.0,
2025-01-16,104.82,106.0299,104.78,105.93,1442274.0,
2025-01-17,104.72,106.835,104.72,106.49,2080502.0,
2025-01-21,105.76,107.21,105.76,106.39,1658383.0,
2025-01-22,106.05,106.39,104.12,104.3,1915032.0,
2025-01-23,104.41,105.0,104.0,104.47,1651613.0,
2025-01-24,104.0,105.38,104.0,104.91,1237222.0,
2025-01-27,105.79,108.19,105.6,108.15,1768340.0,
2025-01-28,107.32,108.63,106.975,107.28,1419978.0,
2025-01-29,106.85,108.83,106.85,107.62,1239149.0,
2025-01-30,108.435,108.93,107.71,108.25,1237144.0,
2025-01-31,107.84,108.86,107.27,107.38,2071618.0,
2025-02-03,105.3606,107.26,105.27,106.71,1942698.0,
2025-02-04,106.44,108.1225,106.32,106.76,1559442.0,
2025-02-05,106.6,107.46,105.94,107.29,1566732.0,
2025-02-06,106.33,106.36,101.5,103.08,4397975.0,
2025-02-07,103.285,104.49,102.54,103.58,2761585.0,
2025-02-10,102.92,103.815,102.45,102.61,1955654.0,
2025-02-11,102.61,103.36,101.7,102.99,2278056.0,
2025-02-12,101.955,103.03,101.94,102.94,1811964.0,
2025-02-13,102.99,104.17,102.63,104.08,1647565.0,
2025-02-14,104.235,104.88,103.31,103.34,1450313.0,
2025-02-18,102.84,104.3,102.84,104.26,1635752.0,
2025-02-19,103.74,104.78,103.58,104.51,1579211.0,
2025-02-20,103.95,104.44,103.31,104.28,1431391.0,
2025-02-21,103.875,104.46,101.96,102.16,3539592.0,
2025-02-24,102.375,104.6,102.3,104.09,2475565.0,
2025-02-25,104.88,106.845,104.17,106.73,2147217.0,
2025-02-26,106.19,107.095,105.555,105.81,1586191.0,
2025-02-27,105.81,107.89,105.6,107.43,1831116.0,
2025-02-28,108.22,109.7,107.86,109.47,2704395.0,
2025-03-03,109.97,110.75,109.2,110.14,2141076.0,
2025-03-04,109.83,110.03,107.51,107.6,2395851.0,
