Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,284.87,290.34,283.62,287.01,3074562.0,
2025-01-13,287.52,288.31,285.22,285.81,1918412.0,
2025-01-14,287.65,289.75,284.87,289.11,1284615.0,
2025-01-15,292.0,292.0,287.7601,290.19,1869239.0,
2025-01-16,291.255,296.02,290.76,295.79,1230496.0,
2025-01-17,295.535,296.93,293.91,294.82,1261480.0,
2025-01-21,295.89,299.01,293.8575,296.77,1626480.0,
2025-01-22,296.91,297.66,293.395,293.5,1504749.0,
2025-01-23,292.63,294.36,287.5,288.0,1565326.0,
2025-01-24,288.045,289.93,286.78,289.51,2030433.0,
2025-01-27,289.52,297.7,289.52,296.0,1630400.0,
2025-01-28,297.05,297.49,293.19,293.41,1781711.0,
2025-01-29,293.11,296.0,291.47,294.1,1593763.0,
2025-01-30,295.75,299.44,294.6,299.03,1641615.0,
2025-01-31,298.245,307.74,296.83,301.82,2411734.0,
2025-02-03,300.03,309.53,299.37,309.0,2216646.0,
2025-02-04,309.0,313.0,308.52,312.21,1680526.0,
2025-02-05,312.23,316.34,311.62,316.3,1481120.0,
2025-02-06,317.15,320.72,315.66,319.99,1852549.0,
2025-02-07,319.49,323.55,318.89,322.33,1722130.0,
2025-02-10,322.595,324.79,319.8101,324.29,1573139.0,
2025-02-11,323.35,324.17,320.77,322.0,1537932.0,
2025-02-12,320.615,325.1,319.69,324.61,1099557.0,
2025-02-13,325.035,328.92,324.01,328.56,1210937.0,
2025-02-14,328.35,329.6,319.5,321.5,2079602.0,
2025-02-18,322.12,326.4,320.04,326.3,1318477.0,
2025-02-19,326.605,327.99,325.36,327.33,709578.0,
2025-02-20,325.655,327.395,322.67,325.13,876411.0,
2025-02-21,327.27,327.27,323.84,325.56,952442.0,
2025-02-24,325.67,331.09,325.37,328.49,1465534.0,
2025-02-25,329.12,332.69,329.12,331.83,1712725.0,
2025-02-26,331.77,333.03,327.6,328.33,991835.0,
2025-02-27,327.845,334.69,326.93,333.17,1462514.0,
2025-02-28,333.5,338.43,332.78,337.74,1745005.0,
2025-03-03,336.97,343.21,336.38,341.8,1360505.0,
2025-03-04,344.01,345.43,336.48,337.27,1914722.0,
2025-03-05,335.795,342.0442,335.61,340.79,1217007.0,
2025-03-06,340.35,342.01,334.7,339.85,1492003.0,
2025-03-07,338.04,339.48,321.185,324.0,4131437.0,
2025-03-10,323.245,324.4,318.24,321.85,3180794.0,
2025-03-11,322.355,327.88,321.88,325.75,1635467.0,
2025-03-12,327.07,327.63,320.67,325.08,1185127.0,
2025-03-13,326.825,327.11,322.41,322.85,1151143.0,
2025-03-14,323.42,325.77,321.76,325.24,1265291.0,
2025-03-17,322.0,329.64,322.0,329.14,1172039.0,
2025-03-18,329.14,332.995,328.46,329.66,1422465.0,
2025-03-19,330.0,330.4,323.82,326.64,974050.0,
2025-03-20,327.06,335.66,326.34,334.44,1497417.0,
2025-03-21,334.0,335.07,330.06,331.79,2675954.0,
2025-03-24,334.11,339.52,332.08,337.67,1226407.0,
2025-03-25,338.78,338.805,333.2,337.36,1426987.0,
2025-03-26,337.69,340.105,336.1,336.73,1351237.0,
2025-03-27,337.875,341.885,335.25,341.0,1330669.0,
2025-03-28,341.15,343.58,339.52,340.76,1362710.0,
2025-03-31,342.5,346.95,341.0,345.24,1770766.0,
2025-04-01,345.0,345.34,341.03,343.86,903764.0,
2025-04-02,341.035,345.0,339.02,344.07,1271900.0,
2025-04-03,341.905,350.695,340.85,344.4,1322262.0,
2025-04-04,341.0,344.88,316.63,319.25,2901935.0,
2025-04-07,309.61,318.9,301.21,310.86,3404160.0,
2025-04-08,318.47,324.55,306.36,311.53,1812305.0,
2025-04-09,309.5,324.88,304.85,323.82,2285103.0,
2025-04-10,319.26,330.96,318.79,325.72,1570177.0,
2025-04-11,327.59,335.28,321.43,334.02,1179778.0,
2025-04-14,338.38,345.62,336.26,342.92,1236906.0,
2025-04-15,344.61,344.6639,334.74,335.56,1313787.0,
2025-04-16,338.82,339.0,330.14,332.66,879259.0,
2025-04-17,330.7,333.26,326.58,329.22,1195137.0,
2025-04-21,325.4139,329.04,315.71,319.4,837110.0,
2025-04-22,325.685,332.0,322.62,330.75,1041508.0,
2025-04-23,332.86,336.69,329.75,331.79,953658.0,
2025-04-24,326.75,332.71,326.33,331.52,961313.0,
2025-04-25,327.34,327.34,313.575,322.3,2164277.0,
2025-04-28,323.37,326.07,322.19,323.81,1536737.0,
2025-04-29,321.39,321.39,315.07,317.14,2753728.0,
2025-04-30,317.14,321.16,312.17,320.69,3032447.0,
2025-05-01,319.625,319.625,313.41,317.64,1995881.0,
2025-05-02,330.405,332.435,316.87,331.08,1818553.0,
2025-05-05,329.79,336.93,326.3901,334.86,1402856.0,
2025-05-06,334.0,339.23,332.634,338.27,1402650.0,
2025-05-07,338.185,341.32,336.9018,339.55,1279566.0,
2025-05-08,340.565,343.62,338.44,338.47,1037183.0,
2025-05-09,338.565,339.1191,336.075,338.18,576359.0,
2025-05-12,339.175,339.175,325.53,331.28,1672355.0,
2025-05-13,330.89,335.39,330.89,332.7,1004025.0,
2025-05-14,334.47,334.58,326.06,329.64,898481.0,
2025-05-15,330.2,338.45,330.2,338.28,1013229.0,
2025-05-16,338.24,342.8467,337.8781,342.24,973191.0,
2025-05-19,343.14,344.64,341.67,343.82,611029.0,
2025-05-20,343.26,344.25,339.65,340.33,908815.0,
2025-05-21,339.935,341.89,336.25,337.53,867064.0,
2025-05-22,338.93,339.08,333.65,335.48,771693.0,
2025-05-23,336.66,339.41,333.47,338.04,859459.0,
2025-05-27,339.225,343.03,337.2,342.75,976453.0,
2025-05-28,341.895,344.0374,339.17,339.8,1136798.0,
2025-05-29,339.4,342.05,337.5881,341.9,628805.0,
2025-05-30,344.0,348.3,341.0,347.44,2545229.0,
2025-06-02,343.42,348.9,342.15,348.77,986107.0,
2025-06-03,349.96,351.225,341.76,345.25,1035784.0,
2025-06-04,346.01,346.01,336.29,336.34,1300214.0,
2025-06-05,337.235,337.325,325.06,328.1,1851455.0,
2025-06-06,329.975,330.78,327.27,328.76,735210.0,
2025-06-09,326.95,327.826,312.18,317.83,1616449.0,
2025-06-10,319.62,321.24,312.3,314.4,1473184.0,
2025-06-11,312.96,315.3999,308.98,312.94,1428720.0,
2025-06-12,312.52,320.71,312.3801,320.15,1416706.0,
2025-06-13,319.68,320.74,316.17,316.64,1039024.0,
2025-06-16,317.92,319.3,315.6,316.33,1294206.0,
2025-06-17,315.895,318.16,313.23,316.13,958454.0,
2025-06-18,316.25,319.41,314.71,317.13,1048906.0,
2025-06-20,318.35,322.92,318.18,320.16,2537151.0,
2025-06-23,320.955,324.53,319.84,324.12,1311678.0,
2025-06-24,325.23,327.34,318.65,325.98,1037382.0,
2025-06-25,324.83,325.5,316.83,317.43,1507302.0,
2025-06-26,316.995,319.785,315.3901,318.39,1397270.0,
2025-06-27,317.58,320.565,315.0,317.73,5446971.0,
2025-06-30,315.0,321.0675,314.5,320.12,1620083.0,
2025-07-01,320.445,323.25,316.22,319.49,1567367.0,
2025-07-02,317.55,320.0,309.39,315.74,1450848.0,
2025-07-03,316.01,319.2455,315.2315,318.1,639946.0,
2025-07-07,317.23,318.34,313.9,316.07,1232254.0,
2025-07-08,314.055,316.2,312.28,313.76,1110061.0,
2025-07-09,312.18,316.89,311.05,315.25,1401443.0,
2025-07-10,315.085,315.76,312.19,313.58,948819.0,
2025-07-11,312.225,315.28,310.26,311.54,715217.0,
2025-07-14,311.96,315.45,311.17,315.4,1425486.0,
2025-07-15,315.4,315.57,307.87,308.06,1011050.0,
2025-07-16,310.0,311.405,305.39,309.92,1567885.0,
2025-07-17,309.49,314.63,309.135,313.91,1288062.0,
2025-07-18,314.75,316.71,312.1401,313.14,691271.0,
2025-07-21,311.645,313.13,307.91,308.24,772699.0,
2025-07-22,309.32,313.03,308.32,312.41,1107920.0,
2025-07-23,311.72,313.64,308.74,310.79,659361.0,
2025-07-24,311.83,311.83,309.0,309.06,738163.0,
2025-07-25,311.0,315.48,310.1,315.14,897384.0,
2025-07-28,315.0,315.0,308.29,309.12,1237247.0,
2025-07-29,307.79,309.05,287.61,288.35,4081300.0,
2025-07-30,290.25,291.15,284.94,285.84,2920361.0,
2025-07-31,282.015,290.93,281.83,287.25,2554727.0,
