Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,92.35,92.64,88.82,88.93,2434328,
2025-01-13,88.95,90.155,88.5,89.61,1530003,
2025-01-14,89.88,91.41,89.661,90.58,1188946,
2025-01-15,91.57,91.92,90.06,90.52,1095426,
2025-01-16,90.02,90.96,89.5501,90.5,1142582,
2025-01-17,91.72,92.545,90.955,91.01,2346457,
2025-01-21,92.0,94.97,91.86,94.71,2960648,
2025-01-22,94.85,95.13,93.295,95.11,1370021,
2025-01-23,95.2,96.05,93.48,95.89,1358028,
2025-01-24,96.14,97.77,95.8659,97.7,1805752,
2025-01-27,97.0,100.15,96.9,99.67,2483680,
2025-01-28,99.95,100.77,98.895,100.54,1869733,
2025-01-29,100.6,101.0,99.58,100.41,1366470,
2025-01-30,101.04,101.87,100.51,101.48,1806651,
2025-01-31,101.95,102.37,99.74,99.9,1526484,
2025-02-03,98.4,98.7,96.76,98.0,1796747,
2025-02-04,97.68,99.97,97.68,99.87,1458383,
2025-02-05,99.97,101.019,99.01,100.89,1274938,
2025-02-06,100.95,101.83,99.49,99.61,1454857,
2025-02-07,99.73,100.11,98.56,99.64,1484461,
2025-02-10,100.37,103.75,99.96,102.1,3112163,
2025-02-11,101.34,101.72,100.56,101.38,1618967,
2025-02-12,100.69,101.385,99.855,101.06,1336754,
2025-02-13,100.58,100.75,98.97,99.66,1964243,
2025-02-14,100.06,101.62,99.7025,100.01,1466571,
2025-02-18,100.01,100.295,98.51,99.32,1734311,
2025-02-19,98.95,100.32,97.44,100.26,2223659,
2025-02-20,100.34,100.655,97.22,98.03,3071611,
2025-02-21,89.0,89.89,76.5,76.73,20732287,
2025-02-24,77.9,79.7,75.5,77.64,7013669,
2025-02-25,77.5,78.79,76.595,78.05,4083819,
2025-02-26,78.12,79.94,77.64,79.58,3713166,
2025-02-27,79.6,80.08,77.815,77.87,3709004,
2025-02-28,79.68,81.655,79.125,80.68,5814952,
2025-03-03,81.29,83.11,80.425,81.0,3951093,
2025-03-04,80.55,82.73,79.9,82.18,3101561,
2025-03-05,81.73,82.975,81.13,82.82,2425076,
2025-03-06,81.86,83.45,81.7325,82.81,2233168,
2025-03-07,82.34,88.01,82.13,87.52,4499972,
2025-03-10,86.48,87.375,83.81,84.15,3873618,
2025-03-11,83.83,84.16,80.55,80.65,4424421,
2025-03-12,81.335,81.71,79.32,79.66,4647959,
2025-03-13,79.2126,80.53,78.6,78.66,2447205,
2025-03-14,79.75,81.51,79.2763,80.73,2371295,
2025-03-17,80.52,83.69,80.38,82.79,2590557,
2025-03-18,83.37,83.38,81.71,82.06,1668749,
2025-03-19,82.46,83.069,81.44,82.41,1701450,
2025-03-20,81.76,82.58,81.35,81.55,1862719,
2025-03-21,80.87,81.42,80.25,81.04,3875424,
2025-03-24,82.35,83.02,81.735,82.77,1800551,
