Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,127.32,128.0,126.03,126.21,741604.0,
2025-01-13,125.66,128.3,125.26,128.26,828024.0,
2025-01-14,128.785,130.12,128.47,129.75,469460.0,
2025-01-15,132.93,132.93,129.92,130.93,641054.0,
2025-01-16,131.11,132.85,130.62,132.62,552524.0,
2025-01-17,133.18,134.08,132.585,133.59,592930.0,
2025-01-21,135.0,136.275,134.47,135.07,610107.0,
2025-01-22,134.475,135.295,131.73,132.18,898842.0,
2025-01-23,133.23,133.42,131.37,133.25,704271.0,
2025-01-24,133.555,133.745,132.2,132.53,603817.0,
2025-01-27,132.59,135.58,132.59,135.5,962376.0,
2025-01-28,135.28,135.46,132.07,132.11,640078.0,
2025-01-29,131.57,132.63,130.88,131.0,624565.0,
2025-01-30,131.73,134.38,131.6,133.52,565839.0,
2025-01-31,133.15,134.94,132.38,132.73,862713.0,
2025-02-03,129.43,129.98,127.0,128.73,1033452.0,
2025-02-04,128.68,129.94,128.36,128.49,877452.0,
2025-02-05,129.41,129.52,127.81265,129.07,990604.0,
2025-02-06,129.41,129.875,128.38,129.3,967718.0,
2025-02-07,128.93,129.71,127.905,128.69,939109.0,
2025-02-10,129.33,130.56,129.01,130.56,1190048.0,
2025-02-11,130.36,131.87,129.526,131.73,1000191.0,
2025-02-12,129.975,131.54,128.845,131.5,993455.0,
2025-02-13,132.36,133.18,131.215,133.15,1257294.0,
2025-02-14,133.93,134.25,132.76,133.39,1354576.0,
2025-02-18,130.94,133.16,125.615,125.89,1917910.0,
2025-02-19,126.04,127.28,124.19,126.58,1503733.0,
2025-02-20,126.22,127.46,125.6,127.11,1207101.0,
2025-02-21,127.555,127.92,126.0,127.16,871163.0,
2025-02-24,127.775,129.762,126.53,127.93,883687.0,
2025-02-25,128.295,131.02,128.295,129.89,968082.0,
2025-02-26,130.19,130.275,129.07,129.42,690427.0,
2025-02-27,129.375,129.95,127.32,127.39,1026002.0,
2025-02-28,127.95,129.01,126.94,128.71,1212421.0,
2025-03-03,128.985,130.02,126.05,126.52,922452.0,
2025-03-04,124.762,125.835,123.265,123.79,1165022.0,
2025-03-05,124.59,127.505,124.59,126.48,754354.0,
2025-03-06,125.77,128.03,125.47,127.35,815915.0,
2025-03-07,127.72,132.12,127.225,131.3,942682.0,
2025-03-10,131.255,135.38,130.74,132.3,1117613.0,
2025-03-11,131.94,132.51,125.94,125.96,1178466.0,
2025-03-12,124.46,126.505,123.01,123.94,1048522.0,
2025-03-13,123.865,126.57,123.71,124.99,1069366.0,
2025-03-14,125.53,126.905,124.985,126.66,1084860.0,
2025-03-17,126.58,128.35,126.43,127.37,982152.0,
2025-03-18,128.5,128.57,127.05,127.98,1027824.0,
2025-03-19,127.88,129.25,126.63,128.65,1254962.0,
2025-03-20,127.635,129.15,126.965,127.72,996666.0,
2025-03-21,126.75,127.4689,125.63,127.06,2503029.0,
2025-03-24,128.265,130.84,128.265,130.59,1057184.0,
2025-03-25,131.72,131.72,128.57,129.59,1063309.0,
2025-03-26,129.255,130.615,129.17,130.38,978143.0,
2025-03-27,130.245,131.64,129.325,130.19,825324.0,
2025-03-28,130.2,131.05,128.01,128.29,1190417.0,
2025-03-31,127.0,131.52,126.82,130.46,1384759.0,
2025-04-01,130.09,131.69,129.2,131.0,1074668.0,
2025-04-02,130.135,133.125,129.475,132.15,909971.0,
2025-04-03,130.63,130.81,125.65,127.21,1646473.0,
2025-04-04,123.765,127.89,122.82,123.64,2382796.0,
2025-04-07,121.085,125.06,118.85,120.78,1603986.0,
2025-04-08,123.03,123.7,116.57,118.52,1543197.0,
2025-04-09,117.31,126.38,116.65,124.65,1348872.0,
2025-04-10,122.25,123.24,118.16,122.08,1494237.0,
2025-04-11,121.66,125.77,120.36,125.15,1115059.0,
2025-04-14,125.86,126.99,124.84,126.29,758018.0,
2025-04-15,125.92,127.99,125.92,126.9,753390.0,
2025-04-16,126.28,127.22,124.3601,125.13,708080.0,
2025-04-17,125.665,127.27,125.52,126.35,798351.0,
2025-04-21,125.115,125.275,122.14,123.27,992364.0,
2025-04-22,124.525,127.05,124.17,126.82,890836.0,
2025-04-23,127.79,130.84,126.16,126.46,1466559.0,
2025-04-24,138.63,142.0,134.19,139.51,2617875.0,
2025-04-25,138.485,138.485,136.15,136.49,1052862.0,
2025-04-28,137.47,138.69,136.62,137.26,918588.0,
2025-04-29,137.55,138.75,136.66,138.2,968122.0,
