Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,176.985,177.71,175.36,176.15,1430875.0,
2025-01-13,174.52,176.71,174.11,176.5,1007250.0,
2025-01-14,177.56,180.47,177.02,179.15,735030.0,
2025-01-15,181.575,181.84,179.17,180.06,683213.0,
2025-01-16,181.345,182.93,180.21,180.86,1698871.0,
2025-01-17,184.065,184.5,180.075,180.73,2612858.0,
2025-01-21,182.38,185.09,180.84,184.7,2765975.0,
2025-01-22,185.385,189.0,185.0,188.7,1832781.0,
2025-01-23,188.74,191.18,187.8,190.43,1487856.0,
2025-01-24,190.31,190.71,187.49,187.98,1314209.0,
2025-01-27,186.125,187.98,183.92,184.95,1177125.0,
2025-01-28,184.49,184.49,181.69,182.89,1030039.0,
2025-01-29,183.285,184.41,182.1,182.52,764964.0,
2025-01-30,183.19,186.94,182.945,186.0,1120413.0,
2025-01-31,186.26,186.9,184.56,184.56,1117011.0,
2025-02-03,180.61,184.97,180.07,184.13,2025706.0,
2025-02-04,176.0,183.68,175.635,180.5,3000102.0,
2025-02-05,181.19,182.45,178.69,180.23,2095315.0,
2025-02-06,180.31,182.96,180.23,182.9,1226653.0,
2025-02-07,184.78,186.4,182.9,184.51,1646797.0,
2025-02-10,185.36,186.53,182.96,185.97,1226437.0,
2025-02-11,185.63,186.13,182.92,185.32,1139560.0,
2025-02-12,183.29,186.15,181.98,185.5,1394729.0,
2025-02-13,186.035,186.22,183.74,184.43,855274.0,
2025-02-14,184.5,185.0,182.69,183.54,1041782.0,
2025-02-18,184.63,185.36,182.9701,184.36,1104848.0,
2025-02-19,183.17,188.9,183.16,188.86,1104173.0,
2025-02-20,188.55,189.29,187.51,188.78,1036217.0,
2025-02-21,188.755,189.19,184.455,186.19,1202713.0,
2025-02-24,187.055,187.82,184.51,185.78,1087547.0,
2025-02-25,185.39,187.89,184.77,186.95,1483200.0,
2025-02-26,187.22,190.17,187.22,188.18,1180278.0,
2025-02-27,188.6,190.25,186.94,187.33,851353.0,
2025-02-28,188.015,190.03,185.91,189.3,2096782.0,
2025-03-03,189.88,191.83,185.6,186.55,1108258.0,
2025-03-04,183.0,184.93,181.75,183.33,1605857.0,
2025-03-05,183.64,185.75,183.02,185.04,2119208.0,
2025-03-06,183.455,184.84,181.18,184.14,1436861.0,
2025-03-07,182.605,184.5,180.97,183.99,1773293.0,
2025-03-10,181.6,183.39,178.58,179.37,1814090.0,
2025-03-11,179.45,179.885,176.68,178.86,1238482.0,
2025-03-12,177.21,181.65,176.62,177.21,943505.0,
2025-03-13,176.89,176.955,172.42,172.91,1721265.0,
2025-03-14,174.935,176.44,173.18,176.14,1336182.0,
2025-03-17,175.565,179.885,175.36,178.63,688229.0,
2025-03-18,177.635,178.61,175.62,176.08,895229.0,
2025-03-19,176.82,177.975,175.355,177.07,1052212.0,
2025-03-20,175.6,177.4,175.0,175.93,864167.0,
2025-03-21,174.88,175.65,172.675,174.52,1422683.0,
2025-03-24,176.52,179.2,176.48,178.82,1676552.0,
2025-03-25,179.035,180.04,177.94,179.7,1166263.0,
2025-03-26,178.595,180.335,175.97,176.9,933823.0,
2025-03-27,176.445,177.495,174.67,175.56,1586486.0,
2025-03-28,174.42,175.77,170.02,170.39,1101504.0,
2025-03-31,169.315,172.34,166.95,172.14,1498832.0,
2025-04-01,171.62,173.08,170.1724,171.89,903222.0,
2025-04-02,169.71,173.02,168.76,172.72,2488208.0,
2025-04-03,167.44,167.515,161.0205,161.49,1872974.0,
2025-04-04,156.43,156.985,151.14,152.66,2753044.0,
2025-04-07,149.4,156.63,145.02,153.33,3049654.0,
2025-04-08,156.32,157.59,148.72,151.41,2260018.0,
2025-04-09,150.135,162.37,148.3,161.0,3174853.0,
2025-04-10,156.41,159.465,153.47,157.42,1688888.0,
2025-04-11,156.2,159.41,153.53,158.95,2007471.0,
2025-04-14,160.485,162.73,159.59,161.36,1133537.0,
2025-04-15,161.76,162.77,159.85,160.21,758163.0,
2025-04-16,158.34,160.99,157.425,158.52,1070063.0,
2025-04-17,159.625,160.53,157.416,157.81,1698888.0,
2025-04-21,155.66,156.33,153.73,155.25,1075923.0,
2025-04-22,155.59,159.84,155.55,159.65,1659235.0,
2025-04-23,163.365,165.25,161.5,162.19,1755378.0,
2025-04-24,162.19,167.695,162.19,167.24,1253441.0,
2025-04-25,167.41,168.0,165.715,166.69,711153.0,
2025-04-28,166.81,168.45,165.07,166.29,955058.0,
2025-04-29,166.32,168.89,165.74,167.8,948503.0,
2025-04-30,166.27,169.78,164.85,169.58,1654601.0,
2025-05-01,167.975,169.66,163.2,167.26,1861664.0,
2025-05-02,170.38,170.74,169.26,170.07,1160346.0,
2025-05-05,168.995,171.095,168.995,170.27,1476404.0,
2025-05-06,168.82,170.12,167.75,167.85,777638.0,
2025-05-07,168.485,170.445,168.485,169.71,840909.0,
2025-05-08,171.0,173.72,170.465,171.57,1144953.0,
2025-05-09,172.175,173.22,170.945,171.75,1257909.0,
2025-05-12,177.47,180.51,176.515,179.38,2214411.0,
2025-05-13,180.095,182.33,179.98,180.5,1582678.0,
2025-05-14,179.56,180.395,178.715,179.36,1254789.0,
2025-05-15,178.955,180.75,178.79,180.21,1335237.0,
2025-05-16,180.58,182.88,180.1491,182.75,1167568.0,
2025-05-19,181.185,182.44,180.93,181.88,949446.0,
2025-05-20,180.44,181.385,180.31,180.8,832785.0,
2025-05-21,179.32,180.0,177.25,177.68,1270590.0,
2025-05-22,177.0,179.765,175.85,178.54,788888.0,
2025-05-23,175.55,178.51,175.38,177.64,1108463.0,
2025-05-27,179.22,180.97,178.0,180.81,1178407.0,
2025-05-28,181.09,181.654,178.53,178.97,941783.0,
2025-05-29,179.845,180.56,178.6,180.04,1269931.0,
2025-05-30,180.435,180.435,177.87,178.74,2078721.0,
2025-06-02,177.68,177.84,174.88,176.32,1220814.0,
2025-06-03,176.63,177.89,175.61,177.71,2114844.0,
2025-06-04,177.75,178.6,176.84,177.21,1106005.0,
2025-06-05,178.59,178.59,175.98,176.93,1112268.0,
2025-06-06,178.365,179.35,177.89,178.35,1041040.0,
2025-06-09,178.67,179.55,178.06,178.64,877214.0,
2025-06-10,178.885,180.04,178.07,179.87,1154923.0,
2025-06-11,179.75,181.73,178.69,180.9,1843721.0,
2025-06-12,179.18,180.395,178.43,179.97,1042237.0,
2025-06-13,177.66,179.02,176.37,176.96,1261501.0,
2025-06-16,178.64,179.18,177.52,178.63,1450071.0,
2025-06-17,175.07,178.14,175.07,175.55,967914.0,
2025-06-18,175.805,178.9,175.365,177.76,1332693.0,
2025-06-20,179.82,179.82,176.23,176.69,2794326.0,
2025-06-23,176.26,177.48,174.47,177.28,1461261.0,
2025-06-24,177.445,179.4,176.66,179.24,1523752.0,
2025-06-25,178.63,179.1199,176.89,178.0,1115916.0,
2025-06-26,178.57,180.83,178.26,179.82,1074981.0,
2025-06-27,179.96,181.48,179.67,180.53,1601306.0,
2025-06-30,180.4,181.46,179.57,180.96,1600767.0,
2025-07-01,180.115,183.97,179.51,183.06,1094521.0,
2025-07-02,182.67,183.13,181.615,181.99,977662.0,
2025-07-03,182.55,184.37,182.1,184.19,719336.0,
2025-07-07,183.74,184.04,181.18,182.37,1558838.0,
2025-07-08,183.13,183.2,180.83,181.33,1827260.0,
2025-07-09,182.535,183.08,180.09,182.28,1168609.0,
2025-07-10,182.285,183.68,181.2,181.44,1152466.0,
2025-07-11,180.79,181.48,179.78,180.97,839398.0,
2025-07-14,179.665,179.99,177.58,178.36,1420845.0,
2025-07-15,179.06,179.35,176.33,176.44,1585206.0,
2025-07-16,176.91,177.29,174.43,177.05,1717381.0,
2025-07-17,177.22,179.84,176.69,179.7,1241237.0,
2025-07-18,180.16,180.31,178.1,178.51,1011971.0,
2025-07-21,178.845,179.785,177.925,178.09,1676089.0,
2025-07-22,177.76,179.32,177.26,179.2,1088905.0,
2025-07-23,180.715,181.665,180.33,181.28,751290.0,
2025-07-24,181.415,181.69,179.61,179.72,1545761.0,
2025-07-25,180.09,180.78,179.02,180.09,1566161.0,
2025-07-28,180.885,180.885,178.6,178.84,1394648.0,
