Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,528.38,528.49,514.4,515.48,437068.0,
2025-01-13,507.9694,518.59,507.9694,517.59,432854.0,
2025-01-14,518.54,526.93,518.54,526.67,329796.0,
2025-01-15,537.685,541.93,535.54,537.25,549844.0,
2025-01-16,537.53,547.37,534.87,546.43,462009.0,
2025-01-17,548.235,552.34,544.1709,552.19,942246.0,
2025-01-21,556.2,560.51,554.62,558.74,469394.0,
2025-01-22,557.46,563.09,556.21,561.53,511868.0,
2025-01-23,560.675,566.92,560.27,563.41,296045.0,
2025-01-24,561.81,568.0099,559.35,563.58,367682.0,
2025-01-27,557.58,563.74,553.2,561.38,380953.0,
2025-01-28,560.2495,575.62,560.2495,571.84,529273.0,
2025-01-29,566.16,577.89,566.16,575.13,798094.0,
2025-01-30,581.41,582.05,532.83,547.84,1173847.0,
2025-01-31,546.5,547.135,537.72,543.36,797673.0,
2025-02-03,533.47,538.49,523.95,537.12,570440.0,
2025-02-04,537.375,538.5,531.0001,535.4,573897.0,
2025-02-05,537.465,539.07,532.01,538.29,372036.0,
2025-02-06,543.91,543.95,538.17,541.65,387010.0,
2025-02-07,543.79,548.08,537.68,538.6,529815.0,
2025-02-10,538.69,539.83,522.425,529.18,613747.0,
2025-02-11,527.31,530.98,521.49,528.8,479967.0,
2025-02-12,522.51,528.21,521.18,526.86,665119.0,
2025-02-13,529.975,542.25,526.81,539.74,914827.0,
2025-02-14,539.605,547.98,538.51,545.93,1097325.0,
2025-02-18,545.95,552.43,542.481,547.06,618278.0,
2025-02-19,543.66,550.03,538.78,549.44,447313.0,
2025-02-20,548.77,548.915,535.6519,541.01,356790.0,
2025-02-21,541.33,543.555,527.25,530.48,690239.0,
2025-02-24,530.08,537.36,527.89,531.03,339935.0,
2025-02-25,531.88,535.0159,516.3981,522.0,507194.0,
2025-02-26,525.91,530.12,524.565,525.27,367618.0,
2025-02-27,529.32,536.44,525.25,526.07,334897.0,
2025-02-28,528.635,537.95,527.24,537.3,517228.0,
2025-03-03,537.86,546.373,527.235,531.92,443588.0,
2025-03-04,523.295,526.6,493.79,498.17,853556.0,
2025-03-05,499.22,510.185,494.72,509.09,766871.0,
2025-03-06,502.765,508.99,495.01,502.95,623656.0,
2025-03-07,499.525,500.64,487.0,499.34,450029.0,
2025-03-10,487.12,491.35,475.29,480.37,568205.0,
2025-03-11,480.59,484.58,475.47,478.05,688020.0,
2025-03-12,484.98,487.62,474.65,480.46,564935.0,
2025-03-13,483.845,484.4,470.77,472.29,396896.0,
2025-03-14,476.27,488.35,475.98,485.83,565046.0,
2025-03-17,487.805,495.16,486.25,492.71,573595.0,
2025-03-18,492.75,492.91,486.285,488.93,513125.0,
2025-03-19,488.88,502.25,485.02,499.03,369067.0,
