Date,Open,High,Low,Close,Volume,wb_US_FP.CPI.TOTL.ZG
2025-01-10,174.36,176.52,172.51,173.46,3539246.0,
2025-01-13,174.5,177.2,173.78,176.94,2409816.0,
2025-01-14,176.685,180.3,176.26,178.8,2124347.0,
2025-01-15,183.76,185.295,180.07,180.32,2230902.0,
2025-01-16,180.605,190.53,180.411,190.07,3544868.0,
2025-01-17,190.63,191.75,189.43,190.39,2882498.0,
2025-01-21,191.085,193.77,189.33,189.93,2460864.0,
2025-01-22,188.51,188.97,183.65,185.29,2753713.0,
2025-01-23,185.29,186.62,183.36,186.39,1683990.0,
2025-01-24,185.73,186.95,184.89,185.08,1218209.0,
2025-01-27,190.2775,192.85,187.97,192.04,2862670.0,
2025-01-28,190.445,191.31,186.17,186.93,1997239.0,
2025-01-29,186.13,187.79,183.12,183.63,1735117.0,
2025-01-30,185.66,187.31,184.05,185.82,1457077.0,
2025-01-31,185.95,187.63,184.34,184.95,1570262.0,
2025-02-03,184.81,186.5,182.15,185.37,1832160.0,
2025-02-04,183.65,184.83,182.1421,184.13,1450167.0,
2025-02-05,187.1,188.22,184.818,187.46,1869739.0,
2025-02-06,188.305,189.87,186.72,189.75,1407034.0,
2025-02-07,189.445,189.78,186.685,188.84,1588160.0,
2025-02-10,189.13,190.09,187.23,189.88,1957946.0,
2025-02-11,189.515,193.5,189.0,193.42,1825675.0,
2025-02-12,188.93,190.505,187.0708,189.52,1766431.0,
2025-02-13,190.065,190.75,189.138,189.99,1855006.0,
2025-02-14,190.44,193.55,189.11,189.38,1776115.0,
2025-02-18,188.75,190.65,188.18,189.55,2301184.0,
2025-02-19,189.295,190.84,188.35,188.56,2470179.0,
2025-02-20,188.28,192.97,187.02,192.38,2848927.0,
2025-02-21,192.5,193.0,190.53,191.55,3304319.0,
2025-02-24,190.7,193.63,189.45,192.0,2393268.0,
2025-02-25,197.51,206.27,195.02,203.75,5179858.0,
2025-02-26,205.4,205.4,199.59,200.73,2512124.0,
2025-02-27,200.49,204.17,199.325,203.97,2553227.0,
2025-02-28,205.0,206.34,202.605,205.62,3466958.0,
2025-03-03,205.47,210.29,204.985,209.61,2229861.0,
2025-03-04,210.705,215.15,206.935,207.12,4031285.0,
2025-03-05,202.7121,209.57,202.7121,208.69,1969765.0,
2025-03-06,208.37,209.02,204.28,206.93,2416333.0,
2025-03-07,206.92,212.99,206.89,212.29,3599432.0,
2025-03-10,213.49,217.315,212.31,213.07,4156922.0,
2025-03-11,213.68,214.6,209.22,209.78,2698103.0,
2025-03-12,207.8365,208.83,205.19,206.69,2519764.0,
2025-03-13,206.415,208.995,205.01,207.77,2691194.0,
2025-03-14,208.215,211.23,205.98,210.93,3789022.0,
2025-03-17,212.2,216.33,211.35,212.69,3097574.0,
2025-03-18,212.51,216.29,211.365,214.87,3996494.0,
2025-03-19,214.65,215.62,211.64,213.76,2244277.0,
2025-03-20,214.0,215.13,212.66,214.27,1839298.0,
2025-03-21,213.235,219.61,212.64,216.23,6326237.0,
2025-03-24,213.49,217.01,212.41,212.8,2879932.0,
2025-03-25,212.0,212.58,208.195,209.5,2646666.0,
2025-03-26,209.5,211.55,207.65,210.02,1607440.0,
2025-03-27,210.75,215.05,209.66,214.04,2458419.0,
2025-03-28,215.095,215.815,213.36,215.56,1907555.0,
2025-03-31,215.895,219.37,215.72,217.6,3281511.0,
2025-04-01,220.14,220.7,217.6,219.44,2124797.0,
2025-04-02,219.195,220.48,216.29,217.9,2794050.0,
2025-04-03,223.545,231.03,220.0,228.19,5853310.0,
2025-04-04,229.0,233.8,220.03,220.17,9877429.0,
2025-04-07,217.025,221.91,211.64,213.39,5082227.0,
2025-04-08,216.69,216.69,202.01,204.66,5455242.0,
2025-04-09,202.75,211.94,197.5,207.48,5646870.0,
